,아모레G,A002790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,7541.27,7171.46,8866.3,8766.23,8610.8,8074.01,9801.98,10241.18,9912.36,8998.4,11397.22,11767.9,12090.31,11864.04,14438.3,14131.63,13465.82,14576.3,17592.89,17197.07
, - 매출원가,2483.49,2241.74,2527.43,2489.41,2510.2,2611.89,2834.3,3241.59,3184.48,2734.25,3198.98,3234.24,3416.79,3231.86,3728.92,3456.98,3610.44,3353.25,4079.97,4349.65
, = 매출총이익,5057.78,4929.72,6338.87,6276.82,6100.6,5462.12,6967.68,6999.59,6727.88,6264.15,8198.24,8533.66,8673.52,8632.18,10709.38,10674.65,9855.38,11223.05,13512.92,12847.42
, - 판매비와관리비,4111.78,4287.57,4523.21,5064.89,4960.33,5125.82,5230.43,5810.51,5616.16,5604.69,6058.9,6810.85,6934.59,7642.35,7502.42,8238.19,7972.28,9613.16,9321.89,9750.53
, = 영업이익,946,642.15,1815.66,1211.93,1140.27,336.3,1737.25,1189.08,1111.72,659.46,2139.34,1722.81,1738.93,989.83,3206.96,2436.46,1883.1,1609.89,4191.03,3096.89
,* 지배순이익,342.49,313.83,602.93,434.13,367.84,143.38,512.62,458.15,425.94,233.4,1022.88,489.57,508.18,202.95,947.61,713.21,534.17,409.38,1355.61,1068.6
,매출원가비중,32.93,31.26,28.51,28.4,29.15,32.35,28.92,31.65,32.13,30.39,28.07,27.48,28.26,27.24,25.83,24.46,26.81,23,23.19,25.29
,매출총이익율,67.07,68.74,71.49,71.6,70.85,67.65,71.08,68.35,67.87,69.61,71.93,72.52,71.74,72.76,74.17,75.54,73.19,77,76.81,74.71
,판관비율,54.52,59.79,51.02,57.78,57.61,63.49,53.36,56.74,56.66,62.29,53.16,57.88,57.36,64.42,51.96,58.3,59.2,65.95,52.99,56.7
,영업이익률,12.54,8.95,20.48,13.82,13.24,4.17,17.72,11.61,11.22,7.33,18.77,14.64,14.38,8.34,22.21,17.24,13.98,11.04,23.82,18.01
,지배순이익률,4.54,4.38,6.8,4.95,4.27,1.78,5.23,4.47,4.3,2.59,8.97,4.16,4.2,1.71,6.56,5.05,3.97,2.81,7.71,6.21
,매출액YOY(%),,,,,14.18,12.59,10.55,16.83,15.12,11.45,16.27,14.91,21.97,31.85,26.68,20.09,11.38,22.86,21.85,21.69
,영업이익YOY(%),,,,,20.54,-47.63,-4.32,-1.89,-2.5,96.09,23.15,44.89,56.42,50.1,49.9,41.42,8.29,62.64,30.69,27.11
,지배순이익YOY(%),,,,,7.4,-54.31,-14.98,5.53,15.79,62.78,99.54,6.86,19.31,-13.05,-7.36,45.68,5.11,101.71,43.06,49.83
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
