,아모레퍼시픽,A090430,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,6227.76,5883.26,7414.87,7267.77,7333.07,6478.92,8037.94,7989.94,7927.82,7048.44,9318.23,9667.06,9967.23,9787.56,12043.57,11953.99,11410.99,12257.73,14850.58,14434.3
, - 매출원가,1996.09,1765.21,2126.85,2059.63,2290.73,1994.83,2345.15,2300.35,2464.56,2008.01,2552.45,2508.26,2740.88,2480.31,2961.18,2863.79,3026.2,2842.9,3485.45,3743.67
, = 매출총이익,4231.67,4118.05,5288.02,5208.14,5042.34,4484.09,5692.79,5689.59,5463.26,5040.43,6765.78,7158.8,7226.35,7307.25,9082.39,9090.2,8384.79,9414.83,11365.13,10690.63
, - 판매비와관리비,3465.92,3570.6,3781.53,4224.12,4138.59,4224.96,4290.75,4794.16,4569.27,4533.51,5008.79,5647.91,5749.39,6414.57,6302.64,7009.31,6750.4,8180.76,7987.21,8284.68
, = 영업이익,765.75,547.45,1506.49,984.02,903.75,259.13,1402.04,895.43,893.99,506.92,1756.99,1510.89,1476.96,892.68,2779.75,2080.89,1634.39,1234.07,3377.92,2405.95
,* 지배순이익,636.6,788.06,1135.61,591.87,702.65,274.16,906.24,729.73,663.98,379.8,1207.81,1108.36,1040.68,434.19,2079.63,1600.45,1391.11,704.04,2590.55,1904.24
,매출원가비중,32.05,30,28.68,28.34,31.24,30.79,29.18,28.79,31.09,28.49,27.39,25.95,27.5,25.34,24.59,23.96,26.52,23.19,23.47,25.94
,매출총이익율,67.95,70,71.32,71.66,68.76,69.21,70.82,71.21,68.91,71.51,72.61,74.05,72.5,74.66,75.41,76.04,73.48,76.81,76.53,74.06
,판관비율,55.65,60.69,51,58.12,56.44,65.21,53.38,60,57.64,64.32,53.75,58.42,57.68,65.54,52.33,58.64,59.16,66.74,53.78,57.4
,영업이익률,12.3,9.31,20.32,13.54,12.32,4,17.44,11.21,11.28,7.19,18.86,15.63,14.82,9.12,23.08,17.41,14.32,10.07,22.75,16.67
,지배순이익률,10.22,13.39,15.32,8.14,9.58,4.23,11.27,9.13,8.38,5.39,12.96,11.47,10.44,4.44,17.27,13.39,12.19,5.74,17.44,13.19
,매출액YOY(%),,,,,17.75,10.12,8.4,9.94,8.11,8.79,15.93,20.99,25.72,38.86,29.25,23.66,14.49,25.24,23.31,20.75
,영업이익YOY(%),,,,,18.02,-52.67,-6.93,-9,-1.08,95.62,25.32,68.73,65.21,76.1,58.21,37.73,10.66,38.24,21.52,15.62
,지배순이익YOY(%),,,,,10.38,-65.21,-20.2,23.29,-5.5,38.53,33.28,51.89,56.73,14.32,72.18,44.4,33.67,62.15,24.57,18.98
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
