,아시아나항공,A020560,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,14889.26,14400.27,14148.55,14315.24,15665.28,14749.66,14206.88,13730.61,15192.18,14105.4,14147.88,14102.97,15242.52,14868.98,14078.56,13206.8,14219.05,13902.63,13687.44,13744.68
, - 매출원가,11663.76,12301.98,12228.13,12407.5,13080.55,13374.37,12971.25,12582.8,13119.24,12923.22,12727.35,12631.12,13080.01,13429.23,11868.02,12490.85,12335.16,12620.16,11916.39,11945.26
, = 매출총이익,3225.5,2098.29,1920.42,1907.74,2584.73,1375.29,1235.63,1147.81,2072.94,1182.18,1420.53,1471.85,2162.51,1439.75,2210.54,715.95,1883.89,1282.47,1771.05,1799.42
, - 판매비와관리비,1422.59,1596.89,1449.49,1518.75,1496.03,1530.23,1446.67,1447.15,1438.56,1418.54,1441.71,1441.96,1505.3,1124.82,1440.69,1387.41,1428.54,1375.43,1412.77,1511.59
, = 영업이익,1802.91,501.4,470.93,388.99,1088.7,-154.94,-211.04,-299.34,634.38,-236.36,-21.18,29.89,657.21,314.93,769.85,-671.46,455.35,-92.96,358.28,287.83
,* 지배순이익,-350.02,-666.23,-22.29,-377.19,798.36,214.94,-485.34,-804.28,825.86,-692.81,-470.21,-118.26,132.33,1077.95,601.97,-874.45,-625.03,-483.28,441.84,-267.67
,매출원가비중,78.34,85.43,86.43,86.67,83.5,90.68,91.3,91.64,86.36,91.62,89.96,89.56,85.81,90.32,84.3,94.58,86.75,90.78,87.06,86.91
,매출총이익율,21.66,14.57,13.57,13.33,16.5,9.32,8.7,8.36,13.64,8.38,10.04,10.44,14.19,9.68,15.7,5.42,13.25,9.22,12.94,13.09
,판관비율,9.55,11.09,10.24,10.61,9.55,10.37,10.18,10.54,9.47,10.06,10.19,10.22,9.88,7.56,10.23,10.51,10.05,9.89,10.32,11
,영업이익률,12.11,3.48,3.33,2.72,6.95,-1.05,-1.49,-2.18,4.18,-1.68,-0.15,0.21,4.31,2.12,5.47,-5.08,3.2,-0.67,2.62,2.09
,지배순이익률,-2.35,-4.63,-0.16,-2.63,5.1,1.46,-3.42,-5.86,5.44,-4.91,-3.32,-0.84,0.87,7.25,4.28,-6.62,-4.4,-3.48,3.23,-1.95
,매출액YOY(%),,,,,5.21,2.43,0.41,-4.08,-3.02,-4.37,-0.42,2.71,0.33,5.41,-0.49,-6.35,-6.71,-6.5,-2.78,4.07
,영업이익YOY(%),,,,,-39.61,-130.9,-144.81,-176.95,-41.73,-52.55,89.96,109.99,3.6,233.24,3734.8,-2346.44,-30.71,-129.52,-53.46,142.87
,지배순이익YOY(%),,,,,328.09,132.26,-2077.39,-113.23,3.44,-422.33,3.12,85.3,-83.98,255.59,228.02,-639.43,-572.33,-144.83,-26.6,69.39
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
