,아이에스동서,A010780,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1038.26,1118.11,1042.38,1352.53,1243.15,1956.83,1496.63,1818.07,1692.91,1840.03,1699.22,2311.39,1959.85,2045.47,1737.55,2478,2326.64,2916.28,3311.41,4523.44
, - 매출원가,840.59,916.29,858.55,1107.47,1051.4,1628.34,1159.03,1428.03,1336.79,1406.79,1279.87,1777.18,1463.19,1499.16,1227.14,1837.81,1679.07,2083.47,2387.95,3244.78
, = 매출총이익,197.67,201.82,183.83,245.06,191.75,328.49,337.6,390.04,356.12,433.24,419.35,534.21,496.66,546.31,510.41,640.19,647.57,832.81,923.46,1278.66
, - 판매비와관리비,123.43,158.77,128.17,159.6,154.31,246.89,203.62,229.61,269.02,256.38,280.94,286.09,301.22,325.36,355.76,325.66,354.15,450.34,340.98,417.57
, = 영업이익,74.24,43.05,55.66,85.46,37.44,81.6,133.98,160.43,87.1,176.86,138.41,248.12,195.44,220.95,154.65,314.53,293.42,382.47,582.48,861.09
,* 지배순이익,43.24,45.17,39.26,56.47,17.74,-40.75,79.3,77.56,-21.17,77.63,74.93,109.54,171.51,132.82,119.74,422.65,253.34,222.21,405.75,617.63
,매출원가비중,80.96,81.95,82.36,81.88,84.58,83.21,77.44,78.55,78.96,76.45,75.32,76.89,74.66,73.29,70.62,74.17,72.17,71.44,72.11,71.73
,매출총이익율,19.04,18.05,17.64,18.12,15.42,16.79,22.56,21.45,21.04,23.55,24.68,23.11,25.34,26.71,29.38,25.83,27.83,28.56,27.89,28.27
,판관비율,11.89,14.2,12.3,11.8,12.41,12.62,13.61,12.63,15.89,13.93,16.53,12.38,15.37,15.91,20.47,13.14,15.22,15.44,10.3,9.23
,영업이익률,7.15,3.85,5.34,6.32,3.01,4.17,8.95,8.82,5.14,9.61,8.15,10.73,9.97,10.8,8.9,12.69,12.61,13.12,17.59,19.04
,지배순이익률,4.16,4.04,3.77,4.18,1.43,-2.08,5.3,4.27,-1.25,4.22,4.41,4.74,8.75,6.49,6.89,17.06,10.89,7.62,12.25,13.65
,매출액YOY(%),,,,,19.73,75.01,43.58,34.42,36.18,-5.97,13.54,27.13,15.77,11.17,2.26,7.21,18.72,42.57,90.58,82.54
,영업이익YOY(%),,,,,-49.57,89.55,140.71,87.73,132.64,116.74,3.31,54.66,124.39,24.93,11.73,26.77,50.13,73.1,276.64,173.77
,지배순이익YOY(%),,,,,-58.97,-190.21,101.99,37.35,-219.33,290.5,-5.51,41.23,910.16,71.09,59.8,285.84,47.71,67.3,238.86,46.13
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4110.74,5295.42,4285.42,5094.88,4751.01,4198.3,2584.96,7710.42,2538.3,3134.79,1858.57,1509.07,1994.78,2343.42,2157.12,3141.69,3393.9,3311.42,3405,
