,에스에프에이,A056190,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1520.67,2580.66,1003.46,1010.82,980.1,1896.6,1156.77,1493.79,1183.05,951.39,573.5,695.43,1235.15,1647.28,870.25,1427.45,1428.81,1534.13,2052.71,2794.24
, - 매출원가,1207.67,2057.75,769.29,797.92,721.63,1315.7,850.09,1118.77,830.51,732.05,453.46,562.64,1001.34,1308.56,728.22,1123.34,1138.86,1193.86,1837.59,2426.19
, = 매출총이익,313,522.91,234.17,212.9,258.47,580.9,306.68,375.02,352.54,219.34,120.04,132.79,233.81,338.72,142.03,304.11,289.95,340.27,215.12,368.05
, - 판매비와관리비,163.62,157.02,154.75,98.36,138.72,244.34,123.8,167.83,167.45,148.64,92.31,88.04,110.92,76.59,116.78,128.15,114.02,137.32,167.5,172.03
, = 영업이익,149.38,365.89,79.42,114.54,119.75,336.56,182.88,207.19,185.09,70.7,27.73,44.75,122.89,262.13,25.25,175.96,175.93,202.95,47.62,196.02
,* 지배순이익,116.88,248.49,171.57,118.2,116.4,275.16,173.27,171.29,183.58,102.75,47.33,68.97,103.76,192.99,32.15,48.35,85.36,142.5,115.38,174.04
,매출원가비중,79.42,79.74,76.66,78.94,73.63,69.37,73.49,74.89,70.2,76.95,79.07,80.91,81.07,79.44,83.68,78.7,79.71,77.82,89.52,86.83
,매출총이익율,20.58,20.26,23.34,21.06,26.37,30.63,26.51,25.11,29.8,23.05,20.93,19.09,18.93,20.56,16.32,21.3,20.29,22.18,10.48,13.17
,판관비율,10.76,6.08,15.42,9.73,14.15,12.88,10.7,11.24,14.15,15.62,16.1,12.66,8.98,4.65,13.42,8.98,7.98,8.95,8.16,6.16
,영업이익률,9.82,14.18,7.91,11.33,12.22,17.75,15.81,13.87,15.65,7.43,4.84,6.43,9.95,15.91,2.9,12.33,12.31,13.23,2.32,7.02
,지배순이익률,7.69,9.63,17.1,11.69,11.88,14.51,14.98,11.47,15.52,10.8,8.25,9.92,8.4,11.72,3.69,3.39,5.97,9.29,5.62,6.23
,매출액YOY(%),,,,,-35.55,-26.51,15.28,47.78,20.71,-49.84,-50.42,-53.45,4.4,73.14,51.74,105.26,15.68,-6.87,135.88,95.75
,영업이익YOY(%),,,,,-19.84,-8.02,130.27,80.89,54.56,-78.99,-84.84,-78.4,-33.61,270.76,-8.94,293.21,43.16,-22.58,88.59,11.4
,지배순이익YOY(%),,,,,-0.41,10.73,0.99,44.92,57.71,-62.66,-72.68,-59.73,-43.48,87.82,-32.07,-29.9,-17.73,-26.16,258.88,259.96
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3201.92,5148.61,4614.58,5747.86,4582.46,4258.95,4042.8,3727.89,3926.67,3903.19,3192.73,3488.06,4087.78,5008.9,3676.44,4187.54,3811.42,3836.31,3607,
