,에스엘,A005850,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1423.22,1568.41,1485.86,1393.5,1323.5,3362.08,2847.27,3012.41,3284.19,3272.74,3345.43,3273.29,3183.83,3791.26,3402.51,3526.38,3376.74,3645.71,3629.51,3953.08
, - 매출원가,1207.57,1396.37,1256.01,1314.76,1156.88,3177.77,2537.58,2698.8,2983.86,2973.28,2942.42,2867.7,2873.86,3411.41,2990.35,3060.1,2911.85,3228.97,3208.92,3478.23
, = 매출총이익,215.65,172.04,229.85,78.74,166.62,184.31,309.69,313.61,300.33,299.46,403.01,405.59,309.97,379.85,412.16,466.28,464.89,416.74,420.59,474.85
, - 판매비와관리비,122.21,139.75,103.74,114.35,129.75,231.47,199.33,209.52,231.23,230,241.04,255.32,193,211.97,220.25,262.44,277.69,366.9,242.9,258.79
, = 영업이익,93.44,32.29,126.11,-35.61,36.87,-47.16,110.36,104.09,69.1,69.46,161.97,150.27,116.97,167.88,191.91,203.84,187.2,49.84,177.69,216.06
,* 지배순이익,92.95,38.04,185.4,24.34,17.72,113.5,238.37,184.81,224.24,136.36,228.51,283.58,153.48,340.61,232.33,259.52,149.45,63.68,204.54,243.43
,매출원가비중,84.85,89.03,84.53,94.35,87.41,94.52,89.12,89.59,90.86,90.85,87.95,87.61,90.26,89.98,87.89,86.78,86.23,88.57,88.41,87.99
,매출총이익율,15.15,10.97,15.47,5.65,12.59,5.48,10.88,10.41,9.14,9.15,12.05,12.39,9.74,10.02,12.11,13.22,13.77,11.43,11.59,12.01
,판관비율,8.59,8.91,6.98,8.21,9.8,6.88,7,6.96,7.04,7.03,7.21,7.8,6.06,5.59,6.47,7.44,8.22,10.06,6.69,6.55
,영업이익률,6.57,2.06,8.49,-2.56,2.79,-1.4,3.88,3.46,2.1,2.12,4.84,4.59,3.67,4.43,5.64,5.78,5.54,1.37,4.9,5.47
,지배순이익률,6.53,2.43,12.48,1.75,1.34,3.38,8.37,6.13,6.83,4.17,6.83,8.66,4.82,8.98,6.83,7.36,4.43,1.75,5.64,6.16
,매출액YOY(%),,,,,-7.01,114.36,91.62,116.18,148.14,-2.66,17.5,8.66,-3.06,15.84,1.71,7.73,6.06,-3.84,6.67,12.1
,영업이익YOY(%),,,,,-60.54,-246.05,-12.49,392.31,87.42,247.29,46.77,44.37,69.28,141.69,18.48,35.65,60.04,-70.31,-7.41,5.99
,지배순이익YOY(%),,,,,-80.94,198.37,28.57,659.29,1165.46,20.14,-4.14,53.44,-31.56,149.79,1.67,-8.48,-2.63,-81.3,-11.96,-6.2
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4150.21,4473.01,3813.84,3720.63,3736.18,3623.62,3517.03,3987.95,3986.45,4494.91,3929.78,6402.75,5712.96,6576.63,6129.43,4203.92,6823.09,7893.73,6941,
