,에스엠,A041510,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,299.84,393.59,384.76,323.87,515.25,899.28,499.86,569.07,820.64,797.43,668.83,621.73,786.72,792.53,654.32,761.37,943.81,862.84,904.51,768.96
, - 매출원가,202.5,244.47,228.6,179,345.97,528.16,289.31,380.94,514.34,515.53,467.99,411.16,475.75,492.93,434.04,483.17,566.09,616.91,627.53,608.62
, = 매출총이익,97.34,149.12,156.16,144.87,169.28,371.12,210.55,188.13,306.3,281.9,200.84,210.57,310.97,299.6,220.28,278.2,377.72,245.93,276.98,160.34
, - 판매비와관리비,27.94,53.73,38.37,44.81,50.01,147.95,159.79,151.55,156.05,114.13,153.39,156.3,169.04,199.94,182.62,160.87,191.3,202.94,186.68,184.66
, = 영업이익,69.4,95.39,117.79,100.06,119.27,223.17,50.76,36.58,150.25,167.77,47.45,54.27,141.93,99.66,37.66,117.33,186.42,42.99,90.3,-24.32
,* 지배순이익,52.95,72.65,94.01,97.13,87.44,138.91,27.04,6.95,131.39,22.55,33.91,-119.25,101.29,44.03,31.78,69.82,130.07,-14.69,52.71,-12.23
,매출원가비중,67.54,62.11,59.41,55.27,67.15,58.73,57.88,66.94,62.68,64.65,69.97,66.13,60.47,62.2,66.33,63.46,59.98,71.5,69.38,79.15
,매출총이익율,32.46,37.89,40.59,44.73,32.85,41.27,42.12,33.06,37.32,35.35,30.03,33.87,39.53,37.8,33.67,36.54,40.02,28.5,30.62,20.85
,판관비율,9.32,13.65,9.97,13.84,9.71,16.45,31.97,26.63,19.02,14.31,22.93,25.14,21.49,25.23,27.91,21.13,20.27,23.52,20.64,24.01
,영업이익률,23.15,24.24,30.61,30.9,23.15,24.82,10.15,6.43,18.31,21.04,7.09,8.73,18.04,12.57,5.76,15.41,19.75,4.98,9.98,-3.16
,지배순이익률,17.66,18.46,24.43,29.99,16.97,15.45,5.41,1.22,16.01,2.83,5.07,-19.18,12.87,5.56,4.86,9.17,13.78,-1.7,5.83,-1.59
,매출액YOY(%),,,,,71.84,128.48,29.91,75.71,59.27,-11.33,33.8,9.25,-4.13,-0.61,-2.17,22.46,19.97,8.87,38.24,1
,영업이익YOY(%),,,,,71.86,133.96,-56.91,-63.44,25.97,-24.82,-6.52,48.36,-5.54,-40.6,-20.63,116.2,31.35,-56.86,139.78,-120.73
,지배순이익YOY(%),,,,,65.14,91.2,-71.24,-92.84,50.26,-83.77,25.41,-1815.83,-22.91,95.25,-6.28,158.55,28.41,-133.36,65.86,-117.52
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1041.17,784.06,680.8,677.07,866.73,1429.27,1106.24,1244.31,1686.82,2084.9,1307.98,1596.44,1734.77,1939.07,1447.48,1359.08,1150.16,1842.03,1248,
