,에이치엘비,A028300,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,30.93,23.66,27.51,59.18,44.54,45.42,77.15,80.76,100.57,-50.39,74.73,80.33,90.97,125.82,90.81,94.09,88.67,111.04,92.08,81.6
, - 매출원가,26.76,18.62,23.42,52.81,43.21,30.33,68.11,65.31,96.12,-46.88,61.1,68.34,71.3,111.4,75.02,82.96,70.16,96.19,69.71,68.45
, = 매출총이익,4.17,5.04,4.09,6.37,1.33,15.09,9.04,15.45,4.45,-3.51,13.63,11.99,19.67,14.42,15.79,11.13,18.51,14.85,22.37,13.15
, - 판매비와관리비,5.45,6.65,8.16,6.97,7.05,12.1,23.1,28.35,17.15,10.33,12.27,15.94,13.88,13.99,25.45,30.3,31.08,33.09,37.48,44.39
, = 영업이익,-1.28,-1.61,-4.07,-0.6,-5.72,2.99,-14.06,-12.9,-12.7,-13.84,1.36,-3.95,5.79,0.43,-9.66,-19.17,-12.57,-18.24,-15.11,-31.24
,* 지배순이익,-2.77,0.97,-5.61,-2.18,-12.05,-51.33,-1.79,-26.79,5.93,-62.79,2.7,-16.82,-1.26,-13.92,-10.86,-22.84,-15.68,175.78,-7.05,-20.03
,매출원가비중,86.52,78.7,85.13,89.24,97.01,66.78,88.28,80.87,95.58,93.03,81.76,85.07,78.38,88.54,82.61,88.17,79.12,86.63,75.71,83.88
,매출총이익율,13.48,21.3,14.87,10.76,2.99,33.22,11.72,19.13,4.42,6.97,18.24,14.93,21.62,11.46,17.39,11.83,20.88,13.37,24.29,16.12
,판관비율,17.62,28.11,29.66,11.78,15.83,26.64,29.94,35.1,17.05,-20.5,16.42,19.84,15.26,11.12,28.03,32.2,35.05,29.8,40.7,54.4
,영업이익률,-4.14,-6.8,-14.79,-1.01,-12.84,6.58,-18.22,-15.97,-12.63,27.47,1.82,-4.92,6.36,0.34,-10.64,-20.37,-14.18,-16.43,-16.41,-38.28
,지배순이익률,-8.96,4.1,-20.39,-3.68,-27.05,-113.01,-2.32,-33.17,5.9,124.61,3.61,-20.94,-1.39,-11.06,-11.96,-24.27,-17.68,158.3,-7.66,-24.55
,매출액YOY(%),,,,,44,91.97,180.44,36.47,125.8,-210.94,-3.14,-0.53,-9.55,349.69,21.52,17.13,-2.53,-11.75,1.4,-13.27
,영업이익YOY(%),,,,,-346.88,285.71,-245.45,-2050,-122.03,-562.88,109.67,69.38,145.59,103.11,-810.29,-385.32,-317.1,-4341.86,-56.42,-62.96
,지배순이익YOY(%),,,,,-335.02,-5391.75,68.09,-1128.9,149.21,-22.33,250.84,37.22,-121.25,77.83,-502.22,-35.79,-1144.44,1362.79,35.08,12.3
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,65.44,62.27,59.61,70.84,49.37,50.24,60.97,112.37,73.71,114.82,72.18,95.28,91.48,125.26,120.23,99.94,113.85,227.76,0,
