,영원무역,A111770,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3173.66,2661.53,1522.58,3113.65,3741.9,2213.37,1603.28,2888.16,3632.08,2958.76,2121.78,3483.96,3977.71,2879.91,2497.45,4522.93,4953.08,3875.93,4316.48,5513.45
, - 매출원가,2248.94,1967.75,1076.43,2173.71,2665.44,1729.95,1144.57,2142.92,2589.63,2378.18,1559.27,2539.63,2815.98,2173.9,1818.73,3135.14,3565,2837.9,3146,3938.43
, = 매출총이익,924.72,693.78,446.15,939.94,1076.46,483.42,458.71,745.24,1042.45,580.58,562.51,944.33,1161.73,706.01,678.72,1387.79,1388.08,1038.03,1170.48,1575.02
, - 판매비와관리비,233.29,317.91,221.95,284.07,268.01,308.91,241.75,271.62,285.44,420.29,283.04,390.68,375.15,470.7,358.62,690.5,738.52,736.79,790.88,880.98
, = 영업이익,691.43,375.87,224.2,655.87,808.45,174.51,216.96,473.62,757.01,160.29,279.47,553.65,786.58,235.31,320.1,697.29,649.56,301.24,379.6,694.04
,* 지배순이익,527.83,138.9,148.32,461.92,543.62,37.28,155.16,347.08,494.88,107.91,205.64,336.21,563.99,175.4,234.27,407.77,501.85,155.03,279.7,451.54
,매출원가비중,70.86,73.93,70.7,69.81,71.23,78.16,71.39,74.2,71.3,80.38,73.49,72.89,70.79,75.48,72.82,69.32,71.98,73.22,72.88,71.43
,매출총이익율,29.14,26.07,29.3,30.19,28.77,21.84,28.61,25.8,28.7,19.62,26.51,27.11,29.21,24.52,27.18,30.68,28.02,26.78,27.12,28.57
,판관비율,7.35,11.94,14.58,9.12,7.16,13.96,15.08,9.4,7.86,14.2,13.34,11.21,9.43,16.34,14.36,15.27,14.91,19.01,18.32,15.98
,영업이익률,21.79,14.12,14.73,21.06,21.61,7.88,13.53,16.4,20.84,5.42,13.17,15.89,19.77,8.17,12.82,15.42,13.11,7.77,8.79,12.59
,지배순이익률,16.63,5.22,9.74,14.84,14.53,1.68,9.68,12.02,13.63,3.65,9.69,9.65,14.18,6.09,9.38,9.02,10.13,4,6.48,8.19
,매출액YOY(%),,,,,17.9,-16.84,5.3,-7.24,-2.93,33.68,32.34,20.63,9.52,-2.66,17.71,29.82,24.52,34.59,72.84,21.9
,영업이익YOY(%),,,,,16.92,-53.57,-3.23,-27.79,-6.36,-8.15,28.81,16.9,3.91,46.8,14.54,25.94,-17.42,28.02,18.59,-0.47
,지배순이익YOY(%),,,,,2.99,-73.16,4.61,-24.86,-8.97,189.46,32.53,-3.13,13.96,62.54,13.92,21.28,-11.02,-11.61,19.39,10.73
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5475.97,4710.17,4405.74,5648.22,5513.44,4525.71,4498.56,5752.09,5983.43,4778.61,4821.1,6699.66,6826.37,5535.54,5290.26,5455.4,8076.1,5841.99,5634,
