,오뚜기,A007310,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3925.05,3672.23,4166.96,4034.3,4457.58,3943.9,4343.72,4153.49,4526.2,4258.34,4538.45,4320.57,4635.6,4322.66,4645.28,4556.63,5035.06,4594.02,5156.49,4880.49
, - 매출원가,3041.27,2921.25,3276.88,3157.86,3464.76,3006.46,3287.88,3277.76,3511.18,3296.5,3491.88,3328.22,3579.41,3262.64,3471.45,3447.93,3829.88,3502.38,3948.06,3657.99
, = 매출총이익,883.78,750.98,890.08,876.44,992.82,937.44,1055.84,875.73,1015.02,961.84,1046.57,992.35,1056.19,1060.02,1173.83,1108.7,1205.18,1091.64,1208.43,1222.5
, - 판매비와관리비,620.63,683.72,640.49,644.57,683.11,722.79,743.92,624.74,705.1,783.91,698.31,705.89,748.47,843.75,784.98,737.63,811.39,911.26,852.71,817.97
, = 영업이익,263.15,67.26,249.59,231.87,309.71,214.65,311.92,250.99,309.92,177.93,348.26,286.46,307.72,216.27,388.85,371.07,393.79,180.38,355.72,404.53
,* 지배순이익,209.59,50.94,200.77,190.72,106.31,169.64,252.13,202.79,272.19,186.47,277.08,242.59,283.1,134.9,328.63,300.98,327.17,87.77,489.7,257.17
,매출원가비중,77.48,79.55,78.64,78.28,77.73,76.23,75.69,78.92,77.57,77.41,76.94,77.03,77.22,75.48,74.73,75.67,76.06,76.24,76.56,74.95
,매출총이익율,22.52,20.45,21.36,21.72,22.27,23.77,24.31,21.08,22.43,22.59,23.06,22.97,22.78,24.52,25.27,24.33,23.94,23.76,23.44,25.05
,판관비율,15.81,18.62,15.37,15.98,15.32,18.33,17.13,15.04,15.58,18.41,15.39,16.34,16.15,19.52,16.9,16.19,16.11,19.84,16.54,16.76
,영업이익률,6.7,1.83,5.99,5.75,6.95,5.44,7.18,6.04,6.85,4.18,7.67,6.63,6.64,5,8.37,8.14,7.82,3.93,6.9,8.29
,지배순이익률,5.34,1.39,4.82,4.73,2.38,4.3,5.8,4.88,6.01,4.38,6.11,5.61,6.11,3.12,7.07,6.61,6.5,1.91,9.5,5.27
,매출액YOY(%),,,,,13.57,7.4,4.24,2.95,1.54,7.97,4.48,4.02,2.42,1.51,2.35,5.46,8.62,6.28,11,7.11
,영업이익YOY(%),,,,,17.69,219.13,24.97,8.25,0.07,-17.11,11.65,14.13,-0.71,21.55,11.66,29.54,27.97,-16.6,-8.52,9.02
,지배순이익YOY(%),,,,,-49.28,233.02,25.58,6.33,156.03,9.92,9.9,19.63,4.01,-27.66,18.6,24.07,15.57,-34.94,49.01,-14.56
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5164.44,4905.17,5318.37,5134.34,5643.43,5165.36,5772.91,5371.3,5796.28,5527.15,5967.47,5670.44,5970.11,5988.49,6455.34,6409,6812.99,6281.48,6476,
