,오리콤,A010470,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,261.1,262.28,185.25,303.68,269.3,340,219.28,275.92,271.36,233.75,197.4,216.15,250.05,281.53,196.19,251.36,299.11,515.96,295.9,450.81
, - 매출원가,138.37,155.01,108.26,183.13,152.97,180.57,136.57,163.77,173.11,112.25,127.27,115.16,156.69,149.42,121.97,139.58,200.34,333.53,195.13,305.55
, = 매출총이익,122.73,107.27,76.99,120.55,116.33,159.43,82.71,112.15,98.25,121.5,70.13,100.99,93.36,132.11,74.22,111.78,98.77,182.43,100.77,145.26
, - 판매비와관리비,100.93,80.43,87.12,89.43,103.83,114.91,94.74,92.55,90.94,96.43,85.36,88.45,93.41,97.48,94.96,90.79,107.92,143.75,118.88,115.47
, = 영업이익,21.8,26.84,-10.13,31.12,12.5,44.52,-12.03,19.6,7.31,25.07,-15.23,12.54,-0.05,34.63,-20.74,20.99,-9.15,38.68,-18.11,29.79
,* 지배순이익,15.01,17.95,-6.17,17.66,10.03,26.46,-6.79,11.79,5.98,19.42,-9.96,9.59,0.51,24.88,-11.12,17.38,-3.09,24.7,-15.81,20.31
,매출원가비중,53,59.1,58.44,60.3,56.8,53.11,62.28,59.35,63.79,48.02,64.47,53.28,62.66,53.07,62.17,55.53,66.98,64.64,65.94,67.78
,매출총이익율,47,40.9,41.56,39.7,43.2,46.89,37.72,40.65,36.21,51.98,35.53,46.72,37.34,46.93,37.83,44.47,33.02,35.36,34.06,32.22
,판관비율,38.66,30.67,47.03,29.45,38.56,33.8,43.21,33.54,33.51,41.25,43.24,40.92,37.36,34.63,48.4,36.12,36.08,27.86,40.18,25.61
,영업이익률,8.35,10.23,-5.47,10.25,4.64,13.09,-5.49,7.1,2.69,10.73,-7.72,5.8,-0.02,12.3,-10.57,8.35,-3.06,7.5,-6.12,6.61
,지배순이익률,5.75,6.84,-3.33,5.82,3.72,7.78,-3.1,4.27,2.2,8.31,-5.05,4.44,0.2,8.84,-5.67,6.91,-1.03,4.79,-5.34,4.51
,매출액YOY(%),,,,,3.14,29.63,18.37,-9.14,0.76,-31.25,-9.98,-21.66,-7.85,20.44,-0.61,16.29,19.62,83.27,50.82,79.35
,영업이익YOY(%),,,,,-42.66,65.87,-18.76,-37.02,-41.52,-43.69,-26.6,-36.02,-100.68,38.13,-36.18,67.38,-18200,11.7,12.68,41.92
,지배순이익YOY(%),,,,,-33.18,47.41,-10.05,-33.24,-40.38,-26.61,-46.69,-18.66,-91.47,28.12,-11.65,81.23,-705.88,-0.72,-42.18,16.86
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,425.64,446.95,278.37,371.97,506.58,517.48,339.28,427.23,485.24,575.83,374.77,507.69,544.07,558.94,385.59,267.05,346.82,323.36,0,
