,와이어블,A065530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,313.8,346.05,450.07,437.69,217.74,238,300.05,240.02,216.32,320.19,246.2,680.79,308.93,422.56,364.95,339.45,244.37,260.03,311.43,207.47
, - 매출원가,289.18,298.8,411.63,396.67,198.17,203.07,272.93,219.03,182.91,262.11,222.48,581.91,256.25,359.99,323.67,281.84,237.6,218.99,270.68,170.23
, = 매출총이익,24.62,47.25,38.44,41.02,19.57,34.93,27.12,20.99,33.41,58.08,23.72,98.88,52.68,62.57,41.28,57.61,6.77,41.04,40.75,37.24
, - 판매비와관리비,7.36,13.11,7.57,7.42,7.36,12.26,7.36,6.93,6.4,8.86,8.46,7.87,5.87,10.51,8.72,7.07,6.6,6.18,7.62,6.32
, = 영업이익,17.26,34.14,30.87,33.6,12.21,22.67,19.76,14.06,27.01,49.22,15.26,91.01,46.81,52.06,32.56,50.54,0.17,34.86,33.13,30.92
,* 지배순이익,10.45,30.29,21.92,23.1,43.38,8.6,25.64,13.41,19.11,22.09,9.64,47.41,24.6,63.95,20.53,37.56,-4.38,27.92,23.1,22.04
,매출원가비중,92.15,86.35,91.46,90.63,91.01,85.32,90.96,91.25,84.56,81.86,90.37,85.48,82.95,85.19,88.69,83.03,97.23,84.22,86.92,82.05
,매출총이익율,7.85,13.65,8.54,9.37,8.99,14.68,9.04,8.75,15.44,18.14,9.63,14.52,17.05,14.81,11.31,16.97,2.77,15.78,13.08,17.95
,판관비율,2.35,3.79,1.68,1.7,3.38,5.15,2.45,2.89,2.96,2.77,3.44,1.16,1.9,2.49,2.39,2.08,2.7,2.38,2.45,3.05
,영업이익률,5.5,9.87,6.86,7.68,5.61,9.53,6.59,5.86,12.49,15.37,6.2,13.37,15.15,12.32,8.92,14.89,0.07,13.41,10.64,14.9
,지배순이익률,3.33,8.75,4.87,5.28,19.92,3.61,8.55,5.59,8.83,6.9,3.92,6.96,7.96,15.13,5.63,11.06,-1.79,10.74,7.42,10.62
,매출액YOY(%),,,,,-30.61,-31.22,-33.33,-45.16,-0.65,34.53,-17.95,183.64,42.81,31.97,48.23,-50.14,-20.9,-38.46,-14.67,-38.88
,영업이익YOY(%),,,,,-29.26,-33.6,-35.99,-58.15,121.21,117.12,-22.77,547.3,73.31,5.77,113.37,-44.47,-99.64,-33.04,1.75,-38.82
,지배순이익YOY(%),,,,,315.12,-71.61,16.97,-41.95,-55.95,156.86,-62.4,253.54,28.73,189.5,112.97,-20.78,-117.8,-56.34,12.52,-41.32
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,197.92,221.74,243.05,186.4,199.23,202.37,171.03,125.26,145.11,217.99,166.14,164.85,205.82,325.93,181.2,182.97,208.54,316.89,0,
, - 매출원가,186.99,181.68,208.52,163.2,185.74,188.26,159.34,114.04,133.27,203.56,155.7,152.99,190.07,297.43,169.29,168.74,196.79,273.19,,
