,와이엔텍,A067900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,112.18,131.82,137.03,144.46,99.91,103.78,84.96,108.82,94.27,116.24,96.9,120.47,124.54,144.43,99.5,127.55,133.27,127.18,112.23,122.56
, - 매출원가,87.6,108.76,110.51,109.77,80.41,85.26,67.26,81.5,74.6,85.92,76.34,96.95,105.23,108.99,86.92,94.86,95.54,106.18,88.54,96.89
, = 매출총이익,24.58,23.06,26.52,34.69,19.5,18.52,17.7,27.32,19.67,30.32,20.56,23.52,19.31,35.44,12.58,32.69,37.73,21,23.69,25.67
, - 판매비와관리비,6.54,7.77,5.6,4.77,7.68,10.89,6.36,4.82,6.12,7.53,6.31,6.53,7.42,8.19,7.3,7.11,7.24,6.21,7.67,6.95
, = 영업이익,18.04,15.29,20.92,29.92,11.82,7.63,11.34,22.5,13.55,22.79,14.25,16.99,11.89,27.25,5.28,25.58,30.49,14.79,16.02,18.72
,* 지배순이익,13.79,5.31,14.03,24.32,2.45,2.6,7.95,16.46,9.23,16.01,8.68,17.12,2.24,9.45,2.13,15.46,13.1,7.76,14.16,12.03
,매출원가비중,78.09,82.51,80.65,75.99,80.48,82.15,79.17,74.89,79.13,73.92,78.78,80.48,84.49,75.46,87.36,74.37,71.69,83.49,78.89,79.06
,매출총이익율,21.91,17.49,19.35,24.01,19.52,17.85,20.83,25.11,20.87,26.08,21.22,19.52,15.51,24.54,12.64,25.63,28.31,16.51,21.11,20.94
,판관비율,5.83,5.89,4.09,3.3,7.69,10.49,7.49,4.43,6.49,6.48,6.51,5.42,5.96,5.67,7.34,5.57,5.43,4.88,6.83,5.67
,영업이익률,16.08,11.6,15.27,20.71,11.83,7.35,13.35,20.68,14.37,19.61,14.71,14.1,9.55,18.87,5.31,20.05,22.88,11.63,14.27,15.27
,지배순이익률,12.29,4.03,10.24,16.84,2.45,2.51,9.36,15.13,9.79,13.77,8.96,14.21,1.8,6.54,2.14,12.12,9.83,6.1,12.62,9.82
,매출액YOY(%),,,,,-10.94,-21.27,-38,-24.67,-5.65,12.01,14.05,10.71,32.11,24.25,2.68,5.88,7.01,-11.94,12.79,-3.91
,영업이익YOY(%),,,,,-34.48,-50.1,-45.79,-24.8,14.64,198.69,25.66,-24.49,-12.25,19.57,-62.95,50.56,156.43,-45.72,203.41,-26.82
,지배순이익YOY(%),,,,,-82.23,-51.04,-43.34,-32.32,276.73,515.77,9.18,4.01,-75.73,-40.97,-75.46,-9.7,484.82,-17.88,564.79,-22.19
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,164.06,181.77,180.84,187.11,196.33,188.03,170.85,187.61,186.77,215.49,202.67,247.23,256.69,279.61,273.29,279.21,260.55,247.28,0,
, - 매출원가,128.22,139.88,145.36,151.78,145.25,145.06,131.32,144,144.82,164.44,152.08,181.79,170.1,189.18,187.06,164.85,164.79,192.32,,
, = 매출총이익,35.84,41.89,35.48,35.33,51.08,42.97,39.53,43.61,41.95,51.05,50.59,65.44,86.59,90.43,86.23,114.36,95.76,54.96,,
, - 판매비와관리비,8.33,10.6,9.05,9.44,8.44,12.68,7.72,6.99,6.62,5.46,7.38,7.18,7.55,9.37,8.47,10.65,8.11,7.12,,
, = 영업이익,27.51,31.29,26.43,25.89,42.64,30.29,31.81,36.62,35.33,45.59,43.21,58.26,79.04,81.06,77.76,103.71,87.65,47.84,0,
,* 지배순이익,39.64,-9.61,40.12,12.13,29.97,32.83,23.86,15.1,29.74,21.63,30.37,40.03,56,57.85,50.52,79.98,66.1,22.29,0,
,매출원가비중,78.15,76.95,80.38,81.12,73.98,77.15,76.86,76.75,77.54,76.31,75.04,73.53,66.27,67.66,68.45,59.04,63.25,77.77,,
,매출총이익율,21.85,23.05,19.62,18.88,26.02,22.85,23.14,23.25,22.46,23.69,24.96,26.47,33.73,32.34,31.55,40.96,36.75,22.23,,
,판관비율,5.08,5.83,5,5.05,4.3,6.74,4.52,3.73,3.54,2.53,3.64,2.9,2.94,3.35,3.1,3.81,3.11,2.88,,
,영업이익률,16.77,17.21,14.62,13.84,21.72,16.11,18.62,19.52,18.92,21.16,21.32,23.57,30.79,28.99,28.45,37.14,33.64,19.35,0,
,지배순이익률,24.16,-5.29,22.19,6.48,15.27,17.46,13.97,8.05,15.92,10.04,14.98,16.19,21.82,20.69,18.49,28.65,25.37,9.01,0,
