,위닉스,A044340,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,398.7,227.82,298.26,495.12,424.89,301.6,351.67,1122.54,697.89,406.15,556.75,1213.15,355.09,506.9,436.77,710.91,425.09,402.27,477.5,740.19
, - 매출원가,369.12,216.46,254.36,435.24,377.26,299.9,310.72,907.61,585.87,349.74,451.56,924.44,346,381.71,351.32,524.05,358.68,383.03,375.42,589.52
, = 매출총이익,29.58,11.36,43.9,59.88,47.63,1.7,40.95,214.93,112.02,56.41,105.19,288.71,9.09,125.19,85.45,186.86,66.41,19.24,102.08,150.67
, - 판매비와관리비,25.01,19.56,26.12,28.34,27.83,37.66,36.8,89.45,56,36.4,61.5,154.64,115.21,99.76,78.49,171.95,108.56,106.51,78.34,123.4
, = 영업이익,4.57,-8.2,17.78,31.54,19.8,-35.96,4.15,125.48,56.02,20.01,43.69,134.07,-106.12,25.43,6.96,14.91,-42.15,-87.27,23.74,27.27
,* 지배순이익,-50.87,-4.44,33.32,9.39,24.74,-23.56,3.43,82.12,51.29,14.09,35.81,99.98,-81.42,3.96,9.41,-12.16,-41.39,-126.92,14.47,17.83
,매출원가비중,92.58,95.01,85.28,87.91,88.79,99.44,88.36,80.85,83.95,86.11,81.11,76.2,97.44,75.3,80.44,73.72,84.38,95.22,78.62,79.64
,매출총이익율,7.42,4.99,14.72,12.09,11.21,0.56,11.64,19.15,16.05,13.89,18.89,23.8,2.56,24.7,19.56,26.28,15.62,4.78,21.38,20.36
,판관비율,6.27,8.59,8.76,5.72,6.55,12.49,10.46,7.97,8.02,8.96,11.05,12.75,32.45,19.68,17.97,24.19,25.54,26.48,16.41,16.67
,영업이익률,1.15,-3.6,5.96,6.37,4.66,-11.92,1.18,11.18,8.03,4.93,7.85,11.05,-29.89,5.02,1.59,2.1,-9.92,-21.69,4.97,3.68
,지배순이익률,-12.76,-1.95,11.17,1.9,5.82,-7.81,0.98,7.32,7.35,3.47,6.43,8.24,-22.93,0.78,2.15,-1.71,-9.74,-31.55,3.03,2.41
,매출액YOY(%),,,,,6.57,32.39,17.91,126.72,64.25,34.67,58.32,8.07,-49.12,24.81,-21.55,-41.4,19.71,-20.64,9.33,4.12
,영업이익YOY(%),,,,,333.26,-338.54,-76.66,297.84,182.93,155.65,952.77,6.85,-289.43,27.09,-84.07,-88.88,60.28,-443.18,241.09,82.9
,지배순이익YOY(%),,,,,148.63,-430.63,-89.71,774.55,107.32,159.8,944.02,21.75,-258.74,-71.89,-73.72,-112.16,49.16,-3305.05,53.77,246.63
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,536.74,377.1,532.25,791.45,731.96,551.62,765.81,1119.31,702.8,717.65,1317.65,1031.97,734.54,778.18,964.39,891.81,1069.19,898.04,1197,
