,위메이드,A112040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,284.01,317.88,307.96,261.54,282.49,346.99,594.8,662.07,547.68,469.81,397.79,425.05,418,386.04,356.37,279.25,307.9,322.35,320.02,259.17
, - 매출원가,38.19,38.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,245.82,279.57,307.96,261.54,282.49,346.99,594.8,662.07,547.68,469.81,397.79,425.05,418,386.04,356.37,279.25,307.9,322.35,320.02,259.17
, - 판매비와관리비,199.88,212.93,239.7,278.32,315.33,385.37,550.29,576.13,519.88,504.64,502.8,477.1,469.96,491.61,411.79,355.25,305.72,309.69,315.2,258.76
, = 영업이익,45.94,66.64,68.26,-16.78,-32.84,-38.38,44.51,85.94,27.8,-34.83,-105.01,-52.05,-51.96,-105.57,-55.42,-76,2.18,12.66,4.82,0.41
,* 지배순이익,68.05,64.93,53.87,16.7,-48.04,-65.38,26.72,45.22,-17.59,-54.31,-115.18,-14.03,-5.05,2252.38,-22.29,-57.34,34.37,-1028.19,-293.49,-110.61
,매출원가비중,13.45,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,86.55,87.95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,70.38,66.98,77.83,106.42,111.63,111.06,92.52,87.02,94.92,107.41,126.4,112.25,112.43,127.35,115.55,127.22,99.29,96.07,98.49,99.84
,영업이익률,16.18,20.96,22.17,-6.42,-11.63,-11.06,7.48,12.98,5.08,-7.41,-26.4,-12.25,-12.43,-27.35,-15.55,-27.22,0.71,3.93,1.51,0.16
,지배순이익률,23.96,20.43,17.49,6.39,-17.01,-18.84,4.49,6.83,-3.21,-11.56,-28.95,-3.3,-1.21,583.46,-6.25,-20.53,11.16,-318.97,-91.71,-42.68
,매출액YOY(%),,,,,-0.54,9.16,93.14,153.14,93.88,35.4,-33.12,-35.8,-23.68,-17.83,-10.41,-34.3,-26.34,-16.5,-10.2,-7.19
,영업이익YOY(%),,,,,-171.48,-157.59,-34.79,612.16,184.65,9.25,-335.92,-160.57,-286.91,-203.1,47.22,-46.01,104.2,111.99,108.7,100.54
,지배순이익YOY(%),,,,,-170.6,-200.69,-50.4,170.78,63.38,16.93,-531.06,-131.03,71.29,4247.27,80.65,-308.7,780.59,-145.65,-1216.69,-92.9
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,277.58,223.02,338.46,221.9,243.89,291.44,350.96,277.73,317.91,324.16,266.86,338.73,289.46,241.42,308.2,250.78,237.29,466.15,851,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
, = 매출총이익,277.58,223.02,338.46,221.9,243.89,291.44,350.96,277.73,317.91,324.16,266.86,338.73,289.46,241.42,308.2,250.78,237.29,466.15,,
