,유니슨,A018000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,145.64,347.39,131.53,347.57,518.47,127.57,35.87,131.58,36.55,203.46,159.63,134.63,290.03,235.52,476.74,242.89,151.7,312.14,65.53,88.36
, - 매출원가,132.66,285.71,120.34,286.29,442.05,142.06,41.67,130.89,28.3,316.66,140.43,108.57,235.09,205.9,416.64,216.35,133.27,260.12,43.03,81.34
, = 매출총이익,12.98,61.68,11.19,61.28,76.42,-14.49,-5.8,0.69,8.25,-113.2,19.2,26.06,54.94,29.62,60.1,26.54,18.43,52.02,22.5,7.02
, - 판매비와관리비,9.17,-16.76,39.26,40.96,39.31,39.69,30.28,32.56,31.49,50.69,31.63,25.69,27.07,26.63,30.12,29.33,31.79,33.87,34.68,33.08
, = 영업이익,3.81,78.44,-28.07,20.32,37.11,-54.18,-36.08,-31.87,-23.24,-163.89,-12.43,0.37,27.87,2.99,29.98,-2.79,-13.36,18.15,-12.18,-26.06
,* 지배순이익,-99.22,-438.52,-66.36,164.41,31.29,-136.06,-62.83,-102.09,-69.93,-516.24,-46.96,-67.36,-15.43,-38.79,-34.33,-117.23,-45.08,-94.41,-39.5,-45.01
,매출원가비중,91.09,82.24,91.49,82.37,85.26,111.36,116.17,99.48,77.43,155.64,87.97,80.64,81.06,87.42,87.39,89.07,87.85,83.33,65.66,92.06
,매출총이익율,8.91,17.76,8.51,17.63,14.74,-11.36,-16.17,0.52,22.57,-55.64,12.03,19.36,18.94,12.58,12.61,10.93,12.15,16.67,34.34,7.94
,판관비율,6.3,-4.82,29.85,11.78,7.58,31.11,84.42,24.75,86.16,24.91,19.81,19.08,9.33,11.31,6.32,12.08,20.96,10.85,52.92,37.44
,영업이익률,2.62,22.58,-21.34,5.85,7.16,-42.47,-100.59,-24.22,-63.58,-80.55,-7.79,0.27,9.61,1.27,6.29,-1.15,-8.81,5.81,-18.59,-29.49
,지배순이익률,-68.13,-126.23,-50.45,47.3,6.04,-106.66,-175.16,-77.59,-191.33,-253.73,-29.42,-50.03,-5.32,-16.47,-7.2,-48.26,-29.72,-30.25,-60.28,-50.94
,매출액YOY(%),,,,,255.99,-63.28,-72.73,-62.14,-92.95,59.49,345.02,2.32,693.52,15.76,198.65,80.41,-47.7,32.53,-86.25,-63.62
,영업이익YOY(%),,,,,874.02,-169.07,-28.54,-256.84,-162.62,-202.49,65.55,101.16,219.92,101.82,341.19,-854.05,-147.94,507.02,-140.63,-834.05
,지배순이익YOY(%),,,,,131.54,68.97,5.32,-162.09,-323.49,-279.42,25.26,34.02,77.94,92.49,26.9,-74.04,-192.16,-143.39,-15.06,61.61
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,83.92,287.39,323.1,336.92,645.15,561.88,355.5,677.22,526.14,93.48,275.28,303.77,35.79,144.49,383.02,191.13,122.82,104.71,0,
