,인트론바이오,A048530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,24.86,29.19,18.92,23.28,20.38,19.16,20.27,23.49,22.77,26.24,21.2,24.62,24,29.98,22.9,24.1,21.73,49.62,23.32,24.23
, - 매출원가,11.03,16.73,8.15,15.23,11.25,11.8,7.14,12.55,12.16,16.06,8.15,10.2,9.99,16.17,7.81,7.91,8.04,16.54,10.35,10.49
, = 매출총이익,13.83,12.46,10.77,8.05,9.13,7.36,13.13,10.94,10.61,10.18,13.05,14.42,14.01,13.81,15.09,16.19,13.69,33.08,12.97,13.74
, - 판매비와관리비,10.91,10.84,12.14,11.85,11.29,11.19,11.25,10.91,10.59,11.53,10.88,10.87,11.01,11.28,12.08,14.28,13.53,16.84,14.78,15.62
, = 영업이익,2.92,1.62,-1.37,-3.8,-2.16,-3.83,1.88,0.03,0.02,-1.35,2.17,3.55,3,2.53,3.01,1.91,0.16,16.24,-1.81,-1.88
,* 지배순이익,3.3,2.17,-0.82,-6.26,-2.9,-1.86,2.22,0.34,0.37,0.61,1.58,3.32,3.47,-8.16,1.84,0.68,0.81,12.25,-1.76,-1.94
,매출원가비중,44.37,57.31,43.08,65.42,55.2,61.59,35.22,53.43,53.4,61.2,38.44,41.43,41.62,53.94,34.1,32.82,37,33.33,44.38,43.29
,매출총이익율,55.63,42.69,56.92,34.58,44.8,38.41,64.78,46.57,46.6,38.8,61.56,58.57,58.38,46.06,65.9,67.18,63,66.67,55.62,56.71
,판관비율,43.89,37.14,64.16,50.9,55.4,58.4,55.5,46.45,46.51,43.94,51.32,44.15,45.88,37.63,52.75,59.25,62.26,33.94,63.38,64.47
,영업이익률,11.75,5.55,-7.24,-16.32,-10.6,-19.99,9.27,0.13,0.09,-5.14,10.24,14.42,12.5,8.44,13.14,7.93,0.74,32.73,-7.76,-7.76
,지배순이익률,13.27,7.43,-4.33,-26.89,-14.23,-9.71,10.95,1.45,1.62,2.32,7.45,13.48,14.46,-27.22,8.03,2.82,3.73,24.69,-7.55,-8.01
,매출액YOY(%),,,,,-18.02,-34.36,7.14,0.9,11.73,36.95,4.59,4.81,5.4,14.25,8.02,-2.11,-9.46,65.51,1.83,0.54
,영업이익YOY(%),,,,,-173.97,-336.42,237.23,100.79,100.93,64.75,15.43,11733.33,14900,287.41,38.71,-46.2,-94.67,541.9,-160.13,-198.43
,지배순이익YOY(%),,,,,-187.88,-185.71,370.73,105.43,112.76,132.8,-28.83,876.47,837.84,-1437.7,16.46,-79.52,-76.66,250.12,-195.65,-385.29
