,일진머티리얼즈,A020150,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,817.5,711.28,902.84,970.73,951.79,876.68,928.04,900.18,941.03,730.66,965.49,995.21,1097.6,1090.05,1036.32,885.58,1073.78,938.26,1050.86,992.59
, - 매출원가,745.9,694.83,882.95,885.49,926.43,872.46,910.44,859.54,900.78,753.37,967.9,1006.9,1044.18,987.06,964.36,802.75,979.74,793.7,916.71,849.24
, = 매출총이익,71.6,16.45,19.89,85.24,25.36,4.22,17.6,40.64,40.25,-22.71,-2.41,-11.69,53.42,102.99,71.96,82.83,94.04,144.56,134.15,143.35
, - 판매비와관리비,27.22,46.08,48.83,51.03,44,54.93,57.51,59.65,55.74,51.31,63.09,112.63,107.24,144.85,112.86,55.14,100.67,-19.54,75.25,60.48
, = 영업이익,44.38,-29.63,-28.94,34.21,-18.64,-50.71,-39.91,-19.01,-15.49,-74.02,-65.5,-124.32,-53.82,-41.86,-40.9,27.69,-6.63,164.1,58.9,82.87
,* 지배순이익,63.98,-35.79,-24.03,26.61,-21.24,-548.95,-14.43,-40.13,6.15,-24.96,249.19,-97.17,-24.19,-94.09,578.83,-129.61,-56.95,-775.49,247.47,-15.82
,매출원가비중,91.24,97.69,97.8,91.22,97.34,99.52,98.1,95.49,95.72,103.11,100.25,101.17,95.13,90.55,93.06,90.65,91.24,84.59,87.23,85.56
,매출총이익율,8.76,2.31,2.2,8.78,2.66,0.48,1.9,4.51,4.28,-3.11,-0.25,-1.17,4.87,9.45,6.94,9.35,8.76,15.41,12.77,14.44
,판관비율,3.33,6.48,5.41,5.26,4.62,6.27,6.2,6.63,5.92,7.02,6.53,11.32,9.77,13.29,10.89,6.23,9.38,-2.08,7.16,6.09
,영업이익률,5.43,-4.17,-3.21,3.52,-1.96,-5.78,-4.3,-2.11,-1.65,-10.13,-6.78,-12.49,-4.9,-3.84,-3.95,3.13,-0.62,17.49,5.6,8.35
,지배순이익률,7.83,-5.03,-2.66,2.74,-2.23,-62.62,-1.55,-4.46,0.65,-3.42,25.81,-9.76,-2.2,-8.63,55.85,-14.64,-5.3,-82.65,23.55,-1.59
,매출액YOY(%),,,,,16.43,23.25,2.79,-7.27,-1.13,-16.66,4.04,10.56,16.64,49.19,7.34,-11.02,-2.17,-13.93,1.4,12.08
,영업이익YOY(%),,,,,-142,-71.14,-37.91,-155.57,16.9,-45.97,-64.12,-553.97,-247.45,43.45,37.56,122.27,87.68,492.02,244.01,199.28
,지배순이익YOY(%),,,,,-133.2,-1433.81,39.95,-250.81,128.95,95.45,1826.89,-142.14,-493.33,-276.96,132.28,-33.38,-135.43,-724.2,-57.25,87.79
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,935.86,1010.26,995.34,1120.69,1243.76,1180.56,1155.16,1196.09,1297.14,1371.68,1209.42,1522.07,1502.19,1268.47,1373.87,1352.23,1316.89,1326.17,1739,
