,제넥신,A095700,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4.18,4.18,13.8,26.29,8.11,14.31,3.51,10.91,15.88,27.25,43.38,53.02,59.64,10.51,30.27,82.17,6.97,205.78,28.71,20.41
, - 매출원가,0.21,1.27,2.39,3.07,0.54,0.51,0.35,7.31,6.16,6.15,8.78,8.25,3.97,12.89,7.09,11.86,8.04,21.97,3.08,11.96
, = 매출총이익,3.97,2.91,11.41,23.22,7.57,13.8,3.16,3.6,9.72,21.1,34.6,44.77,55.67,-2.38,23.18,70.31,-1.07,183.81,25.63,8.45
, - 판매비와관리비,11.43,10.37,16.17,22.71,17.12,26.92,16.08,18.37,24.91,48.72,27.25,48.41,70.02,39.06,39.19,50.16,83.37,92.64,53.73,109.19
, = 영업이익,-7.46,-7.46,-4.76,0.51,-9.55,-13.12,-12.92,-14.77,-15.19,-27.62,7.35,-3.64,-14.35,-41.44,-16.01,20.15,-84.44,91.17,-28.1,-100.74
,* 지배순이익,-3.95,-3.95,-4.26,0.72,-4.17,-14.66,-15.4,-16.82,-17.19,-40.58,3.32,-13.53,-23.54,-40.39,4.77,14.25,-95.63,62.34,-30.91,-79.15
,매출원가비중,5.02,30.38,17.32,11.68,6.66,3.56,9.97,67,38.79,22.57,20.24,15.56,6.66,122.65,23.42,14.43,115.35,10.68,10.73,58.6
,매출총이익율,94.98,69.62,82.68,88.32,93.34,96.44,90.03,33,61.21,77.43,79.76,84.44,93.34,-22.65,76.58,85.57,-15.35,89.32,89.27,41.4
,판관비율,273.44,248.09,117.17,86.38,211.1,188.12,458.12,168.38,156.86,178.79,62.82,91.31,117.4,371.65,129.47,61.04,1196.13,45.02,187.15,534.98
,영업이익률,-178.47,-178.47,-34.49,1.94,-117.76,-91.68,-368.09,-135.38,-95.65,-101.36,16.94,-6.87,-24.06,-394.29,-52.89,24.52,-1211.48,44.3,-97.88,-493.58
,지배순이익률,-94.5,-94.5,-30.87,2.74,-51.42,-102.45,-438.75,-154.17,-108.25,-148.92,7.65,-25.52,-39.47,-384.3,15.76,17.34,-1372.02,30.29,-107.66,-387.8
,매출액YOY(%),,,,,94.02,242.34,-74.57,-58.5,95.81,90.43,1135.9,385.98,275.57,-61.43,-30.22,54.98,-88.31,1857.94,-5.15,-75.16
,영업이익YOY(%),,,,,-28.02,-75.87,-171.43,-2996.08,-59.06,-110.52,156.89,75.36,5.53,-50.04,-317.82,653.57,-488.43,320,-75.52,-599.95
,지배순이익YOY(%),,,,,-5.57,-271.14,-261.5,-2436.11,-312.23,-176.81,121.56,19.56,-36.94,0.47,43.67,205.32,-306.24,254.35,-748.01,-655.44
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6.76,57.65,22.02,17.79,59.98,184.76,19.07,17.92,21.35,70.48,7.16,27.76,41.44,36.67,77.03,17,6.82,84.59,0,
, - 매출원가,5.75,27,21.99,5.73,46.69,32.52,7.75,24.59,13.83,17.11,2.99,4.52,8.12,22.86,1.83,6.19,4.31,56.36,,
, = 매출총이익,1.01,30.65,0.03,12.06,13.29,152.24,11.32,-6.67,7.52,53.37,4.17,23.24,33.32,13.81,75.2,10.81,2.51,28.23,,
, - 판매비와관리비,59.88,151.8,90.8,140.83,92.82,121.76,104.32,130.27,96.97,114.81,131.81,160.08,83.37,144.64,124.28,108.59,121.3,154.17,,
, = 영업이익,-58.87,-121.15,-90.77,-128.77,-79.53,30.48,-93,-136.94,-89.45,-61.44,-127.64,-136.84,-50.05,-130.83,-49.08,-97.78,-118.79,-125.94,0,
