,지투알,A035000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,857.22,1037.27,643.61,888.76,689.01,1137.08,635.1,808.01,770.45,1277.28,560.3,840.82,1155.46,1299.4,749.58,1023.4,1177.81,1842.12,870,907.17
, - 매출원가,637.72,709.67,435.71,621.01,457.56,789.99,439.5,506.14,554.26,849.85,371.28,523.2,873.36,892.25,531.1,676.02,848.43,1389.04,624.82,549.9
, = 매출총이익,219.5,327.6,207.9,267.75,231.45,347.09,195.6,301.87,216.19,427.43,189.02,317.62,282.1,407.15,218.48,347.38,329.38,453.08,245.18,357.27
, - 판매비와관리비,207.47,227.41,214.37,226.46,221.91,240.37,253.52,256.86,234.86,234.51,256.18,270.32,267.56,273.45,283.86,297.75,299.97,328.66,275.44,311.26
, = 영업이익,12.03,100.19,-6.47,41.29,9.54,106.72,-57.92,45.01,-18.67,192.92,-67.16,47.3,14.54,133.7,-65.38,49.63,29.41,124.42,-30.26,46.01
,* 지배순이익,13.29,44.19,0.43,25.72,14.16,82.4,-44.9,42.58,-21.99,143.93,-63.42,41.28,18.16,100.69,-60.28,44.18,29.91,102.21,-40.64,46.51
,매출원가비중,74.39,68.42,67.7,69.87,66.41,69.48,69.2,62.64,71.94,66.54,66.26,62.22,75.59,68.67,70.85,66.06,72.03,75.4,71.82,60.62
,매출총이익율,25.61,31.58,32.3,30.13,33.59,30.52,30.8,37.36,28.06,33.46,33.74,37.78,24.41,31.33,29.15,33.94,27.97,24.6,28.18,39.38
,판관비율,24.2,21.92,33.31,25.48,32.21,21.14,39.92,31.79,30.48,18.36,45.72,32.15,23.16,21.04,37.87,29.09,25.47,17.84,31.66,34.31
,영업이익률,1.4,9.66,-1.01,4.65,1.38,9.39,-9.12,5.57,-2.42,15.1,-11.99,5.63,1.26,10.29,-8.72,4.85,2.5,6.75,-3.48,5.07
,지배순이익률,1.55,4.26,0.07,2.89,2.06,7.25,-7.07,5.27,-2.85,11.27,-11.32,4.91,1.57,7.75,-8.04,4.32,2.54,5.55,-4.67,5.13
,매출액YOY(%),,,,,-19.62,9.62,-1.32,-9.09,11.82,12.33,-11.78,4.06,49.97,1.73,33.78,21.71,1.93,41.77,16.06,-11.36
,영업이익YOY(%),,,,,-20.7,6.52,-795.21,9.01,-295.7,80.77,-15.95,5.09,177.88,-30.7,2.65,4.93,102.27,-6.94,53.72,-7.29
,지배순이익YOY(%),,,,,6.55,86.47,-10541.86,65.55,-255.3,74.67,-41.25,-3.05,182.58,-30.04,4.95,7.03,64.7,1.51,32.58,5.27
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,944.85,1357.57,817.06,1245.17,1407.9,1542.87,687.06,1471.11,1167.14,2056.76,659.48,1618.45,753.72,2389.21,669.91,761.38,650.56,1674.32,0,
