,컴투스,A078340,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,91.26,112.46,112.44,220.09,224.47,212.24,248.56,203.47,161.48,200.01,210.77,430.49,868.22,837.4,937.34,1082.9,1148.5,1166.57,1351.36,1266.03
, - 매출원가,38.19,42.45,48.15,54.33,55.31,55.96,55.29,55.6,58.68,72.11,72.94,69.88,65.04,92.01,90.05,96.78,151.63,104.98,113.58,129.11
, = 매출총이익,53.07,70.01,64.29,165.76,169.16,156.28,193.27,147.87,102.8,127.9,137.83,360.61,803.18,745.39,847.29,986.12,996.87,1061.59,1237.78,1136.92
, - 판매비와관리비,43.24,58.04,60.98,100.31,113.77,119.81,141.94,127.63,101.8,123.14,118.27,187.7,343.67,385.27,491.2,582.84,573.87,584.7,639.96,650.55
, = 영업이익,9.83,11.97,3.31,65.45,55.39,36.47,51.33,20.24,1,4.76,19.56,172.91,459.51,360.12,356.09,403.28,423,476.89,597.82,486.37
,* 지배순이익,12.87,12.34,38.96,60.43,75.01,30.21,85.74,32.7,13.44,63.56,11.05,140.38,409.29,231.91,272.95,311.24,318.03,355.94,464.37,379.6
,매출원가비중,41.85,37.75,42.82,24.69,24.64,26.37,22.24,27.33,36.34,36.05,34.61,16.23,7.49,10.99,9.61,8.94,13.2,9,8.4,10.2
,매출총이익율,58.15,62.25,57.18,75.31,75.36,73.63,77.76,72.67,63.66,63.95,65.39,83.77,92.51,89.01,90.39,91.06,86.8,91,91.6,89.8
,판관비율,47.38,51.61,54.23,45.58,50.68,56.45,57.1,62.73,63.04,61.57,56.11,43.6,39.58,46.01,52.4,53.82,49.97,50.12,47.36,51.39
,영업이익률,10.77,10.64,2.94,29.74,24.68,17.18,20.65,9.95,0.62,2.38,9.28,40.17,52.93,43,37.99,37.24,36.83,40.88,44.24,38.42
,지배순이익률,14.1,10.97,34.65,27.46,33.42,14.23,34.49,16.07,8.32,31.78,5.24,32.61,47.14,27.69,29.12,28.74,27.69,30.51,34.36,29.98
,매출액YOY(%),,,,,145.97,88.72,121.06,-7.55,-28.06,-5.76,-15.2,111.57,437.66,318.68,344.72,151.55,32.28,39.31,44.17,16.91
,영업이익YOY(%),,,,,463.48,204.68,1450.76,-69.08,-98.19,-86.95,-61.89,754.3,45851,7465.55,1720.5,133.23,-7.95,32.43,67.88,20.6
,지배순이익YOY(%),,,,,482.83,144.81,120.07,-45.89,-82.08,110.39,-87.11,329.3,2945.31,264.87,2370.14,121.71,-22.3,53.48,70.13,21.96
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1181.35,1331.76,1202.59,1294.03,1257.36,1325.89,1140.13,1241.06,1198.33,1238.02,1076.93,1241.7,1161.63,1212.66,983.03,1475.14,1282.39,1349.33,1255,
, - 매출원가,123.43,149.25,117.93,120.52,143.22,131.64,124.73,153.45,134.23,176.03,148.61,182.2,147.75,210.24,178.73,218.36,223.19,268.63,,
