,케이엠더블유,A032500,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,229.12,359.62,517.72,635.75,720.03,720.85,946.51,867.22,765.68,599.51,693.24,724.71,740.87,-51.61,695.7,326.59,594.98,580.94,707.99,394.71
, - 매출원가,177.14,287.88,370.68,445.33,474.16,469.3,626.67,550.42,486.49,428.82,532.67,549.45,580.11,-58.79,564.09,310.29,509.37,516.59,513.96,328.47
, = 매출총이익,51.98,71.74,147.04,190.42,245.87,251.55,319.84,316.8,279.19,170.69,160.57,175.26,160.76,7.18,131.61,16.3,85.61,64.35,194.03,66.24
, - 판매비와관리비,91.59,91.61,98.08,100.27,142.32,181.2,156.19,150.86,174.93,169.87,184.11,181.02,175.06,153.06,190.77,180.26,190.18,185.51,176.43,151.79
, = 영업이익,-39.61,-19.87,48.96,90.15,103.55,70.35,163.65,165.94,104.26,0.82,-23.54,-5.76,-14.3,-145.88,-59.16,-163.96,-104.57,-121.16,17.6,-85.55
,* 지배순이익,-87.81,-115.16,57.4,65.04,85.46,67.71,157.34,134.75,108.7,-8.72,-40.43,-15.27,-19.73,-57.26,-61.63,-153.18,-116.05,-148.32,192.55,-119.98
,매출원가비중,77.31,80.05,71.6,70.05,65.85,65.1,66.21,63.47,63.54,71.53,76.84,75.82,78.3,113.91,81.08,95.01,85.61,88.92,72.59,83.22
,매출총이익율,22.69,19.95,28.4,29.95,34.15,34.9,33.79,36.53,36.46,28.47,23.16,24.18,21.7,-13.91,18.92,4.99,14.39,11.08,27.41,16.78
,판관비율,39.97,25.47,18.94,15.77,19.77,25.14,16.5,17.4,22.85,28.33,26.56,24.98,23.63,-296.57,27.42,55.19,31.96,31.93,24.92,38.46
,영업이익률,-17.29,-5.53,9.46,14.18,14.38,9.76,17.29,19.13,13.62,0.14,-3.4,-0.79,-1.93,282.66,-8.5,-50.2,-17.58,-20.86,2.49,-21.67
,지배순이익률,-38.32,-32.02,11.09,10.23,11.87,9.39,16.62,15.54,14.2,-1.45,-5.83,-2.11,-2.66,110.95,-8.86,-46.9,-19.5,-25.53,27.2,-30.4
,매출액YOY(%),,,,,214.26,100.45,82.82,36.41,6.34,-16.83,-26.76,-16.43,-3.24,-108.61,0.35,-54.94,-19.69,1225.64,1.77,20.86
,영업이익YOY(%),,,,,361.42,454.05,234.25,84.07,0.69,-98.83,-114.38,-103.47,-113.72,-17890.24,-151.32,-2746.53,-631.26,16.95,129.75,47.82
,지배순이익YOY(%),,,,,197.32,158.8,174.11,107.18,27.19,-112.88,-125.7,-111.33,-118.15,-556.65,-52.44,-903.14,-488.19,-159.03,412.43,21.67
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,400.3,602.42,682.89,550.09,437.8,366.43,703.96,849.87,866.9,541.95,1182.49,2123.16,2649.95,873.16,775.25,1272.15,745.25,592.32,613,
