,코리안리,A003690,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,12914.37,13224.67,12771.04,15269.89,13752.37,13992.7,13439.89,16412.19,14788.36,14463.57,14571.39,16466.05,14422.97,14434.63,14935.43,17101.13,15189.09,16618.43,15841.64,17826.54
, - 매출원가,1125.66,364.35,1515.47,725.54,608.9,0,-649.03,881.02,264.19,-362.39,747.99,144.29,614.8,676.12,292.61,1012.47,1423.53,785.72,729.25,671.29
, = 매출총이익,11788.71,12860.32,11255.57,14544.35,13143.47,13992.7,14088.92,15531.17,14524.17,14825.96,13823.4,16321.76,13808.17,13758.51,14642.82,16088.66,13765.56,15832.71,15112.39,17155.25
, - 판매비와관리비,11090.96,12887.82,12371.15,14550.74,12771.46,13425.6,13156.28,14771.39,13852.9,14611.31,13640.56,15467.31,13384.15,13636.09,13848.71,15007.43,13286.64,15734.11,14484.78,16342.67
, = 영업이익,697.75,-27.5,-1115.58,-6.39,372.01,567.1,932.64,759.78,671.27,214.65,182.84,854.45,424.02,122.42,794.11,1081.23,478.92,98.6,627.61,812.58
,* 지배순이익,526.71,-140.95,-852.84,-6.76,280.76,428.22,709.63,573.94,506.32,158.42,137.16,646.98,318.92,71.75,600.43,808.84,363.17,92.11,474.41,616.65
,매출원가비중,8.72,2.76,11.87,4.75,4.43,0,-4.83,5.37,1.79,-2.51,5.13,0.88,4.26,4.68,1.96,5.92,9.37,4.73,4.6,3.77
,매출총이익율,91.28,97.24,88.13,95.25,95.57,100,104.83,94.63,98.21,102.51,94.87,99.12,95.74,95.32,98.04,94.08,90.63,95.27,95.4,96.23
,판관비율,85.88,97.45,96.87,95.29,92.87,95.95,97.89,90,93.67,101.02,93.61,93.93,92.8,94.47,92.72,87.76,87.47,94.68,91.43,91.68
,영업이익률,5.4,-0.21,-8.74,-0.04,2.71,4.05,6.94,4.63,4.54,1.48,1.25,5.19,2.94,0.85,5.32,6.32,3.15,0.59,3.96,4.56
,지배순이익률,4.08,-1.07,-6.68,-0.04,2.04,3.06,5.28,3.5,3.42,1.1,0.94,3.93,2.21,0.5,4.02,4.73,2.39,0.55,2.99,3.46
,매출액YOY(%),,,,,6.49,5.81,5.24,7.48,7.53,3.37,8.42,0.33,-2.47,-0.2,2.5,3.86,5.31,15.13,6.07,4.24
,영업이익YOY(%),,,,,-46.68,2162.18,183.6,11990.14,80.44,-62.15,-80.4,12.46,-36.83,-42.97,334.32,26.54,12.95,-19.46,-20.97,-24.85
,지배순이익YOY(%),,,,,-46.7,403.81,183.21,8590.24,80.34,-63,-80.67,12.73,-37.01,-54.71,337.76,25.02,13.87,28.38,-20.99,-23.76
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,16336.11,16841.08,16943.37,18751.85,17937.45,18448.12,17610.11,19529.57,18637.42,19808.14,19212.88,20798.91,19714.31,20789.38,20525.13,21929.8,20942.61,21073.13,0,
