,티웨이홀딩스,A004870,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,20.49,23.94,11.51,19.1,10.7,10.66,14.74,425.7,456.55,428.67,491.09,557.21,694.75,619.01,681.62,724.6,734.06,748.42,924.84,899.82
, - 매출원가,20.84,20.51,10.92,16.34,7.68,8.83,11.86,358.37,363.39,406.14,442.53,482.75,531.48,583.01,576.82,640.07,638.85,686.68,761.68,851.18
, = 매출총이익,-0.35,3.43,0.59,2.76,3.02,1.83,2.88,67.33,93.16,22.53,48.56,74.46,163.27,36,104.8,84.53,95.21,61.74,163.16,48.64
, - 판매비와관리비,7.5,28.3,3.99,5.12,3.75,6.69,5.55,53.01,53.63,44.16,57.85,62.62,69.65,52.44,69.98,77.84,72.84,84.91,89.94,94.02
, = 영업이익,-7.85,-24.87,-3.4,-2.36,-0.73,-4.86,-2.67,14.32,39.53,-21.63,-9.29,11.84,93.62,-16.44,34.82,6.69,22.37,-23.17,73.22,-45.38
,* 지배순이익,-10.52,-42.12,-8.63,-4.59,-2.89,-14.05,-5.48,8.28,16.29,22.76,-9.79,8.24,72.73,-11.87,23.29,2.62,18.65,-22.14,55.44,-43.13
,매출원가비중,101.71,85.67,94.87,85.55,71.78,82.83,80.46,84.18,79.59,94.74,90.11,86.64,76.5,94.18,84.62,88.33,87.03,91.75,82.36,94.59
,매출총이익율,-1.71,14.33,5.13,14.45,28.22,17.17,19.54,15.82,20.41,5.26,9.89,13.36,23.5,5.82,15.38,11.67,12.97,8.25,17.64,5.41
,판관비율,36.6,118.21,34.67,26.81,35.05,62.76,37.65,12.45,11.75,10.3,11.78,11.24,10.03,8.47,10.27,10.74,9.92,11.35,9.72,10.45
,영업이익률,-38.31,-103.88,-29.54,-12.36,-6.82,-45.59,-18.11,3.36,8.66,-5.05,-1.89,2.12,13.48,-2.66,5.11,0.92,3.05,-3.1,7.92,-5.04
,지배순이익률,-51.34,-175.94,-74.98,-24.03,-27.01,-131.8,-37.18,1.95,3.57,5.31,-1.99,1.48,10.47,-1.92,3.42,0.36,2.54,-2.96,5.99,-4.79
,매출액YOY(%),,,,,-47.78,-55.47,28.06,2128.8,4166.82,3921.3,3231.68,30.89,52.17,44.4,38.8,30.04,5.66,20.91,35.68,24.18
,영업이익YOY(%),,,,,90.7,80.46,21.47,706.78,5515.07,-345.06,-247.94,-17.32,136.83,23.99,474.81,-43.5,-76.11,-40.94,110.28,-778.33
,지배순이익YOY(%),,,,,72.53,66.64,36.5,280.39,663.67,261.99,-78.65,-0.48,346.47,-152.15,337.9,-68.2,-74.36,-86.52,138.04,-1746.18
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1235.31,1058.74,1432.98,1323.63,1735.34,1635.92,2060.8,1640,1931.9,1742.2,2421.16,1838.65,2046.24,1866.97,1505.37,261.29,502.99,499.43,0,
