,파세코,A037070,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,431.41,289.99,141.75,116.02,462.93,328.63,110.27,269.41,609.63,281.84,173.43,286.75,563.79,357.17,142.42,261.82,548.14,261.78,136.94,205.64
, - 매출원가,349.31,234.72,129.74,101.13,361.22,267.98,100.3,217.39,455.69,229.53,147,243.79,441.18,288.86,125.71,215.02,422.02,199.85,112.27,168
, = 매출총이익,82.1,55.27,12.01,14.89,101.71,60.65,9.97,52.02,153.94,52.31,26.43,42.96,122.61,68.31,16.71,46.8,126.12,61.93,24.67,37.64
, - 판매비와관리비,40.46,38.52,26.06,28.29,45.41,38.89,31.49,36.9,51.23,45.36,37.67,44.06,50.4,44.69,32.06,44.13,56.57,44.18,36.29,42.42
, = 영업이익,41.64,16.75,-14.05,-13.4,56.3,21.76,-21.52,15.12,102.71,6.95,-11.24,-1.1,72.21,23.62,-15.35,2.67,69.55,17.75,-11.62,-4.78
,* 지배순이익,39.32,7.75,-15.79,-16.37,57.05,15.9,-25.1,12.34,94.08,-6.32,-11.78,-2.5,59.58,14.66,-16.71,2.82,56.91,15.84,-9.17,-1.89
,매출원가비중,80.97,80.94,91.53,87.17,78.03,81.54,90.96,80.69,74.75,81.44,84.76,85.02,78.25,80.87,88.27,82.13,76.99,76.34,81.98,81.7
,매출총이익율,19.03,19.06,8.47,12.83,21.97,18.46,9.04,19.31,25.25,18.56,15.24,14.98,21.75,19.13,11.73,17.87,23.01,23.66,18.02,18.3
,판관비율,9.38,13.28,18.38,24.38,9.81,11.83,28.56,13.7,8.4,16.09,21.72,15.37,8.94,12.51,22.51,16.86,10.32,16.88,26.5,20.63
,영업이익률,9.65,5.78,-9.91,-11.55,12.16,6.62,-19.52,5.61,16.85,2.47,-6.48,-0.38,12.81,6.61,-10.78,1.02,12.69,6.78,-8.49,-2.32
,지배순이익률,9.11,2.67,-11.14,-14.11,12.32,4.84,-22.76,4.58,15.43,-2.24,-6.79,-0.87,10.57,4.1,-11.73,1.08,10.38,6.05,-6.7,-0.92
,매출액YOY(%),,,,,7.31,13.32,-22.21,132.21,31.69,-14.24,57.28,6.44,-7.52,26.73,-17.88,-8.69,-2.78,-26.71,-3.85,-21.46
