,포스코 ICT,A022100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,2069.1,3217.76,1927.72,2066.2,2390.57,4231.22,2518.53,2986.26,2494.86,4070.69,2685.88,2708.84,2425.38,1878.6,1912.12,2097.41,2113.72,2282.21,1995.71,2159.23
, - 매출원가,1847.57,2812.31,1755.25,1882.35,2093.66,3709.26,2244.16,2593.24,2146.79,3573.19,2405.86,2356.44,2143.29,1594.54,1706.93,1828.56,1793.23,2091.4,1763.13,1849.67
, = 매출총이익,221.53,405.45,172.47,183.85,296.91,521.96,274.37,393.02,348.07,497.5,280.02,352.4,282.09,284.06,205.19,268.85,320.49,190.81,232.58,309.56
, - 판매비와관리비,145.5,255.8,172.91,121.22,151.67,298.41,232.77,254.31,141,225.64,212.9,203.64,191.97,26.36,164.12,183,193.11,305.42,140.06,205.87
, = 영업이익,76.03,149.65,-0.44,62.63,145.24,223.55,41.6,138.71,207.07,271.86,67.12,148.76,90.12,257.7,41.07,85.85,127.38,-114.61,92.52,103.69
,* 지배순이익,94.52,73.3,-6.53,84.89,117.51,140.85,28.31,54.74,58.41,108.83,54.23,95.24,29.32,77.71,24.34,123.18,-253.27,-408.98,146.86,58.9
,매출원가비중,89.29,87.4,91.05,91.1,87.58,87.66,89.11,86.84,86.05,87.78,89.57,86.99,88.37,84.88,89.27,87.18,84.84,91.64,88.35,85.66
,매출총이익율,10.71,12.6,8.95,8.9,12.42,12.34,10.89,13.16,13.95,12.22,10.43,13.01,11.63,15.12,10.73,12.82,15.16,8.36,11.65,14.34
,판관비율,7.03,7.95,8.97,5.87,6.34,7.05,9.24,8.52,5.65,5.54,7.93,7.52,7.92,1.4,8.58,8.73,9.14,13.38,7.02,9.53
,영업이익률,3.67,4.65,-0.02,3.03,6.08,5.28,1.65,4.64,8.3,6.68,2.5,5.49,3.72,13.72,2.15,4.09,6.03,-5.02,4.64,4.8
,지배순이익률,4.57,2.28,-0.34,4.11,4.92,3.33,1.12,1.83,2.34,2.67,2.02,3.52,1.21,4.14,1.27,5.87,-11.98,-17.92,7.36,2.73
,매출액YOY(%),,,,,15.54,31.5,30.65,44.53,4.36,-3.79,6.64,-9.29,-2.78,-53.85,-28.81,-22.57,-12.85,21.48,4.37,2.95
,영업이익YOY(%),,,,,91.03,49.38,9554.54,121.48,42.57,21.61,61.35,7.25,-56.48,-5.21,-38.81,-42.29,41.34,-144.47,125.27,20.78
,지배순이익YOY(%),,,,,24.32,92.16,533.54,-35.52,-50.29,-22.73,91.56,73.99,-49.8,-28.6,-55.12,29.34,-963.81,-626.29,503.37,-52.18
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1925.89,2588.11,2301.34,2154.86,2342.07,2707.66,2194.59,2204.53,2219.24,2652.41,2214.07,2301.82,2377.45,2804.52,2679.94,2238.2,2338.66,2385.22,2567,
