,하나금융지주,A086790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,20316.61,20879.74,26569.93,29824.14,29751.37,28186.82,26700.16,26428.35,26122.58,26097.9,25558.79,25602.58,25420.85,24346.52,23313.04,22621.65,22482.79,21961.54,21466.92,20893.71
, - 매출원가,11944.87,12799.04,16150.39,17717.86,17655.69,16821.66,15672.64,15201.71,14955.76,14668.47,14162.47,13743.45,13451.07,12626.67,12009.57,11302.85,11214.65,10463.36,9789.51,9447.56
, = 매출총이익,8371.74,8080.7,10419.54,12106.28,12095.68,11365.16,11027.52,11226.64,11166.82,11429.43,11396.32,11859.13,11969.78,11719.85,11303.47,11318.8,11268.14,11498.18,11677.41,11446.15
, - 판매비와관리비,5405.86,5757.86,-3842.12,8244.25,8817.56,12593.46,7377.77,9168.26,5989.63,10664.65,8954.97,6662.76,8092.46,10800.42,7048.54,6436.35,8857.91,12940.64,6058.35,7227.88
, = 영업이익,2965.88,2322.84,14261.66,3862.03,3278.12,-1228.3,3649.75,2058.38,5177.19,764.78,2441.35,5196.37,3877.32,919.43,4254.93,4882.45,2410.23,-1442.46,5619.06,4218.27
,* 지배순이익,2053.18,1482.29,13269.15,2016.21,2325.7,-1395.75,2881.89,2307.05,3578.59,571.24,1926.73,4177.53,2759.7,513.11,3739.64,3748.64,2547.94,-938.9,4378.83,3521.45
,매출원가비중,58.79,61.3,60.78,59.41,59.34,59.68,58.7,57.52,57.25,56.21,55.41,53.68,52.91,51.86,51.51,49.96,49.88,47.64,45.6,45.22
,매출총이익율,41.21,38.7,39.22,40.59,40.66,40.32,41.3,42.48,42.75,43.79,44.59,46.32,47.09,48.14,48.49,50.04,50.12,52.36,54.4,54.78
,판관비율,26.61,27.58,-14.46,27.64,29.64,44.68,27.63,34.69,22.93,40.86,35.04,26.02,31.83,44.36,30.23,28.45,39.4,58.92,28.22,34.59
,영업이익률,14.6,11.12,53.68,12.95,11.02,-4.36,13.67,7.79,19.82,2.93,9.55,20.3,15.25,3.78,18.25,21.58,10.72,-6.57,26.18,20.19
,지배순이익률,10.11,7.1,49.94,6.76,7.82,-4.95,10.79,8.73,13.7,2.19,7.54,16.32,10.86,2.11,16.04,16.57,11.33,-4.28,20.4,16.85
,매출액YOY(%),,,,,46.44,35,0.49,-11.39,-12.2,-7.41,-4.27,-3.12,-2.69,-6.71,-8.79,-11.64,-11.56,-9.8,-7.92,-7.64
,영업이익YOY(%),,,,,10.53,-152.88,-74.41,-46.7,57.93,162.26,-33.11,152.45,-25.11,20.22,74.29,-6.04,-37.84,-256.89,32.06,-13.6
,지배순이익YOY(%),,,,,13.27,-194.16,-78.28,14.43,53.87,140.93,-33.14,81.08,-22.88,-10.18,94.09,-10.27,-7.67,-282.98,17.09,-6.06
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
