,한국금융지주,A071050,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1429.67,1634.63,1623.33,1856.13,1812.06,1862.82,1548.23,1634.64,1542.36,1576.51,1606.15,1722.25,1715.56,1745.13,1761.26,1880.83,1820.75,1670.26,1802.52,1856.37
, - 매출원가,854.24,945.94,976.77,953.81,967.2,897.73,818.25,881.12,767.38,792.88,808.45,868.56,837.01,775.91,694.72,667.09,650.69,664.33,703.35,749.77
, = 매출총이익,575.43,688.69,646.56,902.32,844.86,965.09,729.98,753.52,774.98,783.63,797.7,853.69,878.55,969.22,1066.54,1213.74,1170.06,1005.93,1099.17,1106.6
, - 판매비와관리비,-167.5,-168.4,319.81,679.32,411.09,71.89,-127.32,600.97,311.09,616.28,186.56,65.2,-195.91,174.05,-234.36,-541.34,407.51,979.18,202.13,342.36
, = 영업이익,742.93,857.09,326.75,223,433.77,893.2,857.3,152.55,463.89,167.35,611.14,788.49,1074.46,795.17,1300.9,1755.08,762.55,26.75,897.04,764.24
,* 지배순이익,575.54,708.48,393.08,157.7,259.53,868.49,606.01,138.13,349.67,99.67,444.9,589.88,826.5,530.87,1041.73,1487.68,747.58,-33.99,808.84,530.33
,매출원가비중,59.75,57.87,60.17,51.39,53.38,48.19,52.85,53.9,49.75,50.29,50.33,50.43,48.79,44.46,39.44,35.47,35.74,39.77,39.02,40.39
,매출총이익율,40.25,42.13,39.83,48.61,46.62,51.81,47.15,46.1,50.25,49.71,49.67,49.57,51.21,55.54,60.56,64.53,64.26,60.23,60.98,59.61
,판관비율,-11.72,-10.3,19.7,36.6,22.69,3.86,-8.22,36.76,20.17,39.09,11.62,3.79,-11.42,9.97,-13.31,-28.78,22.38,58.62,11.21,18.44
,영업이익률,51.97,52.43,20.13,12.01,23.94,47.95,55.37,9.33,30.08,10.62,38.05,45.78,62.63,45.57,73.86,93.31,41.88,1.6,49.77,41.17
,지배순이익률,40.26,43.34,24.21,8.5,14.32,46.62,39.14,8.45,22.67,6.32,27.7,34.25,48.18,30.42,59.15,79.1,41.06,-2.04,44.87,28.57
,매출액YOY(%),,,,,26.75,13.96,-4.63,-11.93,-14.88,-15.37,3.74,5.36,11.23,10.7,9.66,9.21,6.13,-4.29,2.34,-1.3
,영업이익YOY(%),,,,,-41.61,4.21,162.37,-31.59,6.94,-81.26,-28.71,416.87,131.62,375.15,112.86,122.59,-29.03,-96.64,-31.04,-56.46
,지배순이익YOY(%),,,,,-54.91,22.58,54.17,-12.41,34.73,-88.52,-26.59,327.05,136.37,432.63,134.15,152.2,-9.55,-106.4,-22.36,-64.35
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1871.62,1881.89,1949.8,2100.04,2358.65,2763.88,3185.2,3547.58,2906.37,1922.79,3390.21,3590.6,3550.1,3470.16,3774,3766.76,4010.04,4157.41,0,
