,한섬,A020000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,962.3,1776.22,1255.02,1075.91,838.6,1742.11,1199.23,943.88,856.65,1708.35,1286.12,1041.63,998.72,1773.73,1485.17,1206.26,1242.29,2233.84,1736.43,1452.27
, - 매출원가,341.37,799.15,491.72,437.33,331.26,806.05,499.42,407.57,337.8,776.03,537.14,459.8,394.22,746.6,603.08,532.03,491.24,960.55,698.89,637.53
, = 매출총이익,620.93,977.07,763.3,638.58,507.34,936.06,699.81,536.31,518.85,932.32,748.98,581.83,604.5,1027.13,882.09,674.23,751.05,1273.29,1037.54,814.74
, - 판매비와관리비,425.81,529.92,554.03,502.08,421.93,680.26,514.9,498.41,452.42,718.02,599.94,553.79,527.17,771.52,687.09,634.34,630.63,967.59,797.65,733.97
, = 영업이익,195.12,447.15,209.27,136.5,85.41,255.8,184.91,37.9,66.43,214.3,149.04,28.04,77.33,255.61,195,39.89,120.42,305.7,239.89,80.77
,* 지배순이익,151.46,328.16,178.83,133.22,87.21,220.18,165.73,51.47,58.45,163.28,144.8,28.26,64.62,138.35,166.8,249.38,93.15,234.44,191.6,88.22
,매출원가비중,35.47,44.99,39.18,40.65,39.5,46.27,41.65,43.18,39.43,45.43,41.76,44.14,39.47,42.09,40.61,44.11,39.54,43,40.25,43.9
,매출총이익율,64.53,55.01,60.82,59.35,60.5,53.73,58.35,56.82,60.57,54.57,58.24,55.86,60.53,57.91,59.39,55.89,60.46,57,59.75,56.1
,판관비율,44.25,29.83,44.15,46.67,50.31,39.05,42.94,52.8,52.81,42.03,46.65,53.17,52.78,43.5,46.26,52.59,50.76,43.32,45.94,50.54
,영업이익률,20.28,25.17,16.67,12.69,10.18,14.68,15.42,4.02,7.75,12.54,11.59,2.69,7.74,14.41,13.13,3.31,9.69,13.68,13.82,5.56
,지배순이익률,15.74,18.48,14.25,12.38,10.4,12.64,13.82,5.45,6.82,9.56,11.26,2.71,6.47,7.8,11.23,20.67,7.5,10.49,11.03,6.07
,매출액YOY(%),,,,,-12.85,-1.92,-4.45,-12.27,2.15,-1.94,7.25,10.36,16.58,3.83,15.48,15.81,24.39,25.94,16.92,20.39
,영업이익YOY(%),,,,,-56.23,-42.79,-11.64,-72.23,-22.22,-16.22,-19.4,-26.02,16.41,19.28,30.84,42.26,55.72,19.6,23.02,102.48
,지배순이익YOY(%),,,,,-42.42,-32.9,-7.33,-61.36,-32.98,-25.84,-12.63,-45.09,10.56,-15.27,15.19,782.45,44.15,69.45,14.87,-64.62
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1471.78,2459.5,2444.6,3006.27,2823.68,4012.21,3304.96,2922.86,2827.86,3936.42,3125.26,2837.85,2793.7,3841.21,2714.99,2766.42,2611.75,3865.84,3131,
