,한세실업,A105630,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3144.46,2704.64,2351.25,2369.67,3489.5,2707.61,2777.87,2816.67,3645.47,3146.95,3127.71,2915.99,3839.59,3248.49,3212.79,3359.23,5264.97,4028.09,3593.16,3300.99
, - 매출원가,2584.53,2188.61,2002.49,1957.86,2972.46,2211.51,2230.05,2325.92,2976.25,2572.06,2505.52,2357.18,3032.14,2532.66,2529.84,2588.11,4105.86,3034.81,2939.89,2695.58
, = 매출총이익,559.93,516.03,348.76,411.81,517.04,496.1,547.82,490.75,669.22,574.89,622.19,558.81,807.45,715.83,682.95,771.12,1159.11,993.28,653.27,605.41
, - 판매비와관리비,328.87,229.06,216.39,232.44,257.98,459.84,424.78,420.35,391.02,444.76,428.84,415.74,450.09,478.15,478.91,538.79,562.37,602.8,441.05,415.81
, = 영업이익,231.06,286.97,132.37,179.37,259.06,36.26,123.04,70.4,278.2,130.13,193.35,143.07,357.36,237.68,204.04,232.33,596.74,390.48,212.22,189.6
,* 지배순이익,169.55,223.28,110.43,111.35,230.59,58.68,70.01,9.87,269.71,76.45,140.82,162.92,231.22,82.58,141.65,150.3,407.32,335.07,163.64,130.53
,매출원가비중,82.19,80.92,85.17,82.62,85.18,81.68,80.28,82.58,81.64,81.73,80.11,80.84,78.97,77.96,78.74,77.04,77.98,75.34,81.82,81.66
,매출총이익율,17.81,19.08,14.83,17.38,14.82,18.32,19.72,17.42,18.36,18.27,19.89,19.16,21.03,22.04,21.26,22.96,22.02,24.66,18.18,18.34
,판관비율,10.46,8.47,9.2,9.81,7.39,16.98,15.29,14.92,10.73,14.13,13.71,14.26,11.72,14.72,14.91,16.04,10.68,14.96,12.27,12.6
,영업이익률,7.35,10.61,5.63,7.57,7.42,1.34,4.43,2.5,7.63,4.14,6.18,4.91,9.31,7.32,6.35,6.92,11.33,9.69,5.91,5.74
,지배순이익률,5.39,8.26,4.7,4.7,6.61,2.17,2.52,0.35,7.4,2.43,4.5,5.59,6.02,2.54,4.41,4.47,7.74,8.32,4.55,3.95
,매출액YOY(%),,,,,10.97,0.11,18.14,18.86,4.47,16.23,12.59,3.53,5.32,3.23,2.72,15.2,37.12,24,11.84,-1.73
,영업이익YOY(%),,,,,12.12,-87.36,-7.05,-60.75,7.39,258.88,57.14,103.22,28.45,82.65,5.53,62.39,66.99,64.29,4.01,-18.39
,지배순이익YOY(%),,,,,36,-73.72,-36.6,-91.14,16.97,30.28,101.14,1550.66,-14.27,8.02,0.59,-7.75,76.16,305.75,15.52,-13.15
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4175.6,4406.8,3864.6,4010.05,4968.38,4270.31,3640.89,3930.23,5154.95,4400.78,4228.16,4296.02,5724.64,1900.77,3940.96,4536.03,6360.81,2144.82,3715,
