,한온시스템,A018880,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,7990.91,9020.43,8792.69,9391.5,8671.88,9674.9,12277.08,13641.54,12436.09,13538.85,13729.44,13907.82,12703.97,14208.26,13754.05,13928.34,13291.45,14606.97,14281.35,14908.04
, - 매출원가,6630.25,7903.85,7244.64,7958.3,7189.63,8275.46,10364.02,11399.75,10354.05,11142.59,11488.54,11540.88,10632.04,11799.87,11587.92,11893.76,11374.84,12113.5,11947.21,12809.71
, = 매출총이익,1360.66,1116.58,1548.05,1433.2,1482.25,1399.44,1913.06,2241.79,2082.04,2396.26,2240.9,2366.94,2071.93,2408.39,2166.13,2034.58,1916.61,2493.47,2334.14,2098.33
, - 판매비와관리비,564.68,754.42,758.87,745.93,804.18,457.99,1132.49,1226.87,1340.11,1298.32,1315.58,1282.73,1327.08,1459.6,1364.48,1183.35,1180.14,1287.31,1285.66,1148.47
, = 영업이익,795.98,362.16,789.18,687.27,678.07,941.45,780.57,1014.92,741.93,1097.94,925.32,1084.21,744.85,948.79,801.65,851.23,736.47,1206.16,1048.48,949.86
,* 지배순이익,588.54,624.71,630.38,501.13,472.82,711.76,727.1,731.22,571.72,933.87,719.88,870.88,551.7,611.39,570.78,615.04,424.07,695.2,685.18,600.7
,매출원가비중,82.97,87.62,82.39,84.74,82.91,85.54,84.42,83.57,83.26,82.3,83.68,82.98,83.69,83.05,84.25,85.39,85.58,82.93,83.66,85.92
,매출총이익율,17.03,12.38,17.61,15.26,17.09,14.46,15.58,16.43,16.74,17.7,16.32,17.02,16.31,16.95,15.75,14.61,14.42,17.07,16.34,14.08
,판관비율,7.07,8.36,8.63,7.94,9.27,4.73,9.22,8.99,10.78,9.59,9.58,9.22,10.45,10.27,9.92,8.5,8.88,8.81,9,7.7
,영업이익률,9.96,4.01,8.98,7.32,7.82,9.73,6.36,7.44,5.97,8.11,6.74,7.8,5.86,6.68,5.83,6.11,5.54,8.26,7.34,6.37
,지배순이익률,7.37,6.93,7.17,5.34,5.45,7.36,5.92,5.36,4.6,6.9,5.24,6.26,4.34,4.3,4.15,4.42,3.19,4.76,4.8,4.03
,매출액YOY(%),,,,,8.52,7.26,39.63,45.25,43.41,39.94,11.83,1.95,2.15,4.94,0.18,0.15,4.62,2.81,3.83,7.03
,영업이익YOY(%),,,,,-14.81,159.95,-1.09,47.67,9.42,16.62,18.54,6.83,0.39,-13.58,-13.37,-21.49,-1.13,27.13,30.79,11.59
,지배순이익YOY(%),,,,,-19.66,13.93,15.34,45.91,20.92,31.21,-0.99,19.1,-3.5,-34.53,-20.71,-29.38,-23.13,13.71,20.04,-2.33
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,12830.58,15017.18,14490.04,13732.75,13389.34,14244.61,13869.24,15183.71,14198.06,16124.84,14290.72,19040.8,18598.53,19611.48,16748.43,11953.95,19014.09,21011.86,17940,
