,한일현대시멘트,A006390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,668.04,831.33,464.16,917.7,728.61,260.83,608.31,1039.99,715.86,899.56,625.97,942.63,792.28,896.4,642.21,1026.38,961.39,1001.9,780.73,1090.27
, - 매출원가,563.34,653.32,545.83,646.91,545.88,39.2,582.03,648.26,530.24,667.06,529.51,632.45,561.51,622.39,566.29,663.57,720.27,712.09,652.07,716.54
, = 매출총이익,104.7,178.01,-81.67,270.79,182.73,221.63,26.28,391.73,185.62,232.5,96.46,310.18,230.77,274.01,75.92,362.81,241.12,289.81,128.66,373.73
, - 판매비와관리비,61.04,89.52,82.06,87.57,80.5,48.47,86,106.48,85.07,101.56,127.69,87.89,105.76,104.74,76.2,87.74,103.69,176.82,92.59,117.75
, = 영업이익,43.66,88.49,-163.73,183.22,102.23,173.16,-59.72,285.25,100.55,130.94,-31.23,222.29,125.01,169.27,-0.28,275.07,137.43,112.99,36.07,255.98
,* 지배순이익,-141.09,-527.69,-202.45,132.95,72.61,-311.38,-109.67,-149.96,84.61,-3299.81,1988.5,-610.29,632.33,823.4,-1670.37,1115.62,-356.28,801.22,-658.97,-2170.93
,매출원가비중,84.33,78.59,117.6,70.49,74.92,15.03,95.68,62.33,74.07,74.15,84.59,67.09,70.87,69.43,88.18,64.65,74.92,71.07,83.52,65.72
,매출총이익율,15.67,21.41,-17.6,29.51,25.08,84.97,4.32,37.67,25.93,25.85,15.41,32.91,29.13,30.57,11.82,35.35,25.08,28.93,16.48,34.28
,판관비율,9.14,10.77,17.68,9.54,11.05,18.58,14.14,10.24,11.88,11.29,20.4,9.32,13.35,11.68,11.87,8.55,10.79,17.65,11.86,10.8
,영업이익률,6.54,10.64,-35.27,19.97,14.03,66.39,-9.82,27.43,14.05,14.56,-4.99,23.58,15.78,18.88,-0.04,26.8,14.29,11.28,4.62,23.48
,지배순이익률,-21.12,-63.48,-43.62,14.49,9.97,-119.38,-18.03,-14.42,11.82,-366.82,317.67,-64.74,79.81,91.86,-260.1,108.69,-37.06,79.97,-84.4,-199.12
,매출액YOY(%),,,,,9.07,-68.62,31.06,13.33,-1.75,244.88,2.9,-9.36,10.68,-0.35,2.59,8.88,21.34,11.77,21.57,6.22
,영업이익YOY(%),,,,,134.15,95.68,63.53,55.69,-1.64,-24.38,47.71,-22.07,24.33,29.27,99.1,23.74,9.94,-33.25,12982.14,-6.94
,지배순이익YOY(%),,,,,151.46,40.99,45.83,-212.79,16.53,-959.74,1913.17,-306.97,647.35,124.95,-184,282.8,-156.34,-2.69,60.55,-294.59
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,886.01,1031.55,747.83,1028.24,842.71,868.06,637.27,1064.07,709.32,985.48,798.65,1143.7,913.24,985.54,725.97,956.25,744.33,916.13,0,
, - 매출원가,665.01,766.61,684.99,820.09,588.79,640.98,612.5,809.43,613.83,691.92,747.04,798.38,664.94,786.96,677.68,576.67,466.61,618.53,,
, = 매출총이익,221,264.94,62.84,208.15,253.92,227.08,24.77,254.64,95.49,293.56,51.61,345.32,248.3,198.58,48.29,379.58,277.72,297.6,,
, - 판매비와관리비,119.15,125.12,258.56,-4.72,114.42,134.74,102.36,132.74,101.14,127.62,99.78,130.76,118.6,142.43,96.37,120.08,98.33,117.15,,
, = 영업이익,101.85,139.82,-195.72,212.87,139.5,92.34,-77.59,121.9,-5.65,165.94,-48.17,214.56,129.7,56.15,-48.08,259.5,179.39,180.45,0,
,* 지배순이익,164.19,1165.9,91.87,326.04,-109.22,306.31,-40.22,-376,-5.71,128.39,-21.09,202.77,92.22,139.29,61.83,168.17,141.64,256.18,0,
,매출원가비중,75.06,74.32,91.6,79.76,69.87,73.84,96.11,76.07,86.54,70.21,93.54,69.81,72.81,79.85,93.35,60.31,62.69,67.52,,
