,한화,A000880,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,30935.59,34260.23,83806.93,82776.62,91114.69,98821.5,92257.68,95668.21,96277.14,103046.6,91786.76,91992.49,91208.31,99580.85,92033.11,96905.84,111329.2,113494.7,120385.7,108649
, - 매출원가,28463.01,31884.5,76484.79,75192.87,83588.88,91792.74,86722.66,88074.88,88967.86,95817.19,85783.17,89004.65,83950.61,93565.59,84841.26,88559.2,104268.5,106607.1,110628.9,97419.02
, = 매출총이익,2472.58,2375.73,7322.14,7583.75,7525.81,7028.76,5535.02,7593.33,7309.28,7229.46,6003.59,2987.84,7257.7,6015.26,7191.85,8346.65,7060.74,6887.63,9756.83,11229.97
, - 판매비와관리비,1470.12,2131.78,3926.23,3832.91,3953.98,5486.27,4114.98,5126.13,4530.86,5257.79,3888.85,4641.77,4226.06,4349.34,4538.07,4203.56,6036.99,7123.75,5649.11,5742.12
, = 영업이익,1002.46,243.95,3395.91,3750.84,3571.83,1542.49,1420.04,2467.2,2778.42,1971.67,2114.74,-1653.93,3031.64,1665.92,2653.78,4143.09,1023.75,-236.12,4107.72,5487.85
,* 지배순이익,549.51,-756.39,741.36,961.97,920.08,242.12,868.28,300.48,554.3,-423.02,64.07,-3289.68,823.13,-1242.22,247.5,153.83,-834.9,-2416.49,1638.92,1925.08
,매출원가비중,92.01,93.07,91.26,90.84,91.74,92.89,94,92.06,92.41,92.98,93.46,96.75,92.04,93.96,92.19,91.39,93.66,93.93,91.9,89.66
,매출총이익율,7.99,6.93,8.74,9.16,8.26,7.11,6,7.94,7.59,7.02,6.54,3.25,7.96,6.04,7.81,8.61,6.34,6.07,8.1,10.34
,판관비율,4.75,6.22,4.68,4.63,4.34,5.55,4.46,5.36,4.71,5.1,4.24,5.05,4.63,4.37,4.93,4.34,5.42,6.28,4.69,5.29
,영업이익률,3.24,0.71,4.05,4.53,3.92,1.56,1.54,2.58,2.89,1.91,2.3,-1.8,3.32,1.67,2.88,4.28,0.92,-0.21,3.41,5.05
,지배순이익률,1.78,-2.21,0.88,1.16,1.01,0.25,0.94,0.31,0.58,-0.41,0.07,-3.58,0.9,-1.25,0.27,0.16,-0.75,-2.13,1.36,1.77
,매출액YOY(%),,,,,194.53,188.44,10.08,15.57,5.67,4.28,-0.51,-3.84,-5.26,-3.36,0.27,5.34,22.06,13.97,30.81,12.12
,영업이익YOY(%),,,,,256.31,532.3,-58.18,-34.22,-22.21,27.82,48.92,-167.04,9.11,-15.51,25.49,350.5,-66.23,-114.17,54.79,32.46
,지배순이익YOY(%),,,,,67.44,132.01,17.12,-68.76,-39.76,-274.71,-92.62,-1194.81,48.5,-193.66,286.3,104.68,-201.43,-94.53,562.19,1151.43
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
