,한화생명,A088350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,17028.5,16952.77,19595.26,17512.02,25692.59,28726.61,28120.82,20270.93,21692.92,22157.23,22435.61,23223.48,22832.24,23275.81,23921.22,23881.13,24956.45,29991.59,32158.43,24043.33
, - 매출원가,8400.49,8558.68,10194.46,9053.09,16043.89,19486.68,19449.77,11694,12443.38,12474.81,11483.5,13369.33,11451.54,14161.33,12665.31,12548.34,13151.4,18673.22,19207.38,12197.14
, = 매출총이익,8628.01,8394.09,9400.8,8458.93,9648.7,9239.93,8671.05,8576.93,9249.54,9682.42,10952.11,9854.15,11380.7,9114.48,11255.91,11332.79,11805.05,11318.37,12951.05,11846.19
, - 판매비와관리비,7883.43,6584.8,7073.76,6775.57,7283.27,7685.07,7727.34,7241.76,7286.11,8101.07,9679.75,8232.61,9685.41,8859.54,9205.29,8151.45,10841.77,11647.23,11125.88,10044.03
, = 영업이익,744.58,1809.29,2327.04,1683.36,2365.43,1554.86,943.71,1335.17,1963.43,1581.35,1272.36,1621.54,1695.29,254.94,2050.62,3181.34,963.28,-328.86,1825.17,1802.16
,* 지배순이익,637.27,1358.16,1614.62,1530.53,1825.68,1046.84,729.9,906.84,1576.81,1068.35,938.46,1299.77,1730.52,85.3,1684.55,2528.17,1209.59,-121.4,1394.78,5558.08
,매출원가비중,49.33,50.49,52.03,51.7,62.45,67.83,69.17,57.69,57.36,56.3,51.18,57.57,50.16,60.84,52.95,52.55,52.7,62.26,59.73,50.73
,매출총이익율,50.67,49.51,47.97,48.3,37.55,32.17,30.83,42.31,42.64,43.7,48.82,42.43,49.84,39.16,47.05,47.46,47.3,37.74,40.27,49.27
,판관비율,46.3,38.84,36.1,38.69,28.35,26.75,27.48,35.72,33.59,36.56,43.14,35.45,42.42,38.06,38.48,34.13,43.44,38.83,34.6,41.77
,영업이익률,4.37,10.67,11.88,9.61,9.21,5.41,3.36,6.59,9.05,7.14,5.67,6.98,7.42,1.1,8.57,13.32,3.86,-1.1,5.68,7.5
,지배순이익률,3.74,8.01,8.24,8.74,7.11,3.64,2.6,4.47,7.27,4.82,4.18,5.6,7.58,0.37,7.04,10.59,4.85,-0.4,4.34,23.12
,매출액YOY(%),,,,,50.88,69.45,43.51,15.75,-15.57,-22.87,-20.22,14.57,5.25,5.05,6.62,2.83,9.3,28.85,34.43,0.68
,영업이익YOY(%),,,,,217.69,-14.06,-59.45,-20.68,-16.99,1.7,34.83,21.45,-13.66,-83.88,61.17,96.19,-43.18,-229,-10.99,-43.35
,지배순이익YOY(%),,,,,186.48,-22.92,-54.79,-40.75,-13.63,2.05,28.57,43.33,9.75,-92.02,79.5,94.51,-30.1,-242.32,-17.2,119.85
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
