,현대건설,A000720,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,29617.37,38029.24,27055.71,31813.45,33192.81,41186.24,28612.21,34706.97,35349.19,39852.05,32905.54,47028.88,42591.66,50238.72,39432.09,48155.44,47113.83,57630.44,42879.04,47064.49
, - 매출원가,26042.64,35439.24,24615.55,29066.6,29597.84,37479.5,25902.28,31624.57,32258.19,37538.61,29974.4,42348.01,38978.97,47347.68,36039.14,44186,43088.03,51768.21,39253.33,41720.77
, = 매출총이익,3574.73,2590,2440.16,2746.85,3594.97,3706.74,2709.93,3082.4,3091,2313.44,2931.14,4680.87,3612.69,2891.04,3392.95,3969.44,4025.8,5862.23,3625.71,5343.72
, - 판매비와관리비,866.96,1247.49,974.46,1172.16,1397.7,1340.32,923.56,1075.88,1030.47,1125.89,1054.6,1885.19,1305.7,1578.3,1386.41,1426.36,1381.87,2162.5,1553.95,2378.69
, = 영업이익,2707.77,1342.51,1465.7,1574.69,2197.27,2366.42,1786.37,2006.52,2060.53,1187.55,1876.54,2795.68,2306.99,1312.74,2006.54,2543.08,2643.93,3699.73,2071.76,2965.03
,* 지배순이익,2195.86,1210.24,1156.34,1049.45,1564.91,1327.86,1370.52,1138.61,1531.4,370.18,1064.97,1107.17,892.74,248.04,876.92,1046.48,1052.43,1234.08,603.99,1594.33
,매출원가비중,87.93,93.19,90.98,91.37,89.17,91,90.53,91.12,91.26,94.19,91.09,90.05,91.52,94.25,91.4,91.76,91.46,89.83,91.54,88.65
,매출총이익율,12.07,6.81,9.02,8.63,10.83,9,9.47,8.88,8.74,5.81,8.91,9.95,8.48,5.75,8.6,8.24,8.54,10.17,8.46,11.35
,판관비율,2.93,3.28,3.6,3.68,4.21,3.25,3.23,3.1,2.92,2.83,3.2,4.01,3.07,3.14,3.52,2.96,2.93,3.75,3.62,5.05
,영업이익률,9.14,3.53,5.42,4.95,6.62,5.75,6.24,5.78,5.83,2.98,5.7,5.94,5.42,2.61,5.09,5.28,5.61,6.42,4.83,6.3
,지배순이익률,7.41,3.18,4.27,3.3,4.71,3.22,4.79,3.28,4.33,0.93,3.24,2.35,2.1,0.49,2.22,2.17,2.23,2.14,1.41,3.39
,매출액YOY(%),,,,,12.07,8.3,5.75,9.1,6.5,-3.24,15.01,35.5,20.49,26.06,19.83,2.4,10.62,14.71,8.74,-2.27
,영업이익YOY(%),,,,,-18.85,76.27,21.88,27.42,-6.22,-49.82,5.05,39.33,11.96,10.54,6.93,-9.04,14.61,181.83,3.25,16.59
,지배순이익YOY(%),,,,,-28.73,9.72,18.52,8.5,-2.14,-72.12,-22.29,-2.76,-41.7,-32.99,-17.66,-5.48,17.89,397.53,-31.12,52.35
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
