,현대모비스,A012330,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,64959.12,70412.6,73414.88,76972.66,74671.57,82831.08,81097.75,87082.33,81816.15,91989.71,89179.84,86773.78,82423.65,92888.85,87475.41,88022.83,84810.88,99888.37,93395.01,98540.81
, - 매출원가,55371.57,60047.22,62432.71,66002.26,63933.45,70079.93,70422.69,74917.8,70181.22,78334.75,76973.74,74408.52,70047.48,78604.34,75350.55,75805.42,72341.2,85222.02,80415.01,84696.25
, = 매출총이익,9587.55,10365.38,10982.17,10970.4,10738.12,12751.15,10675.06,12164.53,11634.93,13654.96,12206.1,12365.26,12376.17,14284.51,12124.86,12217.41,12469.68,14666.35,12980,13844.56
, - 판매비와관리비,2917.36,4873.89,3797.63,3803.06,4302.93,4474.37,4330.2,4832.96,4774.81,4947.47,4995.86,4750.31,5067.09,5006.36,5096.99,5273.3,5767.85,5994.45,5796.1,5997.12
, = 영업이익,6670.19,5491.49,7184.54,7167.34,6435.19,8276.78,6344.86,7331.57,6860.12,8707.49,7210.24,7614.95,7309.08,9278.15,7027.87,6944.11,6701.83,8671.9,7183.9,7847.44
,* 지배순이익,7052.09,6200.18,9291.59,9002.13,8225.98,9065.74,7815.51,8991.68,8281.29,9126.7,8245.85,10056.46,7690.75,8231.04,7191.42,8623.55,6191.33,8547.84,7930.53,8460.21
,매출원가비중,85.24,85.28,85.04,85.75,85.62,84.61,86.84,86.03,85.78,85.16,86.31,85.75,84.98,84.62,86.14,86.12,85.3,85.32,86.1,85.95
,매출총이익율,14.76,14.72,14.96,14.25,14.38,15.39,13.16,13.97,14.22,14.84,13.69,14.25,15.02,15.38,13.86,13.88,14.7,14.68,13.9,14.05
,판관비율,4.49,6.92,5.17,4.94,5.76,5.4,5.34,5.55,5.84,5.38,5.6,5.47,6.15,5.39,5.83,5.99,6.8,6,6.21,6.09
,영업이익률,10.27,7.8,9.79,9.31,8.62,9.99,7.82,8.42,8.38,9.47,8.09,8.78,8.87,9.99,8.03,7.89,7.9,8.68,7.69,7.96
,지배순이익률,10.86,8.81,12.66,11.7,11.02,10.94,9.64,10.33,10.12,9.92,9.25,11.59,9.33,8.86,8.22,9.8,7.3,8.56,8.49,8.59
,매출액YOY(%),,,,,14.95,17.64,10.46,13.13,9.57,11.06,9.97,-0.35,0.74,0.98,-1.91,1.44,2.9,7.54,6.77,11.95
,영업이익YOY(%),,,,,-3.52,50.72,-11.69,2.29,6.6,5.2,13.64,3.87,6.54,6.55,-2.53,-8.81,-8.31,-6.53,2.22,13.01
,지배순이익YOY(%),,,,,16.65,46.22,-15.89,-0.12,0.67,0.67,5.51,11.84,-7.13,-9.81,-12.79,-14.25,-19.5,3.85,10.28,-1.89
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
