,현대미포조선,A010620,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,11013.26,11496.52,10873.34,10902.28,11053.12,11324.77,9078.78,9502.49,9529.16,11747.92,9654,8994.3,9432.57,11593.9,10733.28,12123.42,13655.3,10012.31,11443.79,10563.76
, - 매출원가,9801.95,10331.56,9785.58,9926.65,10069.9,10784.58,8511.85,9409.29,9876.66,12027.15,9732.65,10769.52,14476.53,10020.1,9474.33,11156.83,12643.25,9186.73,10173.31,8882.59
, = 매출총이익,1211.31,1164.96,1087.76,975.63,983.22,540.19,566.93,93.2,-347.5,-279.23,-78.65,-1775.22,-5043.96,1573.8,1258.95,966.59,1012.05,825.58,1270.48,1681.17
, - 판매비와관리비,736.82,472.33,695.71,698.55,672.93,579.65,666.91,697.85,624.33,795.93,729.29,730.44,1019.56,873.91,1091.91,811.66,749.11,744.75,694.24,940.16
, = 영업이익,474.49,692.63,392.05,277.08,310.29,-39.46,-99.98,-604.65,-971.83,-1075.16,-807.94,-2505.66,-6063.52,699.89,167.04,154.93,262.94,80.83,576.24,741.01
,* 지배순이익,585.07,-844.62,438.4,256.17,331.85,-51.15,202.92,-1217.26,-588.15,-775.3,-348.73,-1992.2,-4157.3,169.73,224.86,109.15,102.59,-54.69,514.84,973.45
,매출원가비중,89,89.87,90,91.05,91.1,95.23,93.76,99.02,103.65,102.38,100.81,119.74,153.47,86.43,88.27,92.03,92.59,91.75,88.9,84.09
,매출총이익율,11,10.13,10,8.95,8.9,4.77,6.24,0.98,-3.65,-2.38,-0.81,-19.74,-53.47,13.57,11.73,7.97,7.41,8.25,11.1,15.91
,판관비율,6.69,4.11,6.4,6.41,6.09,5.12,7.35,7.34,6.55,6.78,7.55,8.12,10.81,7.54,10.17,6.69,5.49,7.44,6.07,8.9
,영업이익률,4.31,6.02,3.61,2.54,2.81,-0.35,-1.1,-6.36,-10.2,-9.15,-8.37,-27.86,-64.28,6.04,1.56,1.28,1.93,0.81,5.04,7.01
,지배순이익률,5.31,-7.35,4.03,2.35,3,-0.45,2.24,-12.81,-6.17,-6.6,-3.61,-22.15,-44.07,1.46,2.09,0.9,0.75,-0.55,4.5,9.21
,매출액YOY(%),,,,,0.36,-1.49,-16.5,-12.84,-13.79,3.74,6.34,-5.35,-1.01,-1.31,11.18,34.79,44.77,-13.64,6.62,-12.86
,영업이익YOY(%),,,,,-34.61,-105.7,-125.5,-318.22,-413.2,-2624.68,-708.1,-314.4,-523.93,165.1,120.67,106.18,104.34,-88.45,244.97,378.29
,지배순이익YOY(%),,,,,-43.28,93.94,-53.71,-575.18,-277.23,-1415.74,-271.86,-63.66,-606.84,121.89,164.48,105.48,102.47,-132.22,128.96,791.85
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
