,현대백화점,A069960,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3434.57,4142.8,3908.94,3625.88,3462.3,4202.61,3856.97,3722.76,3486.83,4270.79,3939.32,3716.51,3546.99,4315.8,3957.62,3872.54,3975.95,4763.49,4585.51,4495.8
, - 매출원가,610.05,640.45,717.51,577.76,639.67,578.32,691.52,568.19,578.5,590.09,736.53,592.46,601.59,640.32,750.1,644.06,687.77,551.22,823.39,678.81
, = 매출총이익,2824.52,3502.35,3191.43,3048.12,2822.63,3624.29,3165.45,3154.57,2908.33,3680.7,3202.79,3124.05,2945.4,3675.48,3207.52,3228.48,3288.18,4212.27,3762.12,3816.99
, - 판매비와관리비,1990.33,2448.36,1978.32,1919.79,2110.36,2415.12,2117.64,2258.26,2147.83,2453.01,2216.13,2391.13,2246.29,2457.62,2287.38,2524.71,2588.14,2907.96,2738.51,3038.17
, = 영업이익,834.19,1053.99,1213.11,1128.33,712.27,1209.17,1047.81,896.31,760.5,1227.69,986.66,732.92,699.11,1217.86,920.14,703.77,700.04,1304.31,1023.61,778.82
,* 지배순이익,1017.53,584.91,933.58,894.81,590.98,799.65,896.19,682.65,621.36,788.5,775.28,643.92,430.41,834.56,708.04,526.03,414.64,760.35,745.55,582.31
,매출원가비중,17.76,15.46,18.36,15.93,18.48,13.76,17.93,15.26,16.59,13.82,18.7,15.94,16.96,14.84,18.95,16.63,17.3,11.57,17.96,15.1
,매출총이익율,82.24,84.54,81.64,84.07,81.52,86.24,82.07,84.74,83.41,86.18,81.3,84.06,83.04,85.16,81.05,83.37,82.7,88.43,82.04,84.9
,판관비율,57.95,59.1,50.61,52.95,60.95,57.47,54.9,60.66,61.6,57.44,56.26,64.34,63.33,56.94,57.8,65.2,65.09,61.05,59.72,67.58
,영업이익률,24.29,25.44,31.03,31.12,20.57,28.77,27.17,24.08,21.81,28.75,25.05,19.72,19.71,28.22,23.25,18.17,17.61,27.38,22.32,17.32
,지배순이익률,29.63,14.12,23.88,24.68,17.07,19.03,23.24,18.34,17.82,18.46,19.68,17.33,12.13,19.34,17.89,13.58,10.43,15.96,16.26,12.95
,매출액YOY(%),,,,,0.81,1.44,-1.33,2.67,0.71,1.62,2.14,-0.17,1.73,1.05,0.46,4.2,12.09,10.37,15.87,16.09
,영업이익YOY(%),,,,,-14.62,14.72,-13.63,-20.56,6.77,1.53,-5.84,-18.23,-8.07,-0.8,-6.74,-3.98,0.13,7.1,11.25,10.66
,지배순이익YOY(%),,,,,-41.92,36.71,-4.01,-23.71,5.14,-1.39,-13.49,-5.67,-30.73,5.84,-8.67,-18.31,-3.66,-8.89,5.3,10.7
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4235.63,5001.07,4951.57,4358.64,4222.77,4948.42,4519.02,4423.12,4370.14,5309.78,5210.21,5333.92,5321.56,6123.81,4495.64,5166.08,6623.48,6446.32,7569,
