,현대위아,A011210,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,15311.97,17491.93,16515.67,16854.88,17410.28,19430.03,17802.97,18465.64,16918.79,17732.54,19092.39,19306.31,17682.78,19874.58,19893.36,20035.95,18153.8,20758.77,18387.11,19486.62
, - 매출원가,13921.86,15812.6,14769.98,14825.52,15362.23,17015.58,16028.28,16378.51,14787.14,15523.51,17105.99,17079.19,15706.51,17758.86,17762.41,17858.43,16199.07,18610.97,16765.57,17745.22
, = 매출총이익,1390.11,1679.33,1745.69,2029.36,2048.05,2414.45,1774.69,2087.13,2131.65,2209.03,1986.4,2227.12,1976.27,2115.72,2130.95,2177.52,1954.73,2147.8,1621.54,1741.4
, - 판매비와관리비,556.13,909.96,630.64,758.21,692.87,758.89,644.62,769.98,738.63,756.87,658.01,762.17,747.37,881.56,828.78,850.62,838.19,884.07,821.23,833.42
, = 영업이익,833.98,769.37,1115.05,1271.15,1355.18,1655.56,1130.07,1317.15,1393.02,1452.16,1328.39,1464.95,1228.9,1234.16,1302.17,1326.9,1116.54,1263.73,800.31,907.98
,* 지배순이익,605.87,632.45,898.59,945.49,1063.06,1277.18,864.22,1035.42,1151.21,1123.67,1089.3,1086.55,1058.44,1110.04,1068.1,1194.16,972.35,34.13,486.56,584.76
,매출원가비중,90.92,90.4,89.43,87.96,88.24,87.57,90.03,88.7,87.4,87.54,89.6,88.46,88.82,89.35,89.29,89.13,89.23,89.65,91.18,91.06
,매출총이익율,9.08,9.6,10.57,12.04,11.76,12.43,9.97,11.3,12.6,12.46,10.4,11.54,11.18,10.65,10.71,10.87,10.77,10.35,8.82,8.94
,판관비율,3.63,5.2,3.82,4.5,3.98,3.91,3.62,4.17,4.37,4.27,3.45,3.95,4.23,4.44,4.17,4.25,4.62,4.26,4.47,4.28
,영업이익률,5.45,4.4,6.75,7.54,7.78,8.52,6.35,7.13,8.23,8.19,6.96,7.59,6.95,6.21,6.55,6.62,6.15,6.09,4.35,4.66
,지배순이익률,3.96,3.62,5.44,5.61,6.11,6.57,4.85,5.61,6.8,6.34,5.71,5.63,5.99,5.59,5.37,5.96,5.36,0.16,2.65,3
,매출액YOY(%),,,,,13.7,11.08,7.79,9.56,-2.82,-8.74,7.24,4.55,4.52,12.08,4.2,3.78,2.66,4.45,-7.57,-2.74
,영업이익YOY(%),,,,,62.5,115.18,1.35,3.62,2.79,-12.29,17.55,11.22,-11.78,-15.01,-1.97,-9.42,-9.14,2.4,-38.54,-31.57
,지배순이익YOY(%),,,,,75.46,101.94,-3.82,9.51,8.29,-12.02,26.04,4.94,-8.06,-1.21,-1.95,9.9,-8.13,-96.93,-54.45,-51.03
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
