,현대제철,A004020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,37494.7,38899.29,37699.35,40464.23,35892.11,34878.52,29836.54,34903.12,32047.81,38540.07,41263.31,43800.14,40084.52,42475.63,37505.86,39940.63,40833.83,43044.81,37438.13,42257.43
, - 매출원가,33638.42,34547.76,34738.69,35681.78,32178.26,31701.94,27113.95,31454.79,29040.05,34231.49,36813.23,37969.53,34244.97,35388.4,31931.58,33372.49,34949.91,36764.77,32275.25,35347.91
, = 매출총이익,3856.28,4351.53,2960.66,4782.45,3713.85,3176.58,2722.59,3448.33,3007.76,4308.58,4450.08,5830.61,5839.55,7087.23,5574.28,6568.14,5883.92,6280.04,5162.88,6909.52
, - 판매비와관리비,997.25,1711.45,1348.96,1503.62,1437.96,1450.32,1320.79,1482.32,1398.43,1659.69,1934.45,2053.47,2080.17,2228,2175.99,2235.38,2575.62,2677.97,2471.02,2587.83
, = 영업이익,2859.03,2640.08,1611.7,3278.83,2275.89,1726.26,1401.8,1966.01,1609.33,2648.89,2515.63,3777.14,3759.38,4859.23,3398.29,4332.76,3308.3,3602.07,2691.86,4321.69
,* 지배순이익,-1369.55,2727.67,1541.62,1866.09,2328.33,2227.93,204.32,940.55,3184.91,2589.34,632.51,3583.36,1266.38,2165.37,2432.63,1986.7,260.41,2656.46,1598.3,2435.02
,매출원가비중,89.72,88.81,92.15,88.18,89.65,90.89,90.87,90.12,90.61,88.82,89.22,86.69,85.43,83.31,85.14,83.56,85.59,85.41,86.21,83.65
,매출총이익율,10.28,11.19,7.85,11.82,10.35,9.11,9.13,9.88,9.39,11.18,10.78,13.31,14.57,16.69,14.86,16.44,14.41,14.59,13.79,16.35
,판관비율,2.66,4.4,3.58,3.72,4.01,4.16,4.43,4.25,4.36,4.31,4.69,4.69,5.19,5.25,5.8,5.6,6.31,6.22,6.6,6.12
,영업이익률,7.63,6.79,4.28,8.1,6.34,4.95,4.7,5.63,5.02,6.87,6.1,8.62,9.38,11.44,9.06,10.85,8.1,8.37,7.19,10.23
,지배순이익률,-3.65,7.01,4.09,4.61,6.49,6.39,0.68,2.69,9.94,6.72,1.53,8.18,3.16,5.1,6.49,4.97,0.64,6.17,4.27,5.76
,매출액YOY(%),,,,,-4.27,-10.34,-20.86,-13.74,-10.71,10.5,38.3,25.49,25.08,10.21,-9.11,-8.81,1.87,1.34,-0.18,5.8
,영업이익YOY(%),,,,,-20.4,-34.61,-13.02,-40.04,-29.29,53.45,79.46,92.12,133.6,83.44,35.09,14.71,-12,-25.87,-20.79,-0.26
,지배순이익YOY(%),,,,,270.01,-18.32,-86.75,-49.6,36.79,16.22,209.57,280.99,-60.24,-16.37,284.6,-44.56,-79.44,22.68,-34.3,22.57
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
