,현대퓨처넷,A126560,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,620.75,637.11,633.93,716.03,690.75,713.14,712.35,762.41,766.98,809.01,758.66,761.57,777.35,764.64,723.45,725.76,734.01,728.77,716.48,736.49
, - 매출원가,336.92,379.1,360.6,364.72,366.28,382.56,385.99,459.19,441.29,469.67,443.78,440.61,439.27,457.17,420.99,430.55,425.24,455.99,412.59,424.81
, = 매출총이익,283.83,258.01,273.33,351.31,324.47,330.58,326.36,303.22,325.69,339.34,314.88,320.96,338.08,307.47,302.46,295.21,308.77,272.78,303.89,311.68
, - 판매비와관리비,123.47,176.87,139.22,141.97,168.45,176.89,171.13,187.23,174.27,183.92,173.6,177.28,175.73,186.79,177.85,179.69,179.33,188.63,162.45,161.36
, = 영업이익,160.36,81.14,134.11,209.34,156.02,153.69,155.23,115.99,151.42,155.42,141.28,143.68,162.35,120.68,124.61,115.52,129.44,84.15,141.44,150.32
,* 지배순이익,121.58,70.64,106.21,163.49,124.54,127.47,136.97,143.24,128.76,105.81,116.46,112.32,133.03,78.23,91.85,100.29,113.27,64.42,111.44,131.65
,매출원가비중,54.28,59.5,56.88,50.94,53.03,53.64,54.19,60.23,57.54,58.05,58.5,57.86,56.51,59.79,58.19,59.32,57.93,62.57,57.59,57.68
,매출총이익율,45.72,40.5,43.12,49.06,46.97,46.36,45.81,39.77,42.46,41.95,41.5,42.14,43.49,40.21,41.81,40.68,42.07,37.43,42.41,42.32
,판관비율,19.89,27.76,21.96,19.83,24.39,24.8,24.02,24.56,22.72,22.73,22.88,23.28,22.61,24.43,24.58,24.76,24.43,25.88,22.67,21.91
,영업이익률,25.83,12.74,21.16,29.24,22.59,21.55,21.79,15.21,19.74,19.21,18.62,18.87,20.89,15.78,17.22,15.92,17.63,11.55,19.74,20.41
,지배순이익률,19.59,11.09,16.75,22.83,18.03,17.87,19.23,18.79,16.79,13.08,15.35,14.75,17.11,10.23,12.7,13.82,15.43,8.84,15.55,17.88
,매출액YOY(%),,,,,11.28,11.93,12.37,6.48,11.04,13.44,6.5,-0.11,1.35,-5.48,-4.64,-4.7,-5.58,-4.69,-0.96,1.48
,영업이익YOY(%),,,,,-2.71,89.41,15.75,-44.59,-2.95,1.13,-8.99,23.87,7.22,-22.35,-11.8,-19.6,-20.27,-30.27,13.51,30.12
,지배순이익YOY(%),,,,,2.43,80.45,28.96,-12.39,3.39,-16.99,-14.97,-21.59,3.32,-26.07,-21.13,-10.71,-14.85,-17.65,21.33,31.27
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,727.94,740.24,718.63,744.98,756.01,682.74,712.86,734.52,719.53,730.47,727.77,748.13,759.76,693.02,735.25,715.81,713.2,915.66,0,
, - 매출원가,418.76,502,427.67,436.05,443.59,435.24,422.66,446.24,445.63,464.26,448.55,471.47,482.43,449.54,470.38,445.03,468.18,745.49,,
