,효성,A004800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,27269.15,31653.17,30697.29,31718.27,33284.7,30417.25,29133.44,33576.89,31992.78,31088.46,27917.61,31086.07,29597.1,33170.56,27928.66,32141.2,32150.26,32364.42,28131.24,30822.74
, - 매출원가,25087.27,29178.14,28228.92,28775.24,30263.16,27508.37,25845.99,29122,27955.99,28026.97,24537.23,26710.2,25853.25,28555.4,23421.66,27036.08,26502.71,27337.51,23121.36,24732.96
, = 매출총이익,2181.88,2475.03,2468.37,2943.03,3021.54,2908.88,3287.45,4454.89,4036.79,3061.49,3380.38,4375.87,3743.85,4615.16,4507,5105.12,5647.55,5026.91,5009.88,6089.78
, - 판매비와관리비,2535.54,2242.82,2117.95,2147.44,2273.34,2572.44,2239.57,2309.5,2480.97,2951.46,2286.76,2427.48,2476.96,2920.6,2284.98,2554.96,2873.89,3071.06,2786.9,2779.46
, = 영업이익,-353.66,232.21,350.42,795.59,748.2,336.44,1047.88,2145.39,1555.82,110.03,1093.62,1948.39,1266.89,1694.56,2222.02,2550.16,2773.66,1955.85,2222.98,3310.32
,* 지배순이익,-1071.64,-1150.13,336.56,21.82,805.55,402.47,-49.43,727.32,-2419.62,-550.13,-93.7,1630.06,-206.87,1362.81,1088.23,1475.7,-160.11,2523.1,1251.61,1595.21
,매출원가비중,92,92.18,91.96,90.72,90.92,90.44,88.72,86.73,87.38,90.15,87.89,85.92,87.35,86.09,83.86,84.12,82.43,84.47,82.19,80.24
,매출총이익율,8,7.82,8.04,9.28,9.08,9.56,11.28,13.27,12.62,9.85,12.11,14.08,12.65,13.91,16.14,15.88,17.57,15.53,17.81,19.76
,판관비율,9.3,7.09,6.9,6.77,6.83,8.46,7.69,6.88,7.75,9.49,8.19,7.81,8.37,8.8,8.18,7.95,8.94,9.49,9.91,9.02
,영업이익률,-1.3,0.73,1.14,2.51,2.25,1.11,3.6,6.39,4.86,0.35,3.92,6.27,4.28,5.11,7.96,7.93,8.63,6.04,7.9,10.74
,지배순이익률,-3.93,-3.63,1.1,0.07,2.42,1.32,-0.17,2.17,-7.56,-1.77,-0.34,5.24,-0.7,4.11,3.9,4.59,-0.5,7.8,4.45,5.18
,매출액YOY(%),,,,,22.06,-3.9,-5.09,5.86,-3.88,2.21,-4.17,-7.42,-7.49,6.7,0.04,3.39,8.63,-2.43,0.73,-4.1
,영업이익YOY(%),,,,,311.56,44.89,199.04,169.66,107.94,-67.3,4.37,-9.18,-18.57,1440.09,103.18,30.89,118.93,15.42,0.04,29.81
,지배순이익YOY(%),,,,,175.17,134.99,-114.69,3233.27,-400.37,-236.69,-89.56,124.12,91.45,347.73,1261.4,-9.47,22.6,85.14,15.01,8.1
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
