,POSCO,A005490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,169534.4,186879.7,163086.4,164882.4,157390.6,150682.1,145818.8,156031.1,151502.2,165294.3,154401.3,167035.7,162698.5,166849,151009.1,151894.9,139959.9,139059.5,124612,128573.8
, - 매출원가,146747.5,166947.6,146304.8,142818.3,138152.7,134153.1,129081.7,137455.2,136028,147481,137521.6,148909.9,144108.4,147610.5,133033.1,134680.9,123977.6,124889.4,109197.7,112883.6
, = 매출총이익,22786.93,19932.04,16781.62,22064.13,19237.86,16528.98,16737.12,18575.91,15474.24,17813.33,16879.71,18125.78,18590.08,19238.48,17976,17214.01,15982.37,14170.09,15414.34,15690.24
, - 판매비와관리비,9909.72,9155.53,9320.2,9067.83,9200.47,10493.01,9567.93,9549.99,9146.12,10375.23,9567.08,9734.67,9803.05,11593.95,10663.59,10350.57,9463.25,10764.63,8816.68,8905.1
, = 영업이익,12877.21,10776.51,7461.42,12996.3,10037.39,6035.97,7169.19,9025.92,6328.12,7438.1,7312.63,8391.11,8787.03,7644.53,7312.41,6863.44,6519.12,3405.46,6597.66,6785.14
,* 지배순이익,2269.75,10075.82,6295.38,5092.93,7308.38,5924.11,2780.08,2505.65,5671.09,2807.14,698.41,5111.7,2378.17,-1927.29,3385.84,1981.79,-5416.27,1855.1,3596.71,2916.54
,매출원가비중,86.56,89.33,89.71,86.62,87.78,89.03,88.52,88.09,89.79,89.22,89.07,89.15,88.57,88.47,88.1,88.67,88.58,89.81,87.63,87.8
,매출총이익율,13.44,10.67,10.29,13.38,12.22,10.97,11.48,11.91,10.21,10.78,10.93,10.85,11.43,11.53,11.9,11.33,11.42,10.19,12.37,12.2
,판관비율,5.85,4.9,5.71,5.5,5.85,6.96,6.56,6.12,6.04,6.28,6.2,5.83,6.03,6.95,7.06,6.81,6.76,7.74,7.08,6.93
,영업이익률,7.6,5.77,4.58,7.88,6.38,4.01,4.92,5.78,4.18,4.5,4.74,5.02,5.4,4.58,4.84,4.52,4.66,2.45,5.29,5.28
,지배순이익률,1.34,5.39,3.86,3.09,4.64,3.93,1.91,1.61,3.74,1.7,0.45,3.06,1.46,-1.16,2.24,1.3,-3.87,1.33,2.89,2.27
,매출액YOY(%),,,,,-7.16,-19.37,-10.59,-5.37,-3.74,9.7,5.89,7.05,7.39,0.94,-2.2,-9.06,-13.98,-16.66,-17.48,-15.35
,영업이익YOY(%),,,,,-22.05,-43.99,-3.92,-30.55,-36.95,23.23,2,-7.03,38.86,2.78,0,-18.21,-25.81,-55.45,-9.77,-1.14
,지배순이익YOY(%),,,,,221.99,-41.2,-55.84,-50.8,-22.4,-52.61,-74.88,104.01,-58.07,-168.66,384.79,-61.23,-327.75,196.25,6.23,47.17
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
