,세아베스틸,A001430,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,6073.42,5973.3,6437.21,6142.64,5097.51,4263.46,5164.91,5497.21,5062.63,5401.74,5542.27,5868.8,5289.13,5323.46,5355.52,7462.87,6526.48,5922.39,6051.22,6617.39
, - 매출원가,5256.65,5124.09,5629.31,5310.91,4569.75,3940.66,4659.01,4783.91,4541.28,4903.24,5006.53,5116.59,4681.36,4577.58,4521.41,6361.32,5708.45,5334.09,5423.06,5817.93
, = 매출총이익,816.77,849.21,807.9,831.73,527.76,322.8,505.9,713.3,521.35,498.5,535.74,752.21,607.77,745.88,834.11,1101.55,818.03,588.3,628.16,799.46
, - 판매비와관리비,158.64,190.73,192.02,207.34,194.13,178.96,192.59,200.88,195.55,211.51,210.76,229.24,216.36,232.68,274.84,298.72,268.52,276.98,272.74,305.43
, = 영업이익,658.13,658.48,615.88,624.39,333.63,143.84,313.31,512.42,325.8,286.99,324.98,522.97,391.41,513.2,559.27,802.83,549.51,311.32,355.42,494.03
,* 지배순이익,468.54,442.51,442.35,448.59,231.9,68.98,222.01,374.97,257.15,185.97,245.88,369.2,292.49,327.62,611.56,469.56,320.44,107.53,253.13,301.66
,매출원가비중,86.55,85.78,87.45,86.46,89.65,92.43,90.21,87.02,89.7,90.77,90.33,87.18,88.51,85.99,84.43,85.24,87.47,90.07,89.62,87.92
,매출총이익율,13.45,14.22,12.55,13.54,10.35,7.57,9.79,12.98,10.3,9.23,9.67,12.82,11.49,14.01,15.57,14.76,12.53,9.93,10.38,12.08
,판관비율,2.61,3.19,2.98,3.38,3.81,4.2,3.73,3.65,3.86,3.92,3.8,3.91,4.09,4.37,5.13,4,4.11,4.68,4.51,4.62
,영업이익률,10.84,11.02,9.57,10.16,6.54,3.37,6.07,9.32,6.44,5.31,5.86,8.91,7.4,9.64,10.44,10.76,8.42,5.26,5.87,7.47
,지배순이익률,7.71,7.41,6.87,7.3,4.55,1.62,4.3,6.82,5.08,3.44,4.44,6.29,5.53,6.15,11.42,6.29,4.91,1.82,4.18,4.56
,매출액YOY(%),,,,,-16.07,-28.62,-19.76,-10.51,-0.68,26.7,7.31,6.76,4.47,-1.45,-3.37,27.16,23.39,11.25,12.99,-11.33
,영업이익YOY(%),,,,,-49.31,-78.16,-49.13,-17.93,-2.35,99.52,3.72,2.06,20.14,78.82,72.09,53.51,40.39,-39.34,-36.45,-38.46
,지배순이익YOY(%),,,,,-50.51,-84.41,-49.81,-16.41,10.89,169.6,10.75,-1.54,13.74,76.17,148.72,27.18,9.56,-67.18,-58.61,-35.76
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6175.53,6466.98,7312.53,7901.66,7669.62,7669.64,8296.89,8397.35,8273.37,7812.96,7747.83,7843.03,7089.65,6684.55,6993.62,5639.98,5716.69,7007.47,7553,
