,다산네트웍스,A039560,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,352.24,303.76,360.14,322.01,276.55,47.78,281.2,375.62,379.7,390.25,366.38,365.13,370.44,537.78,426.36,391.54,330.77,656.95,747.43,529.85
, - 매출원가,230.41,200,185.45,191.66,174.75,-43.72,201.79,242.57,246.7,252.57,247.67,251.17,268.32,382.68,336.55,301.53,228.55,479.21,606.19,391.32
, = 매출총이익,121.83,103.76,174.69,130.35,101.8,91.5,79.41,133.05,133,137.68,118.71,113.96,102.12,155.1,89.81,90.01,102.22,177.74,141.24,138.53
, - 판매비와관리비,103.54,104.97,102.99,120.19,102.67,63.92,107.5,110.65,105.79,101.78,106.94,117.98,118.59,122.64,120.91,112.09,141.39,126.65,169.48,138.08
, = 영업이익,18.29,-1.21,71.7,10.16,-0.87,27.58,-28.09,22.4,27.21,35.9,11.77,-4.02,-16.47,32.46,-31.1,-22.08,-39.17,51.09,-28.24,0.45
,* 지배순이익,9.71,-26.88,63.87,-32.49,3.76,-89.08,-18.13,9.71,27.57,-5.42,0.59,-7.55,-28.33,7.86,-22.81,-15.43,-32.65,19.85,-39.33,25.02
,매출원가비중,65.41,65.84,51.49,59.52,63.19,-91.5,71.76,64.58,64.97,64.72,67.6,68.79,72.43,71.16,78.94,77.01,69.1,72.94,81.1,73.85
,매출총이익율,34.59,34.16,48.51,40.48,36.81,191.5,28.24,35.42,35.03,35.28,32.4,31.21,27.57,28.84,21.06,22.99,30.9,27.06,18.9,26.15
,판관비율,29.39,34.56,28.6,37.32,37.13,133.78,38.23,29.46,27.86,26.08,29.19,32.31,32.01,22.8,28.36,28.63,42.75,19.28,22.68,26.06
,영업이익률,5.19,-0.4,19.91,3.16,-0.31,57.72,-9.99,5.96,7.17,9.2,3.21,-1.1,-4.45,6.04,-7.29,-5.64,-11.84,7.78,-3.78,0.08
,지배순이익률,2.76,-8.85,17.73,-10.09,1.36,-186.44,-6.45,2.59,7.26,-1.39,0.16,-2.07,-7.65,1.46,-5.35,-3.94,-9.87,3.02,-5.26,4.72
,매출액YOY(%),,,,,-21.49,-84.27,-21.92,16.65,37.3,716.76,30.29,-2.79,-2.44,37.8,16.37,7.23,-10.71,22.16,75.3,35.32
,영업이익YOY(%),,,,,-104.76,2379.34,-139.18,120.47,3227.59,30.17,141.9,-117.95,-160.53,-9.58,-364.23,-449.25,-137.83,57.39,9.2,102.04
,지배순이익YOY(%),,,,,-61.28,-231.4,-128.39,129.89,633.24,93.92,103.25,-177.75,-202.76,245.02,-3966.1,-104.37,-15.25,152.54,-72.42,262.15
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,424.53,187.29,593.57,850.58,814.45,809.3,691.58,939.31,873.17,1063.92,1000.56,1215.62,1124.47,1066.04,674.91,968.29,1228.62,1178.03,904,
