,쏠리드,A050890,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,118.8,318.82,296.67,368.92,246.66,579.43,298.18,314.15,311.19,796.95,437.14,522.23,457.26,589.05,367.26,455.01,492.38,584.94,460.41,633.7
, - 매출원가,88.48,253.03,237.2,278.13,167.55,383.34,202.59,212.71,242.11,569,335.24,376.75,314.16,428.99,283.66,363.72,347.55,411.94,357.58,465.34
, = 매출총이익,30.32,65.79,59.47,90.79,79.11,196.09,95.59,101.44,69.08,227.95,101.9,145.48,143.1,160.06,83.6,91.29,144.83,173,102.83,168.36
, - 판매비와관리비,51.29,63.44,62.77,56.15,55.52,119.25,57.51,78.6,64.64,102.23,74.25,85.7,94.04,129.44,111.61,111.81,117.7,98.15,280.78,318.26
, = 영업이익,-20.97,2.35,-3.3,34.64,23.59,76.84,38.08,22.84,4.44,125.72,27.65,59.78,49.06,30.62,-28.01,-20.52,27.13,74.85,-177.95,-149.9
,* 지배순이익,-7.97,-1.82,-16.56,28.33,6.61,32.46,28.75,30.72,-20.85,105.06,22.71,28.2,36.33,53.05,-33.36,-0.75,30.84,41.44,-171.84,-155.25
,매출원가비중,74.48,79.36,79.95,75.39,67.93,66.16,67.94,67.71,77.8,71.4,76.69,72.14,68.7,72.83,77.24,79.94,70.59,70.42,77.67,73.43
,매출총이익율,25.52,20.64,20.05,24.61,32.07,33.84,32.06,32.29,22.2,28.6,23.31,27.86,31.3,27.17,22.76,20.06,29.41,29.58,22.33,26.57
,판관비율,43.17,19.9,21.16,15.22,22.51,20.58,19.29,25.02,20.77,12.83,16.99,16.41,20.57,21.97,30.39,24.57,23.9,16.78,60.98,50.22
,영업이익률,-17.65,0.74,-1.11,9.39,9.56,13.26,12.77,7.27,1.43,15.78,6.33,11.45,10.73,5.2,-7.63,-4.51,5.51,12.8,-38.65,-23.65
,지배순이익률,-6.71,-0.57,-5.58,7.68,2.68,5.6,9.64,9.78,-6.7,13.18,5.2,5.4,7.95,9.01,-9.08,-0.16,6.26,7.08,-37.32,-24.5
,매출액YOY(%),,,,,107.63,81.74,0.51,-14.85,26.16,37.54,46.6,66.24,46.94,-26.09,-15.99,-12.87,7.68,-0.7,25.36,39.27
,영업이익YOY(%),,,,,212.49,3169.79,1253.94,-34.06,-81.18,63.61,-27.39,161.73,1004.96,-75.64,-201.3,-134.33,-44.7,144.45,-535.31,-630.51
,지배순이익YOY(%),,,,,182.94,1883.52,273.61,8.44,-415.43,223.66,-21.01,-8.2,274.24,-49.51,-246.9,-102.66,-15.11,-21.89,-415.11,-20600
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,935.59,368.25,411.88,661.51,794.07,669.93,417.02,598.48,638.77,571.54,294.8,597.08,538.76,862.16,352.61,377.26,372.8,625.95,655,
