,에이스테크,A088800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,334.14,425.08,307.64,360.77,469.13,900.73,579.4,572.27,623.42,1380.99,848.59,896.26,1014.39,1515.68,978.83,689.4,1139.79,1411.23,990.59,563.12
, - 매출원가,313.9,349.37,243.06,290.28,371.48,583.78,501.86,433.26,484.84,1011.74,657.3,740.59,796.82,1198.02,789.02,590.9,902.01,1114.3,792.65,510.35
, = 매출총이익,20.24,75.71,64.58,70.49,97.65,316.95,77.54,139.01,138.58,369.25,191.29,155.67,217.57,317.66,189.81,98.5,237.78,296.93,197.94,52.77
, - 판매비와관리비,36.38,30.52,75.15,76.77,96.29,292.16,117.43,108.36,132.34,165.81,143.37,146.38,154.84,186.37,153.78,157.6,180.12,180.75,180.43,159.32
, = 영업이익,-16.14,45.19,-10.57,-6.28,1.36,24.79,-39.89,30.65,6.24,203.44,47.92,9.29,62.73,131.29,36.03,-59.1,57.66,116.18,17.51,-106.55
,* 지배순이익,-7.77,302.12,-27.78,-2.47,-26.87,-41.66,-63.6,16.47,-25.13,173,40.75,-36.45,45.15,66.77,-0.74,-18.84,41.31,78.36,-23.93,-118.75
,매출원가비중,93.94,82.19,79.01,80.46,79.18,64.81,86.62,75.71,77.77,73.26,77.46,82.63,78.55,79.04,80.61,85.71,79.14,78.96,80.02,90.63
,매출총이익율,6.06,17.81,20.99,19.54,20.82,35.19,13.38,24.29,22.23,26.74,22.54,17.37,21.45,20.96,19.39,14.29,20.86,21.04,19.98,9.37
,판관비율,10.89,7.18,24.43,21.28,20.53,32.44,20.27,18.94,21.23,12.01,16.9,16.33,15.26,12.3,15.71,22.86,15.8,12.81,18.21,28.29
,영업이익률,-4.83,10.63,-3.44,-1.74,0.29,2.75,-6.88,5.36,1,14.73,5.65,1.04,6.18,8.66,3.68,-8.57,5.06,8.23,1.77,-18.92
,지배순이익률,-2.33,71.07,-9.03,-0.68,-5.73,-4.63,-10.98,2.88,-4.03,12.53,4.8,-4.07,4.45,4.41,-0.08,-2.73,3.62,5.55,-2.42,-21.09
,매출액YOY(%),,,,,40.4,111.9,88.34,58.62,32.89,53.32,46.46,56.61,62.71,9.75,15.35,-23.08,12.36,-6.89,1.2,-18.32
,영업이익YOY(%),,,,,108.43,-45.14,-277.39,588.06,358.82,720.65,220.13,-69.69,905.29,-35.47,-24.81,-736.17,-8.08,-11.51,-51.4,-80.29
,지배순이익YOY(%),,,,,-245.82,-113.79,-128.94,766.8,6.48,515.27,164.07,-321.31,279.67,-61.4,-101.82,48.31,-8.5,17.36,-3133.78,-530.31
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,524.12,1143.34,1099.04,1072.89,844.17,500.06,839.34,1092.27,877.09,964.47,1076.84,1132.9,922.33,653.95,443.36,581.56,566.3,516.33,627,
