,예림당,A036000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,122.68,142.79,163.62,98.5,102.79,128.1,169.53,69.18,587,555.78,704.22,658.98,789.35,772.4,738.35,781.32,820.82,852.14,1030.68,1002.53
, - 매출원가,42.85,43.42,52.02,31.99,38.88,45.97,48.78,37.21,418.54,444.62,523.85,517.07,583.21,652.02,606.62,665.52,681.13,729.57,808.95,892.33
, = 매출총이익,79.83,99.37,111.6,66.51,63.91,82.13,120.75,31.97,168.46,111.16,180.37,141.91,206.14,120.38,131.73,115.8,139.69,122.57,221.73,110.2
, - 판매비와관리비,42.29,54.71,60.93,44.15,45.01,60.6,73.94,31.16,113.99,110.53,130.83,95.85,108.31,123.42,97.07,108.78,114.97,132.42,134.4,140.3
, = 영업이익,37.54,44.66,50.67,22.36,18.9,21.53,46.81,0.81,54.47,0.63,49.54,46.06,97.83,-3.04,34.66,7.02,24.72,-9.85,87.33,-30.1
,* 지배순이익,29.66,30.94,52.53,20.18,5.99,10.64,45.36,5.95,29.43,-10.31,34.17,28.98,53.68,-31.8,14.28,0.13,12.39,-3.61,49.83,-22.22
,매출원가비중,34.93,30.41,31.79,32.48,37.82,35.89,28.77,53.79,71.3,80,74.39,78.47,73.88,84.41,82.16,85.18,82.98,85.62,78.49,89.01
,매출총이익율,65.07,69.59,68.21,67.52,62.18,64.11,71.23,46.21,28.7,20,25.61,21.53,26.12,15.59,17.84,14.82,17.02,14.38,21.51,10.99
,판관비율,34.47,38.32,37.24,44.82,43.79,47.31,43.61,45.04,19.42,19.89,18.58,14.55,13.72,15.98,13.15,13.92,14.01,15.54,13.04,13.99
,영업이익률,30.6,31.28,30.97,22.7,18.39,16.81,27.61,1.17,9.28,0.11,7.03,6.99,12.39,-0.39,4.69,0.9,3.01,-1.16,8.47,-3
,지배순이익률,24.18,21.67,32.1,20.49,5.83,8.31,26.76,8.6,5.01,-1.86,4.85,4.4,6.8,-4.12,1.93,0.02,1.51,-0.42,4.83,-2.22
,매출액YOY(%),,,,,-16.21,-10.29,3.61,-29.77,471.07,333.86,315.4,852.56,34.47,38.98,4.85,18.57,3.99,10.32,39.59,28.31
,영업이익YOY(%),,,,,-49.65,-51.79,-7.62,-96.38,188.2,-97.07,5.83,5586.42,79.6,-582.54,-30.04,-84.76,-74.73,-224.01,151.96,-528.77
,지배순이익YOY(%),,,,,-79.8,-65.61,-13.65,-70.52,391.32,-196.9,-24.67,387.06,82.4,-208.44,-58.21,-99.55,-76.92,88.65,248.95,-17192.31
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1337.05,1157.26,1529.35,1381.88,1801.79,1720.01,2122.95,1698.4,1982.47,1807.27,2473.67,1882.88,2087.49,1912.58,1543.34,302.89,544.33,545.21,0,
