,KSS해운,A044450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,241.42,262.8,261.81,285.69,289.86,267.08,276.69,305.44,318.16,286.51,336.61,341.32,337.41,359.93,346.03,343.46,390.8,354.51,363.62,334.86
, - 매출원가,194.49,207.7,221.81,221.4,225.35,236.61,224.07,232.21,230.68,213.72,258.26,258.09,257.31,286.3,255.35,250.6,266,270.24,258.8,240.45
, = 매출총이익,46.93,55.1,40,64.29,64.51,30.47,52.62,73.23,87.48,72.79,78.35,83.23,80.1,73.63,90.68,92.86,124.8,84.27,104.82,94.41
, - 판매비와관리비,5.58,18.45,16.41,17.86,17.17,24.16,22.15,23.24,24.08,26.19,21.36,22.36,17.7,33.46,21.1,25.14,25.73,23.33,25.51,23.83
, = 영업이익,41.35,36.65,23.59,46.43,47.34,6.31,30.47,49.99,63.4,46.6,56.99,60.87,62.4,40.17,69.58,67.72,99.07,60.94,79.31,70.58
,* 지배순이익,2.53,45.86,47.09,17.99,25.13,38.13,66.5,66.54,41.28,88.77,37.04,38.59,66.68,67.89,56.68,56.71,83.64,34.46,43.4,-67.31
,매출원가비중,80.56,79.03,84.72,77.5,77.74,88.59,80.98,76.02,72.5,74.59,76.72,75.62,76.26,79.54,73.79,72.96,68.07,76.23,71.17,71.81
,매출총이익율,19.44,20.97,15.28,22.5,22.26,11.41,19.02,23.98,27.5,25.41,23.28,24.38,23.74,20.46,26.21,27.04,31.93,23.77,28.83,28.19
,판관비율,2.31,7.02,6.27,6.25,5.92,9.05,8.01,7.61,7.57,9.14,6.35,6.55,5.25,9.3,6.1,7.32,6.58,6.58,7.02,7.12
,영업이익률,17.13,13.95,9.01,16.25,16.33,2.36,11.01,16.37,19.93,16.26,16.93,17.83,18.49,11.16,20.11,19.72,25.35,17.19,21.81,21.08
,지배순이익률,1.05,17.45,17.99,6.3,8.67,14.28,24.03,21.78,12.97,30.98,11,11.31,19.76,18.86,16.38,16.51,21.4,9.72,11.94,-20.1
,매출액YOY(%),,,,,20.06,1.63,5.68,6.91,9.76,7.27,21.66,11.75,6.05,25.63,2.8,0.63,15.82,-1.51,5.08,-2.5
,영업이익YOY(%),,,,,14.49,-82.78,29.16,7.67,33.92,638.51,87.04,21.76,-1.58,-13.8,22.09,11.25,58.77,51.71,13.98,4.22
,지배순이익YOY(%),,,,,893.28,-16.86,41.22,269.87,64.27,132.81,-44.3,-42,61.53,-23.52,53.02,46.96,25.43,-49.24,-23.43,-218.69
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,339.1,373.86,381.35,425.85,454.62,513.84,480.92,480.42,531.89,531.82,552.96,562.05,580.45,616.94,617.68,524.13,573.69,546.32,0,
, - 매출원가,233.45,255.61,288.21,275.76,312.99,345.58,341.29,335.59,381.91,395.23,409.94,401.17,437.79,428.13,463.49,376.63,416.49,383.33,,
