,팬오션,A028670,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,13469.32,15122.04,12322.61,14453.87,13464.69,13937.29,11406.79,9611.82,2558.46,3243.17,4125.43,3869.28,3897.46,4563.54,3997.36,4157.56,4917.38,5120.83,4525.43,4429.82
, - 매출원가,13637.06,14981.04,13247.83,14385.61,13842.48,13558.24,11959.6,9350.38,3254.71,3289.33,3512.3,3144.13,3356.91,3799.8,3272.09,3482.33,4176.08,4386.56,3978.59,3869.41
, = 매출총이익,-167.74,141,-925.22,68.26,-377.79,379.05,-552.81,261.44,-696.25,-46.16,613.13,725.15,540.55,763.74,725.27,675.23,741.3,734.27,546.84,560.41
, - 판매비와관리비,344.24,969.53,359.55,318.49,282.01,301.01,277.09,369.77,209.27,331,118.32,62.85,120.86,180.99,110.93,163.12,130.78,177.54,149.06,148.61
, = 영업이익,-511.98,-828.53,-1284.77,-250.23,-659.8,78.04,-829.9,-108.33,-905.52,-377.16,494.81,662.3,419.69,582.75,614.34,512.11,610.52,556.73,397.78,411.8
,* 지배순이익,-395.51,480.29,-1183.84,-923.89,-1007.06,-1537.87,-720.09,-196.92,-4489.39,-13694.99,363.09,3388.9,1937.9,2171.57,1121.17,-1694.72,519.49,509.43,755.46,237.64
,매출원가비중,101.25,99.07,107.51,99.53,102.81,97.28,104.85,97.28,127.21,101.42,85.14,81.26,86.13,83.26,81.86,83.76,84.92,85.66,87.92,87.35
,매출총이익율,-1.25,0.93,-7.51,0.47,-2.81,2.72,-4.85,2.72,-27.21,-1.42,14.86,18.74,13.87,16.74,18.14,16.24,15.08,14.34,12.08,12.65
,판관비율,2.56,6.41,2.92,2.2,2.09,2.16,2.43,3.85,8.18,10.21,2.87,1.62,3.1,3.97,2.78,3.92,2.66,3.47,3.29,3.35
,영업이익률,-3.8,-5.48,-10.43,-1.73,-4.9,0.56,-7.28,-1.13,-35.39,-11.63,11.99,17.12,10.77,12.77,15.37,12.32,12.42,10.87,8.79,9.3
,지배순이익률,-2.94,3.18,-9.61,-6.39,-7.48,-11.03,-6.31,-2.05,-175.47,-422.27,8.8,87.58,49.72,47.59,28.05,-40.76,10.56,9.95,16.69,5.36
,매출액YOY(%),,,,,-0.03,-7.83,-7.43,-33.5,-81,-76.73,-63.83,-59.74,52.34,40.71,-3.1,7.45,26.17,12.21,13.21,6.55
,영업이익YOY(%),,,,,-28.87,109.42,35.4,56.71,-37.24,-583.29,159.62,711.37,146.35,254.51,24.16,-22.68,45.47,-4.47,-35.25,-19.59
,지배순이익YOY(%),,,,,-154.62,-420.2,39.17,78.69,-345.79,-790.52,150.42,1820.95,143.17,115.86,208.79,-150.01,-73.19,-76.54,-32.62,114.02
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
