,현대바이오,A048410,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,101,87.24,125.95,53.47,44.34,117.35,83.05,51.85,52.19,68.29,75.17,56.53,70.59,86.84,117.86,130.8,75.17,82.92,97.33,70.89
, - 매출원가,87.12,88.96,101.63,46.8,43.87,74.68,61.41,42.45,37.89,57.75,58.32,38.86,43.87,62.01,87.68,102.3,39.24,55.67,60.63,36.49
, = 매출총이익,13.88,-1.72,24.32,6.67,0.47,42.67,21.64,9.4,14.3,10.54,16.85,17.67,26.72,24.83,30.18,28.5,35.93,27.25,36.7,34.4
, - 판매비와관리비,82.69,39.2,18.41,35.84,25.4,34.7,34.12,32.85,32.17,40.24,23.44,17.53,17.69,20.95,25.87,25.34,27.67,29.42,32.66,35.9
, = 영업이익,-68.81,-40.92,5.91,-29.17,-24.93,7.97,-12.48,-23.45,-17.87,-29.7,-6.59,0.14,9.03,3.88,4.31,3.16,8.26,-2.17,4.04,-1.5
,* 지배순이익,-27.77,-102.3,-13.24,-21.08,-31.9,-4.83,-15.46,-25.89,-20.35,-41.83,-6.16,-7.77,1.3,-18.46,1.66,2.91,9.43,-6.88,1.46,-2.69
,매출원가비중,86.26,101.97,80.69,87.53,98.94,63.64,73.94,81.87,72.6,84.57,77.58,68.74,62.15,71.41,74.39,78.21,52.2,67.14,62.29,51.47
,매출총이익율,13.74,-1.97,19.31,12.47,1.06,36.36,26.06,18.13,27.4,15.43,22.42,31.26,37.85,28.59,25.61,21.79,47.8,32.86,37.71,48.53
,판관비율,81.87,44.93,14.62,67.03,57.28,29.57,41.08,63.36,61.64,58.93,31.18,31.01,25.06,24.12,21.95,19.37,36.81,35.48,33.56,50.64
,영업이익률,-68.13,-46.91,4.69,-54.55,-56.22,6.79,-15.03,-45.23,-34.24,-43.49,-8.77,0.25,12.79,4.47,3.66,2.42,10.99,-2.62,4.15,-2.12
,지배순이익률,-27.5,-117.26,-10.51,-39.42,-71.94,-4.12,-18.62,-49.93,-38.99,-61.25,-8.19,-13.74,1.84,-21.26,1.41,2.22,12.54,-8.3,1.5,-3.79
,매출액YOY(%),,,,,-56.1,34.51,-34.06,-3.03,17.7,-41.81,-9.49,9.03,35.26,27.16,56.79,131.38,6.49,-4.51,-17.42,-45.8
,영업이익YOY(%),,,,,63.77,119.48,-311.17,19.61,28.32,-472.65,47.2,100.6,150.53,113.06,165.4,2157.14,-8.53,-155.93,-6.26,-147.47
,지배순이익YOY(%),,,,,-14.87,95.28,-16.77,-22.82,36.21,-766.05,60.16,69.99,106.39,55.87,126.95,137.45,625.38,62.73,-12.05,-192.44
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,83.84,108.96,59.48,65.62,79.92,114.68,61.42,85.26,74.35,91.34,78.31,79.63,65.53,77.39,41.79,33.97,29.6,19.75,0,
