,한화솔루션,A009830,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,20298.33,17744.12,16945.9,17123.35,17710.01,17842.87,17796.89,19804.97,20852.51,20181.17,19573.25,21039.21,19758.96,20181.92,18369.38,20086.52,18867.85,23046.16,21636.74,23922.1
, - 매출원가,16979.55,16179.68,14066.48,14194.12,14588.15,15424.33,15171.22,16540.08,17448.05,16829.78,16065.78,17959.66,16660.46,17085.58,15075.96,16424.69,14806.46,19099.25,17099.37,17963.19
, = 매출총이익,3318.78,1564.44,2879.42,2929.23,3121.86,2418.54,2625.67,3264.89,3404.46,3351.39,3507.47,3079.55,3098.5,3096.34,3293.42,3661.83,4061.39,3946.91,4537.37,5958.91
, - 판매비와관리비,2490.75,3540.95,2558.17,2478.03,2718.47,3541.92,2710.85,2948.09,2993.44,3015.09,2677.42,2860.21,2863.27,2968.36,3036.93,2724.45,2728,3104.05,3109.32,3023.35
, = 영업이익,828.03,-1976.51,321.25,451.2,403.39,-1123.38,-85.18,316.8,411.02,336.3,830.05,219.34,235.23,127.98,256.49,937.38,1333.39,842.86,1428.05,2935.56
,* 지배순이익,640.54,-1078.62,346.95,-127.26,412.86,-336.77,252.1,-341.67,-19.24,191.33,198.05,53.8,211.57,104,-178.76,354.49,1501.01,204.86,1073.55,2998.13
,매출원가비중,83.65,91.18,83.01,82.89,82.37,86.45,85.25,83.51,83.67,83.39,82.08,85.36,84.32,84.66,82.07,81.77,78.47,82.87,79.03,75.09
,매출총이익율,16.35,8.82,16.99,17.11,17.63,13.55,14.75,16.49,16.33,16.61,17.92,14.64,15.68,15.34,17.93,18.23,21.53,17.13,20.97,24.91
,판관비율,12.27,19.96,15.1,14.47,15.35,19.85,15.23,14.89,14.36,14.94,13.68,13.59,14.49,14.71,16.53,13.56,14.46,13.47,14.37,12.64
,영업이익률,4.08,-11.14,1.9,2.63,2.28,-6.3,-0.48,1.6,1.97,1.67,4.24,1.04,1.19,0.63,1.4,4.67,7.07,3.66,6.6,12.27
,지배순이익률,3.16,-6.08,2.05,-0.74,2.33,-1.89,1.42,-1.73,-0.09,0.95,1.01,0.26,1.07,0.52,-0.97,1.76,7.96,0.89,4.96,12.53
,매출액YOY(%),,,,,-12.75,0.56,5.02,15.66,17.74,13.1,9.98,6.23,-5.24,0,-6.15,-4.53,-4.51,14.19,17.79,19.1
,영업이익YOY(%),,,,,-51.28,43.16,-126.52,-29.79,1.89,129.94,1074.47,-30.76,-42.77,-61.94,-69.1,327.36,466.85,558.59,456.77,213.17
,지배순이익YOY(%),,,,,-35.55,68.78,-27.34,-168.48,-104.66,156.81,-21.44,115.75,1199.64,-45.64,-190.26,558.9,609.46,96.98,700.55,745.76
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
