,삼성엔지니어링,A028050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,114401.6,98063.23,89114.51,64412.51,70094.33,55362.27,54798.01,63679.8,67251.13,69327,72508,,시가총액,102000,93200,80600,96800,71800,76800,66200,52200,29640,33040,26400,28680,32040,24080,15160,15540,12640,12200,28518,21364,20090,21168,20188,25186,23324,21560,24304,35476,30674,37828,34496,31556,33614,32928,37632,19502,24010,20678,25970,27342,
,영업이익,7367.61,-10280.47,1618.33,-14543.34,700.56,468.95,2060.81,3854.76,3510.45,3960,4284,,영업이익,5411.92,6680.35,6264.17,6426.57,6836.95,6600.06,7367.6,3388.57,451.08,-8909,-10280.46,-7776.39,-6118.21,1670.91,1618.33,1527.94,950.84,-14498.04,-14543.35,-14493.49,-14651.85,1007.5,700.57,558.59,646.8,267.92,468.95,557.45,872.29,1564.26,2060.81,3038.6,3599.98,3752.59,3854.76,3519.45,3377.54,3380.44,3510.44,3575.53,
,순이익,5271.97,-7070.98,549.82,-13052.81,257.59,-453.51,686.85,2926.48,2448.16,3047,3297,,자기자본,11350,12333,13506,13886,15087,16588,16882,13875,13052,7948,9065,9141,9596,9510,9527,9502,10324,10324,10324,10365,10247,10671,10109,10115,10229,10345,10262,10518,10289,10813,10550,11443,12176,12902,13228,14160,14782,15566,16007,16783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,92847.87,82346.7,74723.04,49227.22,56016.17,45037.84,42777.62,47712.95,49967.25,0,0,,매출액,21218.22,22249.39,31308.76,26615.68,31081.15,28619.45,28085.29,25159.46,26574.27,19445.28,26884.22,22162.91,21977.25,22067.44,22906.91,17728.06,18424.3,8569.12,19691.02,14741.11,18800.21,16309.5,20243.51,16188.64,13560.34,12942.03,12671.26,12175.13,13486.15,13057.9,16078.83,13518.15,16252.07,16356.24,17553.34,15925.25,16742.52,16031.63,18551.73,16505,
,영업이익,7142.72,-2776.73,3028.52,-11369.66,1328.03,-1010.21,52.47,1939.74,2467.3,0,0,,영업이익,1639.92,2129.43,875.82,1781.4,2050.3,1892.54,1643.36,-2197.63,-887.19,-7467.54,271.9,306.44,770.99,321.58,219.32,216.05,193.89,-15127.3,174.01,265.91,35.53,532.05,-132.92,123.93,123.74,153.17,68.11,212.43,438.58,845.14,564.66,1190.22,999.96,997.75,666.83,854.91,858.05,1000.65,796.83,920,
,순이익,5106.31,-6884.38,-521.37,-13492.31,-20.66,-784.4,348.34,1242.96,2244.1,0,0,,순이익,1127.26,1285.27,1504.78,1446.54,1442.01,1252.08,1131.35,-1796.89,-926.86,-5242.78,895.54,249.65,228.99,145.02,-73.84,123.88,10.29,-13318.3,131.33,83.35,23.09,19.01,132.15,-441,318.36,69.59,-400.46,108.49,213.86,546.39,-181.89,998.64,722.67,726.72,478.46,699.11,680.55,696.65,371.85,776,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,114401.6,98063.23,89114.51,64412.51,70094.33,55362.27,54798.01,63679.8,67251.13,69327,72508,,매출액,18827.13,20053.18,25992.46,22571.59,25161.76,22098.68,18844.89,21491.63,22359.32,16874.22,21621.53,18767.88,18302.32,19427.75,18225.09,13853.49,14402.23,7289.34,13682.16,10999.86,16087.81,12877.92,16050.57,13917.79,10810.47,10661.99,9647.59,10606.56,11195.4,9935.61,11040.05,10412.27,12400.3,12498.39,12401.99,12675.49,13253.69,11846.02,12192.05,0,
,매출액성장율,23.04,-14.3,-9.1,-27.7,8.8,-21,-1,16.2,5.6,3.1,4.6,,영업이익,1308.59,1519.29,1015.74,1609.21,2425.32,1626.15,1564.16,-637.65,5.82,-2488.72,343.83,471.25,470.84,1578.04,508.39,-68.64,282.79,-11347.75,-236.08,-298.63,839.71,381.52,405.42,-41.63,140.45,-266.63,-842.41,45.2,145.84,277.29,-415.86,671.92,583.07,594.64,90.12,511.08,583.4,863.47,509.35,0,
