,아이에스동서,A010780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6465.88,6847.64,8015.92,9458.47,17241.01,18329.61,15968.48,7705.84,12004.13,16584,22489,,시가총액,4826,2112,3524,4136,2520,3421,2566,2987,3575,4200,4073,6039,7366,9920,12754,18742,19721,14412,12135,12394,16537,16757,13685,13655,13522,10126,10728,9557,8555,11885,9457,9688,11940,9283,10179,6796,8696,12620,16497,18968,
,영업이익,368.04,558.37,802.93,1145.07,3047.92,3245.23,3801.55,714.61,2090.23,3376,4679,,영업이익,268.9,288.14,182.19,226.85,258.41,221.61,260.16,338.48,413.45,463.11,558.37,562.8,650.49,758.83,802.92,819.16,885.57,983.55,1145.07,1572.9,2119.46,2565.92,3047.92,3234.8,3304.38,3473.09,3245.23,2753.34,4069.63,3315.5,3801.55,3665.28,1427.96,1537.07,714.61,843.41,1394.97,1843.19,2090.23,2457.23,
,순이익,44.78,213.32,488.79,1017.94,2123.36,1951.74,2452.01,660.57,1242.46,2071,2935,,자기자본,3532,3576,3625,3607,3663,3681,3603,3686,3767,3741,3798,3873,3994,4171,4269,4289,5072,5374,5587,5866,7520,8302,8999,9031,9734,10350,10647,8850,10564,10647,10667,10475,10697,10840,10983,10699,10908,11745,11774,12117,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5272.22,5646.09,6642.48,7801.09,15389.79,16516.79,15254.27,6079.27,9319.24,0,0,,매출액,935.49,1038.26,1118.11,1042.38,1352.53,1243.15,1956.83,1496.63,1818.07,1692.91,1840.03,1699.22,2311.39,1959.85,2045.47,1737.55,2478,2326.64,2916.28,3311.41,4523.44,4110.74,5295.42,4285.42,5094.88,4751.01,4198.3,2584.96,7710.42,2538.3,3134.79,1858.57,1509.07,1994.78,2343.42,2157.12,3141.69,3393.9,3311.42,3405,
