,쌍용C&E,A003410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,19910.4,20607.3,20207.05,19863.86,14302.89,15171.4,15099.85,15384.81,14707.99,15398,16230,,시가총액,5107,3356,3083,3770,3345,4218,4233,5876,5241,4457,5114,6817,8399,7727,9034,12095,11871,14596,12244,14447,17985,14259,12947,12728,14763,11941,18794,24084,28619,32499,31693,32247,31743,30786,28569,22749,25697,29577,33658,38747,
,영업이익,1436.09,1381.2,1623.12,2142.5,2578.37,2509.48,2469.49,2292.22,2501.62,2720,2942,,영업이익,734.66,794.8,666.28,740.47,912.2,1124.77,1436.09,1521.08,1472.47,1499.53,1381.18,1616.01,1687.31,1634.34,1623.11,1808.72,1902.74,2163.52,2142.5,2243.14,2394.04,2396.35,2578.36,2666.16,2609.45,2482.66,2509.48,2188.44,2154.18,2211.22,2469.49,2487.51,2613.11,2529.71,2292.22,2384,2446.88,2457.78,2501.61,2489.79,
,순이익,334.16,403.64,1052.82,768.78,1727.68,3020.71,1463.18,1306.52,1381.81,1723,1905,,자기자본,12001,10991,10680,10215,10472,10694,10951,10510,10808,11166,11355,11343,11773,11994,12266,12511,13104,13570,12926,13227,13805,16588,16889,16424,17318,18398,19604,19362,19624,19679,19349,18801,18724,18526,18014,17608,17500,17193,16897,17056,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
