,유니슨,A018000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1138.71,407.46,819.81,1183.47,525.2,1867.05,1652.34,759.33,801.68,801.68,,,시가총액,1488,1160,2340,1978,3009,3767,2867,2850,1932,2055,1059,837,1180,1113,1101,1279,1080,873,853,903,1115,995,926,1023,2393,2823,3048,2767,2317,1938,1474,1217,1147,779,941,663,1669,5994,5936,5269,
,영업이익,-13.93,-255.08,18.8,31.98,-97.97,160.43,9.57,-137.95,-117.07,-117.08,,,영업이익,-70.99,103.82,-27.74,-67.81,74.5,107.8,-24.82,-32.83,-85.02,-145.37,-255.08,-231.43,-199.19,-148.08,18.8,61.21,58.05,16.82,31.98,-10.18,-33.45,-41.95,-97.97,-49.77,2.52,103.04,160.44,140.23,140.55,89.91,9.57,-42,-85.46,-146.96,-137.95,-85.34,-111.25,-111.88,-117.08,-117.08,
,순이익,-222.65,-751.08,-168.54,-291.05,-324.79,11.15,-144.48,-40.89,-234.14,-234.15,,,자기자본,303,203,869,570,1366,1397,1334,1289,1197,1114,616,569,497,484,470,436,320,278,414,374,377,391,231,267,414,459,448,833,808,795,720,737,716,660,712,714,743,802,757,757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
