,CJ CGV,A079160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7793.33,9159.3,10392.96,11935.16,14322.45,17143.87,17693.56,19422.79,5834.44,12099,20228,,시가총액,6113,4907,5495,5464,5350,5928,6629,10298,10309,11639,9205,11004,10221,11321,11427,13966,27086,22219,26663,21013,21902,17712,14898,15998,15575,13628,15702,14390,14220,10983,8676,9184,7957,7068,7311,3693,7178,7880,8845,9337,
,영업이익,551.79,515.16,520.83,668.99,703.37,862.43,777.07,1219.75,-3886.6,-1001,1529,,영업이익,610.64,659.45,724.57,756.51,800.55,735.49,662.69,700.21,587.22,536.57,515.16,402.64,322.17,439.05,520.83,569.61,623.53,674.49,669,701.37,623.72,573.55,703.37,672.08,632.33,614.4,862.42,908.38,942.3,946.96,777.08,820.47,1052.42,1035.65,1219.76,268.42,-1271.54,-2549.42,-3886.61,-4018.42,
,순이익,541.53,126.82,166.57,519.44,123.38,-14.03,-1406.53,-1526.42,-6354.15,-2326,5,,자기자본,3082,3298,3058,3293,3454,3858,3456,3520,3521,3619,3722,3673,3592,3900,3819,3841,3970,4370,4211,4265,4264,3920,3736,3182,3295,3654,3080,3095,2694,2117,2597,1125,992,2487,2704,1645,174,1377,1338,455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6645.25,7730.09,8645.02,8967.77,9145.97,9321.26,9598.27,10463.7,3257.6,0,0,,매출액,1281.16,1692.1,1344.33,1385.47,1542.78,1994.01,2015.46,2247.49,2107.42,2670.16,2134.23,2469.63,2254.4,3078.23,2590.7,2575.44,2783.59,3580.72,2995.41,3142.84,3146.41,4220.77,3812.43,4055.18,3826.24,4721.78,4540.67,4411.79,4048.04,4729.9,4503.84,4646.14,4819.34,4974.69,4982.63,2433.08,415.94,1551.95,1433.47,1740,
,영업이익,722.49,681.45,714.44,715.55,619.92,439.21,457.04,752.07,-2036.61,0,0,,영업이익,181.64,337.81,66.12,170.94,225.68,272.75,-6.68,208.46,112.69,222.1,-28.09,95.94,32.22,338.98,53.69,144.72,86.14,389.94,48.2,177.09,8.49,339.77,178.02,145.8,-31.26,321.84,426.04,191.76,2.66,326.5,256.16,235.15,234.61,309.73,440.27,-716.19,-1305.35,-968.15,-896.92,-848,
,순이익,727.45,430.78,332.74,577.03,372.68,-132.99,-3250.93,-660.62,-4665.02,0,0,,순이익,87.1,220.76,-13.01,120.72,161.26,403.61,-34.23,108.07,-18.42,165.25,-128.08,37.4,1.1,238.38,-110.31,93.32,113.37,343.63,-30.88,132.96,51.83,66.47,-127.88,-43.88,-111.55,290.63,-149.23,-53.08,-170.13,14.08,-1197.4,-69.25,-88.22,18.11,-1387.06,-955.18,-1431.69,-1003.53,-2963.75,-883,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7793.33,9159.3,10392.96,11935.16,14322.45,17143.87,17693.56,19422.79,5834.44,12099,20228,,매출액,1281.16,1692.1,1344.33,1385.47,1542.78,1994.01,1722.99,1876.02,1696.12,2343.66,1814.3,2102.78,1800.44,2662.8,2079,2040.32,2021.28,2769.04,2137.13,2041.38,2018.1,2883.85,2202.64,2167.44,1973.52,2691.66,2488.63,2201.6,2214.04,2819.84,2512.13,2487.7,2663.44,2820.91,2491.65,1278.49,360.22,987,631.89,0,
,매출액성장율,24,17.5,13.5,14.8,20,19.7,3.2,9.8,-70,107.4,67.2,,영업이익,187.33,318.81,66.12,170.93,225.68,272.73,53.14,242.71,112.29,275.63,50.82,175.17,72.81,382.02,84.44,200.96,68.19,378.13,68.27,100.47,32.94,387.54,98.96,42.87,-90.02,224.81,261.55,11.12,-12.02,255.87,106.19,72.53,93.1,264.8,321.63,-329.38,-701.24,-433.24,-572.75,0,
,,,,,,,,,,,,,,순이익,87.1,220.76,-13.01,120.72,161.26,403.61,41.87,165.47,12.55,217.52,35.24,116.75,37.21,267.73,-88.95,155.22,87.42,317.21,17.18,93.4,87,204.07,-11.79,-42.01,-131.1,215.16,-175.03,-119.54,-156.17,-40.35,-2934.86,-19.78,1.33,126.95,-769.12,-439.16,-854.82,-463.08,-2907.96,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,551.79,515.16,520.83,668.99,703.37,862.43,777.07,1219.75,-3886.6,-1001,1529,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,22.95,-6.6,1.1,28.4,5.1,22.6,-9.9,57,-418.6,74.2,252.7,,매출액,5025.16,5171.26,5477.59,5703.06,5964.68,6266.59,6937.72,7799.74,8364.38,9040.53,9159.3,9381.44,9528.42,9936.49,10392.96,10498.77,11027.96,11530.45,11935.16,12502.56,12865.38,13505.43,14322.45,15234.79,15914.62,16415.63,17143.87,17500.48,17722.28,17730.4,17693.57,17927.92,18699.22,18944.01,19422.8,17209.74,12806.34,9383.6,5834.44,5141.36,
,,,,,,,,,,,,,,영업이익,610.64,659.45,724.57,756.51,800.55,735.49,662.69,700.21,587.22,536.57,515.16,402.64,322.17,439.05,520.83,569.61,623.53,674.49,669,701.37,623.72,573.55,703.37,672.08,632.33,614.4,862.42,908.38,942.3,946.96,777.08,820.47,1052.42,1035.65,1219.76,268.42,-1271.54,-2549.42,-3886.61,-4018.42,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,366.1,383.86,385.85,415.57,489.73,672.58,651.36,638.71,459.03,220.67,126.82,56.15,75.67,148.8,166.57,222.49,334.76,440.01,519.44,559.08,497.54,220.38,123.38,-53.46,-216.84,7.32,-14.03,-23.23,-81.81,-358.36,-1406.53,-1422.7,-1340.79,-1336.76,-1526.42,-2412.35,-3755.82,-4777.46,-6354.15,-6281.97,
,순이익,541.53,126.82,166.57,519.44,123.38,-14.03,-1406.53,-1526.42,-6354.15,-2326,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,193.08,-76.6,31.3,211.8,-76.2,-111.4,-9925.2,-8.5,-316.3,63.4,100.2,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,5067.94,5190.59,5478.01,5703.07,5964.69,6266.59,6645.25,7135.8,7289.14,7638.79,7730.09,7956.85,8061.17,8380.31,8645.02,8582.56,8803.4,8909.64,8967.77,8968.82,8965.64,9080.46,9145.97,9272.04,9227.46,9035.26,9321.26,9355.41,9595.93,9724.11,9747.6,10033.71,10483.11,10484.18,10463.7,9254.49,6951.27,5117.35,3257.6,0,
