,JYP ENT.,A035900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,150.67,213.24,484.82,505.57,736.45,1022.42,1248.21,1554.36,1443.99,1745,2108,,시가총액,606,1176,1412,1273,1006,1112,1331,1070,1441,1248,1532,1957,1515,1573,1418,1719,1680,1426,1559,1614,2083,1723,1677,1794,3078,3452,4761,8015,9178,12944,10695,10901,8483,7649,8572,6247,7525,13578,13631,12051,
,영업이익,-65.27,-25.53,82.57,41.99,138.12,194.63,287.49,434.59,441.36,546,644,,영업이익,3.37,-0.46,-14.32,-31.18,-39.89,-49.67,-48.57,-41.08,-41.41,-45.41,-25.53,-12.85,5.94,28.45,82.56,79.09,82.09,89.91,41.99,48.96,79.01,98.14,138.11,169.42,200.54,175.76,194.63,170.2,191.59,265.1,287.48,331.66,335.2,398.2,434.59,511.16,507.48,471.14,441.37,398.93,
,순이익,-92.93,-37.13,77.02,31.9,83.8,161.76,238.45,313.02,295.34,404,473,,자기자본,184,184,184,155,146,136,142,133,115,102,464,478,490,516,556,555,551,579,584,592,626,653,664,698,771,789,849,865,1037,1109,1268,1328,1402,1535,1589,1661,1699,1777,1827,1900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,132.09,178.08,443.26,486.9,695.11,967.61,1181.67,1446.14,1300.09,0,0,,매출액,20.55,34.72,64.51,10.75,14.74,25.44,86.57,28.07,28.36,25.29,131.53,75.46,89.79,120.21,199.37,74.7,117.47,132.72,180.69,109.83,179.37,190.18,257.08,219.18,285.27,174.77,343.2,230.15,315.62,338.95,363.49,263.6,391.63,455.73,443.4,339.73,341.34,345.96,416.96,325,
,영업이익,-36.68,-20.03,66.92,39.8,113.67,178.94,254.31,392.33,373.74,0,0,,영업이익,-4.63,0.17,-9.86,-16.86,-13.34,-9.61,-8.76,-9.37,-13.67,-13.61,11.12,3.31,5.12,8.9,65.23,-0.16,8.12,16.72,17.31,6.81,38.17,35.85,57.28,38.12,69.29,11.07,76.15,13.69,90.68,84.58,98.53,57.87,94.22,147.58,134.92,134.44,90.54,111.24,105.15,92,
