,롯데쇼핑,A023530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,250436.8,282117,280995.7,291276.6,241143.3,179260.6,178207.8,176220,161843.8,161984,163243,,시가총액,147831,116754,98602,103104,90470,92939,109494,128798,111793,119823,127223,105494,97149,99511,85970,73689,73846,89907,73216,83608,63769,65029,69752,68335,95575,77625,55963,65946,59056,59265,59689,50354,45403,36492,38331,20538,22490,22207,28996,35502,
,영업이익,14674.68,14852.61,11883.79,8537.13,7633.26,8010.38,5970.04,4279.11,3460.84,6159,7472,,영업이익,14814.7,15938.84,16948.63,16109.49,15348.63,14689.73,14674.68,14485.41,14448.92,15184.64,14852.61,14796.42,14348.2,13771.58,11883.79,11161.19,10060.26,8965.27,8537.14,7946.64,7634.75,7022.18,7633.26,7097.79,5808.18,6193.75,8010.38,8675.13,9120.34,9384.71,5970.04,5812.01,5861.18,4746.42,4279.1,2748.03,1846.85,2081.34,3460.85,4366.37,
,순이익,10802.61,7884.45,5266.5,-3830.67,1681.95,-1363.95,-5448.74,-8963.26,-7859.4,1013,1810,,자기자본,136426,137455,139662,142313,144148,145723,148784,152643,156257,158231,162237,162882,164866,167601,167258,167467,168187,168535,162475,162272,162531,162550,163045,163219,163155,125253,126586,124636,122737,124313,117054,116812,116616,116358,106136,103985,103339,103559,98016,98265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,161218.4,165629.6,161116.4,161773.3,160423.7,105718.2,102177.9,96953.25,87080.84,0,0,,매출액,53763.99,55033.24,58736.28,59919.03,58741.18,60549.37,71227.22,68898.53,69773.78,69707.3,73737.41,67858.8,69214.51,69827.37,74094.99,69353.73,72279.75,74839.57,74803.49,71788.76,72303.89,60965.74,36084.9,44464.33,44001.57,45626.85,45167.88,43341.71,44132.69,46749.48,43983.94,44468.22,44564.6,44047.12,43140.07,40767.14,40458.51,41059.24,39558.93,39804,
,영업이익,11375.62,11845.27,9934.95,7147.43,7198.58,4901.51,4031.4,2710.2,1340.08,0,0,,영업이익,4368.7,3548.14,4552.79,3639.86,3607.84,2889.24,4537.74,3450.59,3571.35,3624.96,4205.71,3394.4,3123.13,3048.34,2317.92,2671.8,2022.2,1953.35,1889.79,2081.3,1710.31,1340.78,2500.87,1545.83,420.7,1726.35,4317.5,2210.58,865.91,1990.72,902.83,2052.55,915.08,875.96,435.51,521.48,13.9,1110.45,1815.02,1427,
,순이익,10182.15,6184.71,5453.17,-3044.12,517.83,3696.38,-5029.18,-7537.01,-10319.97,0,0,,순이익,2767.23,858.82,2451.18,3102.79,1936.47,2074.83,3688.51,1844.35,2036.37,2889.79,1113.94,1289.86,2198.25,2519.79,-741.4,1061.89,645.69,17.69,-5555.94,579.75,648.03,477.78,-23.61,895.61,-313.35,-5588.77,3642.55,-360.1,-2420.91,1819.13,-4486.86,889.72,507.57,-405.42,-9955.13,-734.72,-2371.66,-218.21,-4534.81,249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
