,S-OIL,A010950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,347232.9,311585.3,285575.6,178902.7,163218.4,208913.7,254633,243941.7,168296.8,228338,236912,,시가총액,154801,118212,112583,126093,102225,119338,117086,104927,82411,87702,83311,69351,64060,48185,54490,71040,76106,70477,89391,108530,85225,91417,95358,111344,106728,143543,131722,135099,123278,154238,109993,100874,94232,111907,107291,62596,71490,58093,77907,89954,
,영업이익,7817.64,3660.44,-2897.04,8176.04,16168.89,13732.65,6394.6,4200.77,-10991.46,12066,12848,,영업이익,14772.02,16926.72,16974.59,14289.73,10390.91,11434.94,7817.64,7295.93,9777.36,4831.67,3660.44,861.39,-680.9,-1314.85,-2897.04,-985.14,5620.64,6164.92,8176.04,10712.8,11059.37,12060,16168.89,14585.38,9349.36,13719.77,13732.65,12943.52,15797.2,13422.2,6394.6,6552.86,1621.33,771.27,4200.77,-8575.48,-9313.38,-11713.24,-10991.46,2879.13,
,순이익,5851.6,2896.39,-2878.28,6313.22,12053.64,12464.89,2580.35,654.29,-7961.08,7435,8122,,자기자본,50258,49005,52253,51688,50011,54106,53760,52691,52470,53877,53540,52521,53203,51936,49090,51202,55490,53770,53899,56718,61153,62289,63916,61218,61888,64478,68426,64859,66489,68088,64692,65646,64133,64513,64966,55842,55265,55663,56825,58939,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,347232.9,311585.3,285575.6,178902.7,163218.4,208913.4,254631.2,243939.8,167355,0,0,,매출액,80258.72,78066.36,92640.08,90360.06,87977.72,85027.98,83867.15,80136.53,69746.79,81256.13,80445.83,76024.58,74192.22,72681.72,62677.1,43737.83,51425.07,44266.67,39473.15,34284.2,41983.64,41379.2,45571.39,52001.55,46650.03,52118.48,58143.68,54109.22,60031.1,71879.46,68613.17,54261.56,62572.92,62344.86,64762.39,51984.01,34518.21,38991.85,42802.74,54317,
