,F&F,A007700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2007.63,2223.78,3014.13,3700.12,4389.8,5605.18,6683.49,9103.37,8376.16,11652,14267,,시가총액,1508,1063,1032,1086,964,963,912,941,1047,961,1087,1170,1294,1979,2310,2626,3126,2980,2734,2233,2187,2410,2687,4351,4250,6314,6460,6252,12566,12982,6168,12412,13768,14923,17248,14260,14183,13721,12998,25256,
,영업이익,70.07,71.9,120.72,187.59,456.21,981.15,914.56,1507.36,1225.79,1900,2218,,영업이익,361.47,307.6,235.41,200.33,166.83,131.26,69.78,52.34,34.24,36.6,71.91,77.63,97.61,101.56,120.71,141.08,146.98,154.3,187.6,203.52,231.03,268.46,456.21,556.75,648.99,735.68,981.15,1013.87,1061.67,1086.13,914.56,923.17,1018.66,1171.48,1507.36,1492.2,1408.34,1209.95,1225.8,1398.6,
,순이익,81.02,83.74,139.81,124.4,302.28,748.88,1091.74,1102,857.95,1387,1627,,자기자본,1529,1563,1649,1630,1645,1651,1707,1708,1713,1721,1775,1768,1783,1789,1895,1897,1911,1917,1996,1970,2002,2045,2267,2332,2443,2551,2960,3346,3514,3652,3941,3950,4172,4405,4830,4801,4932,5025,5513,5783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2003.36,2220.43,3011.22,3697.84,4387.3,5609.52,6460.28,8851.18,8034.91,0,0,,매출액,494.65,530.06,593.61,516.6,460.24,482.57,545.03,438.41,488.38,541.63,755.36,625.17,600.96,676.32,1111.67,781.73,722.11,777.86,1418.42,916.93,848.19,919.03,1705.65,1124.74,1027.06,1026.47,2426.91,1329.97,1476.75,1397.38,2479.4,1624.6,2012.51,2162.33,3303.93,1659.81,1667.96,1596.48,3451.9,2332,
,영업이익,69.14,71.69,120.24,187.01,449.35,978.87,912.39,1590.5,1403.89,0,0,,영업이익,51.47,45.13,81.81,21.92,17.97,9.56,20.33,4.48,-0.13,11.92,55.64,10.2,19.85,15.87,74.79,30.57,25.75,23.19,108.09,46.49,53.26,60.62,295.84,147.03,145.5,147.31,541.31,179.75,193.3,171.77,369.74,188.36,288.79,324.59,705.62,173.2,204.93,126.2,721.47,346,
