,한섬,A020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4963.51,4708.12,5100.21,6167.56,7119.98,12286.76,12992.09,12598.02,11959,13210,13801,,시가총액,6490,6182,7315,8202,6318,6896,7254,7463,7155,7093,7771,6502,6810,8029,8017,8251,8793,9643,10000,9951,9680,10000,8584,6933,8054,7623,7746,8177,10258,9224,8928,10973,9113,7192,7771,4667,8621,7451,7451,10468,
,영업이익,710.45,503.54,510.02,661.01,720.28,549.96,911.9,1065.5,1020.53,1234,1345,,영업이익,923.68,981.8,1100.95,1068.22,988.04,878.33,686.98,662.62,564.02,545.04,503.54,467.67,457.81,468.71,510.02,555.98,567.83,610.92,661.01,705.9,746.78,759.26,720.28,755.75,792.5,756.04,549.96,565.58,588.39,678.39,911.9,951.36,960.72,1015.63,1065.5,1027.66,1019.39,1003.58,1020.52,1084.92,
,순이익,634.56,438.93,376.02,743.78,564.76,538.56,724.16,852.61,850.89,980,1067,,자기자본,5628,5810,6416,6216,6348,6444,6961,7063,7139,7176,7351,7424,7451,7514,7657,7756,8015,8110,8314,8439,8527,8636,8803,8984,9082,9145,9255,9403,9514,9658,9907,10102,10216,10422,10456,10569,10698,10897,11221,11521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4895.5,4626.04,5091.8,6153.94,7103.22,7659.15,7666.44,9945.61,11947.8,0,0,,매출액,1072.5,962.3,1776.22,1255.02,1075.91,838.6,1742.11,1199.23,943.88,856.65,1708.35,1286.12,1041.63,998.72,1773.73,1485.17,1206.26,1242.29,2233.84,1736.43,1452.27,1471.78,2459.5,2444.6,3006.27,2823.68,4012.21,3304.96,2922.86,2827.86,3936.42,3125.26,2837.85,2793.7,3841.21,2714.99,2766.42,2611.75,3865.84,3131,
,영업이익,698.34,559.81,517.68,672.1,738.24,732.56,783.66,957.49,1048.35,0,0,,영업이익,216.68,195.12,447.15,209.27,136.5,85.41,255.8,184.91,37.9,66.43,214.3,149.04,28.04,77.33,255.61,195,39.89,120.42,305.7,239.89,80.77,132.9,266.72,275.36,117.52,96.44,60.64,290.98,140.33,186.44,294.15,330.44,149.69,241.35,344.02,292.6,141.42,225.54,360.96,357,
,순이익,630.16,488.1,485.34,776.95,566.62,545.71,698.02,756.02,864.96,0,0,,순이익,144.84,151.46,328.16,178.83,133.22,87.21,220.18,165.73,51.47,58.45,163.28,144.8,28.26,64.62,138.35,166.8,249.38,93.15,234.44,191.6,88.22,109.73,175.21,248.42,95.97,67.08,127.1,231.06,109.64,143.57,239.89,240.14,110.3,200.08,302.09,216.04,126.8,196.52,311.53,300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4963.51,4708.12,5100.21,6167.56,7119.98,12286.76,12992.09,12598.02,11959,13210,13801,,매출액,1072.5,962.3,1776.22,1290.63,1107.92,792.01,1704.94,1184.68,928.31,830.22,1682.83,1263.24,1040.12,997.24,1791.2,1482.71,1202.63,1239.71,2228.9,1731.81,1448.61,1469.57,2453.24,1961.88,1596.12,1612.71,2488.44,1986.63,1602.13,1614.13,2463.56,2230.92,1909.6,1975.12,3829.98,2708.97,2764.42,2608.55,3865.86,0,
,매출액성장율,-0.14,-5.1,8.3,20.9,15.4,72.6,5.7,-3,-5.1,10.5,4.5,,영업이익,210.39,155.71,447.15,209.27,171.73,85.39,231.96,181.84,73.37,75.08,229.53,171.77,29.03,80.02,236.86,197.11,42.25,122.56,310.17,245.27,84.15,137.71,271.11,269.72,89.32,123.24,250.27,230.07,82.39,160,311.19,283.06,83.27,233.76,357.4,296.91,149.64,232.23,369.57,0,
,,,,,,,,,,,,,,순이익,144.84,151.46,328.16,178.83,133.22,87.21,230.91,164.48,80.61,70.76,172.26,164.57,43.85,89.74,187.18,181.38,258.13,97.11,240.33,202.87,59.87,116.49,187.39,211.3,47.27,94.09,193.05,259.63,47.54,123.29,267.56,210.35,47.05,209.44,289.17,216.26,132.04,201.6,315.06,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,710.45,503.54,510.02,661.01,720.28,549.96,911.9,1065.5,1020.53,1234,1345,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-27.8,-29.1,1.3,29.6,9,-23.6,65.8,16.8,-4.2,20.9,9,,매출액,4726.5,4833.8,5010.02,5066.04,5069.45,4945.75,4911.64,4855.85,4723.82,4741.87,4708.11,4795,4892.75,5034.82,5100.2,5299.25,5463.88,5707.45,6167.56,6418.82,6664.83,6894.32,7119.98,7828.15,9382.15,10734.05,12286.76,13147.12,13063.71,13067.89,12992.1,12812.4,12727.39,12693.23,12598.02,12187.75,12116.32,11934.37,11959,12375.01,
,,,,,,,,,,,,,,영업이익,923.68,981.8,1100.95,1068.22,988.04,878.33,686.98,662.62,564.02,545.04,503.54,467.67,457.81,468.71,510.02,555.98,567.83,610.92,661.01,705.9,746.78,759.26,720.28,755.75,792.5,756.04,549.96,565.58,588.39,678.39,911.9,951.36,960.72,1015.63,1065.5,1027.66,1019.39,1003.58,1020.52,1084.92,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,705.84,740.3,805.46,803.29,791.67,727.42,619.44,606.34,524.59,495.83,438.93,418,394.79,400.96,376.03,398.03,619.15,647.68,743.77,768.57,607.41,623.99,564.76,621.58,629.33,586.68,538.57,521.21,534.88,611.37,724.16,733.24,733.9,790.41,852.61,828.51,845.01,841.45,850.89,934.85,
,순이익,634.56,438.93,376.02,743.78,564.76,538.56,724.16,852.61,850.89,980,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,-25.96,-30.8,-14.3,97.8,-24.1,-4.6,34.5,17.7,-0.2,15.2,8.9,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,4733.88,4842.13,5010.08,5101.64,5137.06,4966.78,4895.5,4789.55,4609.94,4648.15,4626.04,4704.6,4816.42,4983.43,5091.8,5311.26,5473.77,5716.24,6153.94,6403.04,6649.02,6878.88,7103.22,7333.29,7480.8,7623.95,7659.15,7683.9,7689.91,7691.32,7666.44,7910.73,8218.2,8579.18,9945.61,10423.65,11278.48,11911.91,11947.8,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,930.12,964.15,1033.26,1022.52,983.85,913.53,698.34,670.91,572.55,562.25,559.81,549.74,505.41,510.34,517.68,543.02,556.24,598.78,672.1,720.25,762.15,777.3,738.24,762.69,767.87,753.4,732.56,692.92,685.99,722.74,783.66,836.64,837.52,911.28,957.49,971.34,1037.71,1036.18,1048.35,0,
,EPS증가율,-26,-30.8,-14.3,97.8,-24.1,-4.6,34.5,17.7,-0.2,15.2,8.9,,순이익,713.57,737.48,805.11,803.28,791.66,727.41,630.16,615.81,563.2,546.75,488.1,488.19,451.43,470.41,485.34,502.15,716.43,723.81,776.95,798.44,600.18,619.56,566.62,575.05,562.45,540.04,545.71,594.04,594.31,623.51,698.02,648.74,648.25,734.4,756.02,761.93,846.91,839.07,864.96,0,
,BPS증가율,0.1,5.6,4.2,8.6,5.9,5.1,7.1,5.5,7.3,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,100,100,100,101,101,100,100,99,98,98,98,98,98,99,100,100,100,100,100,100,100,100,100,94,80,71,62,58,59,59,59,62,65,68,79,86,93,100,100,0,
,주가,29450,31550,32550,40600,34850,31450,36250,31550,30250,42500,,,영업이익,101,98,94,96,100,104,102,101,102,103,111,118,110,109,102,98,98,98,102,102,102,102,102,101,97,100,133,123,117,107,86,88,87,90,90,95,102,103,103,0,
,주가상승율,-0.84,7.13,3.17,24.73,-14.16,-9.76,15.26,-12.97,-4.12,40.5,,,순이익,101,100,100,100,100,100,102,102,107,110,111,117,114,117,129,126,116,112,104,104,99,99,100,93,89,92,101,114,111,102,96,88,88,93,89,92,100,100,102,0,
