,오리온홀딩스,A001800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,23680.33,24851.96,21997.88,23823.77,1279.64,1127.48,19976.83,21035.91,22804.87,22804.88,,,시가총액,27196,30716,40442,47483,56557,57931,65576,64648,56888,56892,56666,48928,55382,52276,60646,68115,62622,56292,69681,55398,56295,49689,39355,40257,47947,4665,16695,17164,17227,11808,10712,11621,10744,9961,11151,7423,8332,7611,8269,10336,
,영업이익,2637.32,2594.81,2488.72,2993.2,-17.94,49.01,2305.13,2666.6,3086.29,3086.28,,,영업이익,1336.55,1860.31,2151.16,2539.17,2946.41,2879.86,2637.32,2408.62,2198.17,2312.24,2594.81,2610.83,2527.91,2550.85,2488.73,2611.29,2687.35,2740.28,2993.2,1957.15,1424.32,641.36,-17.93,-91.29,-70.19,36.85,49,925.32,1283.23,1698.08,2305.13,2106.53,2127.09,2480.09,2666.59,2865.1,3209.8,3218.62,3086.28,3086.28,
,순이익,1516.08,1456.95,1634.7,1623.18,2366.67,14803.13,563.32,483.79,775.12,775.12,,,자기자본,8230,8897,8767,9250,9545,9821,9845,10429,10881,10949,11227,11466,11412,12131,12471,12940,13251,13784,13787,14034,13975,14669,15995,15995,5789,5963,18479,18681,18831,18608,18761,18878,19031,19312,19261,19393,19532,19744,19664,19664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,8206.57,7921.64,7517.07,7074.38,113.79,135.97,263.09,289.73,260.52,,,,매출액,4043.65,4922.97,5267.95,6260.92,5404.48,6014.53,6000.39,6447.78,5789.54,6295.64,6319,6548.09,4964.91,5552.34,4932.54,6263.91,5125.65,6394.03,6040.18,437.58,93.67,346.36,402.04,90.11,159.28,576.15,301.93,5330.65,4360.61,4947.91,5337.66,5274.44,4496.68,5558.22,5706.56,5721.69,5198.76,6013.84,5870.59,0,
,영업이익,619.49,474.78,447.31,951.49,-53.34,-7.12,152.81,175.98,131.66,,,,영업이익,284.55,662.76,432.85,1159.01,691.79,596.21,190.31,930.31,481.34,710.28,472.88,946.33,398.42,733.22,410.76,1068.89,474.48,786.15,663.68,32.84,-58.35,3.19,4.39,-40.52,-37.25,110.23,16.54,835.8,320.66,525.08,623.59,637.2,341.22,878.08,810.09,835.71,685.92,886.9,677.75,0,
,순이익,58.37,109.3,52.09,153.54,509.54,22289.11,229.16,79.66,134.82,,,,순이익,162.62,355.48,48.57,640.38,330.73,387.33,157.64,559.99,237.81,418.73,240.42,534.83,237.32,499.11,363.44,770.69,189.32,354.4,308.77,689.62,68.53,851.27,757.25,250.08,14964.39,136.91,-548.25,225.43,152.66,46.29,138.94,131.75,69.88,218.56,63.59,230.28,175.01,228.37,141.46,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,23680.33,24851.96,21997.88,23823.77,1279.64,1127.48,19976.83,21035.91,22804.87,22804.88,,,매출액,1870.05,1821.84,1962.66,2090.42,1961.59,2008.85,2145.72,2070,1984.99,1868.25,1998.41,1956.22,1886.44,1810.57,1863.85,1890.2,1778.15,1671.08,1734.96,1738.39,1666.06,1602.11,1787.25,15.08,20.6,40.91,59.38,148.93,37.11,38.91,38.13,175.66,31.99,43.65,38.44,144.59,36.3,40.04,39.58,0,
,매출액성장율,23.81,4.9,-11.5,8.3,-94.6,-11.9,1671.8,5.3,8.4,0,,,영업이익,158.74,136.99,184,175.71,95.66,107.04,241.09,150.71,115.32,34.39,174.36,136.29,90.72,55.84,164.47,302.21,272.64,193.39,183.24,238.66,165.8,120.57,261.71,-16.89,-21.73,12.85,18.66,116.68,8.16,14.99,12.97,147.34,6.57,17.12,4.95,113.99,5.61,13.9,-1.84,0,
,,,,,,,,,,,,,,순이익,89.56,87,125.11,131.26,57.47,38.21,-168.57,112.56,15.67,-71.27,52.35,105.58,5.82,22.49,-81.8,247.38,16.54,-68.54,-41.85,33.8,14.66,113.19,347.88,130.45,22113.87,4.16,40.63,97.29,67.05,13.84,50.98,134.33,-7.24,17.51,-64.95,113.37,6.24,9.78,5.43,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,2637.32,2594.81,2488.72,2993.2,-17.94,49.01,2305.13,2666.6,3086.29,3086.28,,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
