,기업은행,A024110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,94753.63,86941.29,85975.26,79866.26,77789.2,80759.9,90406.08,94885.26,86538.92,81390,90644,,시가총액,101829,76440,68250,75075,69615,66885,64701,69342,60246,65473,66849,74590,74590,88126,77905,72889,80400,75671,68716,67603,62438,66917,71117,68597,79797,80637,92117,85957,86237,85397,78677,80780,80780,75893,68105,41959,53656,59167,65298,67662,
,영업이익,16122.92,11424.42,13883.31,14996.52,15325.91,20283.23,23964.35,22279.15,21255.16,22769,24811,,영업이익,20316.33,21592.36,19271.15,18811.9,17077.23,14131.7,16122.92,13350.54,11292.32,11203.66,11424.42,12491.13,13667.37,13792.9,13883.31,14311.15,13996.29,14148.1,14996.52,14939.12,15384.31,15878.12,15325.91,16294.4,17125.28,19200.9,20283.23,21479.17,22630.3,23768.82,23964.35,24431.71,24297.98,22375.99,22279.15,21448.05,19946.56,19691.77,21255.16,21091.95,
,순이익,11803.34,8484.92,10265.98,11429.83,11575.36,15014.54,17542.43,16058.47,15357.05,16335,17653,,자기자본,126083,130859,131290,131928,134898,137854,138653,138631,140309,142674,143499,145041,151366,154769,155623,162486,165558,171291,172030,173438,178368,182480,179500,183006,188399,194924,196974,197955,202620,207255,209829,217118,221666,226357,226618,229532,240628,249444,250183,255018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,90063.78,82432.64,80724.33,74687.89,72494.2,74727.14,83458.73,87510.9,79260.27,0,0,,매출액,23314.4,24042.24,24288.16,23956.09,23975.42,23725.99,23096.13,21843.69,21732.08,21656.75,21708.77,21254.28,21551.88,21859.24,21309.86,20404.13,20020.06,19788.69,19653.38,19468.89,19479.77,19374.9,19465.64,19338.7,19874.18,20618.97,20928.05,21269.42,22316.59,23157.8,23662.27,23522.05,24157.69,23770.04,23435.48,22741.71,22028.12,20941.2,20827.89,14805,
